StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,xB1,xAB1s,xAB1l,xA2,xB2,xAB2s,xAB2l,FreeResponse,PlantFood,GenesAnswer,Earth,Radioact,Lasers,Electrons,Continents,Gender,Antibiotics,degree,Degree_spec,God,Intuition,Science,Sex,Race/Ethnicity,Age,Education,Income,SC0,SC1
2017-10-10 15:20:25,2017-10-10 15:23:22,0,67.197.125.132,100,176,1,2017-10-10 15:23:22,R_6fhMOac2vehOaYx,,,,,35.012100219727,-80.882102966309,anonymous,EN,,,,,,,5,,I think the two options are good for their goal.,2,1,1,2,2,1,1,1,2,2,,4,3,4,2,3,27,3,3,9,7
2017-10-10 15:20:47,2017-10-10 15:23:35,0,70.188.197.246,100,167,1,2017-10-10 15:23:35,R_z6d8OLOBCj5u3hD,,,,,33.613494873047,-112.2333984375,anonymous,EN,,,,,,5,,,I believe that humans are more capable of making quick decisions and that ultimately they should have final control of a car.,2,2,1,2,2,1,1,1,2,2,,5,3,3,2,3,41,2,4,11,7
2017-10-10 15:20:49,2017-10-10 15:23:39,0,73.121.62.132,100,170,1,2017-10-10 15:23:40,R_2VNQEtRWFojq4M8,,,,,37.002395629883,-82.577201843262,anonymous,EN,,,,,5,,,,It is a good decision to make them that way. It allows the person in the car to assume control of the vehicle in case of an emergency. It is always a good idea to allow the person to take control in case the computer isnt making the correct decisions.,2,2,1,2,2,1,1,1,2,2,,1,2,2,1,3,34,2,1,7,7
2017-10-10 15:20:59,2017-10-10 15:24:10,0,173.21.102.146,100,191,1,2017-10-10 15:24:11,R_3FQygaUUJCkhn9G,,,,,30.631103515625,-88.281898498535,anonymous,EN,,,,,,,,5,The CEO controls the company. The consumer is aware what he is choosing. The consumer still has the final say on whether to drive the car.,1,2,2,2,2,1,2,2,1,2,,1,3,3,1,3,29,3,1,7,3
2017-10-10 15:21:35,2017-10-10 15:24:12,0,12.31.88.130,100,157,1,2017-10-10 15:24:13,R_3shl4lzidYWcjfM,,,,,38.377197265625,-85.582298278809,anonymous,EN,,5,,,,,,,These things could save someones life. To be able to tell someone what conditions they could develop could greatly improve the quality/length of their life.,2,1,1,2,1,2,1,1,2,2,,4,2,5,2,3,34,3,5,7,5
2017-10-10 15:22:46,2017-10-10 15:24:14,0,99.58.42.214,100,87,1,2017-10-10 15:24:14,R_3n7AkZMBbLquXso,,,,,30.141006469727,-95.469398498535,anonymous,EN,,,4,,,,,,I think it's appropriate because customers in both test conditions have the option of viewing the results.,1,2,1,2,1,1,2,2,1,2,,3,4,3,1,3,28,3,2,10,3
2017-10-10 15:21:06,2017-10-10 15:24:18,0,71.231.78.129,100,192,1,2017-10-10 15:24:19,R_117rm1cTcgO1POX,,,,,47.788192749023,-122.30870056152,anonymous,EN,,,,,3,,,,i do not care about the scenario,1,2,1,2,2,1,1,1,2,2,,1,1,5,1,3,28,4,2,3,7
2017-10-10 15:21:06,2017-10-10 15:24:20,0,131.156.181.98,100,194,1,2017-10-10 15:24:21,R_2tFFwFyEben2jUZ,,,,,42.018203735352,-88.217300415039,anonymous,EN,,,3,,,,,,i do not think it is good or bad. It sounds like a sound test.,2,1,1,2,2,1,1,2,2,2,,2,1,5,1,3,39,6,6,4,6
2017-10-10 15:23:02,2017-10-10 15:24:29,0,52.144.46.197,100,87,1,2017-10-10 15:24:30,R_eh5IoNsL7s4xB3b,,,,,40.714294433594,-74.005996704102,anonymous,EN,,4,,,,,,,good,1,1,1,1,2,1,2,1,2,1,good study,4,4,5,1,1,29,4,1,9,5
2017-10-10 15:21:35,2017-10-10 15:24:31,0,216.195.97.82,100,175,1,2017-10-10 15:24:31,R_1n1T5QlbpEpKdpt,,,,,32.725692749023,-97.321403503418,anonymous,EN,,5,,,,,,,"It is good to be vigilant about a possible hereditary disease, so why not?  This is not hurting anyone, it is helping them learn about what could possibly cause an illness in the future!",2,1,1,2,1,1,1,1,2,2,,5,3,4,2,3,52,3,6,10,6
2017-10-10 15:21:10,2017-10-10 15:24:32,0,69.246.98.182,100,201,1,2017-10-10 15:24:32,R_2pSpXFn0NlTvSPu,,,,,32.216094970703,-89.88990020752,anonymous,EN,,,,4,,,,,He just wants to help people learn more about their health. I do not see why this is wrong.,2,1,1,2,2,1,1,2,2,2,,3,1,5,1,3,62,3,1,5,6
2017-10-10 15:22:30,2017-10-10 15:24:37,0,107.50.218.62,100,126,1,2017-10-10 15:24:37,R_3nAy0SepdWQxgDn,,,,,41.794006347656,-83.587898254395,anonymous,EN,,,,,,,5,,I think this is a good thing because robots always have errors,2,1,1,2,1,1,2,1,2,2,,5,5,2,2,3,34,2,2,14,5
2017-10-10 15:21:36,2017-10-10 15:24:40,0,73.191.12.126,100,183,1,2017-10-10 15:24:40,R_YQY7qHIuZKzRaBH,,,,,39.405303955078,-76.443603515625,anonymous,EN,,,,,,5,,,"In the case of a malfunction, why restrict the passenger's ability to attempt to avoid danger? Unless the system is absolutely perfect, and has been tested to be so, there's no reason to NOT include this safety measure.",2,1,1,2,2,1,1,2,2,2,,3,2,4,1,3,26,3,3,7,6
2017-10-10 15:20:25,2017-10-10 15:24:53,0,47.33.193.124,100,267,1,2017-10-10 15:24:53,R_6fbxODSRVmyBJHX,,,,,43.044296264648,-83.519203186035,anonymous,EN,,,,,,,5,,The CEO is giving the public options in choosing what kind of self driving car that they want,2,1,1,2,2,1,1,2,2,2,,4,2,5,2,3,27,4,4,7,6
2017-10-10 15:22:06,2017-10-10 15:24:53,0,75.170.97.180,100,167,1,2017-10-10 15:24:54,R_3lJHxvRkF7RyTTu,,,,,41.206100463867,-96.045097351074,anonymous,EN,5,,,,,,,,More knowledge is almost always a good thing. It could be very helpful and if people don't want to know they don't have to,2,1,1,2,2,1,1,2,2,2,,1,1,5,2,3,34,3,2,3,6
2017-10-10 15:20:05,2017-10-10 15:24:54,0,143.55.185.222,100,289,1,2017-10-10 15:24:55,R_2BrrWWDK1PRCTNy,,,,,40.751693725586,-73.997200012207,anonymous,EN,,,,3,,,,,"I think it is kind of the CEO to give people the chance to see if they have any health issues. ",2,1,1,2,2,1,1,2,2,2,,3,2,4,2,2,20,3,6,7,6
2017-10-10 15:22:20,2017-10-10 15:24:56,0,73.38.142.177,100,156,1,2017-10-10 15:24:56,R_10xvK3cnhBFrDOy,,,,,41.524307250977,-72.075897216797,anonymous,EN,,,,,,,2,,"I don't believe in self-driving automobiles. The risk of the AI being hacked into or experiencing a glitch, causing it to become dangerous to anyone around it, is way too real for my liking.",2,1,1,2,1,1,1,1,1,2,,2,2,4,1,3,29,2,1,6,5
2017-10-10 15:22:33,2017-10-10 15:24:55,0,75.41.110.48,100,142,1,2017-10-10 15:24:55,R_QcsRqMzYch0gNpv,,,,,42.319396972656,-83.26789855957,anonymous,EN,5,,,,,,,,"It could help people and make the company money, so it makes sense. If I was the CEO, I would do the same thing.",2,1,1,2,2,1,1,2,2,2,,1,1,5,1,3,34,6,4,3,6
2017-10-10 15:22:30,2017-10-10 15:25:04,0,97.104.210.56,100,153,1,2017-10-10 15:25:04,R_3fT5ADqWZboJ1Ti,,,,,28.570404052734,-81.529800415039,anonymous,EN,,,,,,,,2,"People should get the use which option they would want, not a CEO picking.  ",2,1,1,1,2,1,1,1,2,2,,2,4,5,2,3,40,5,6,7,6
2017-10-10 15:20:40,2017-10-10 15:25:04,0,134.192.135.254,100,264,1,2017-10-10 15:25:04,R_2f9jyJ4rSjgo3jA,,,,,39.295196533203,-76.623100280762,anonymous,EN,5,,,,,,,,"It is a customer's own genetic testing, he ( she) should have a right to know and to be at least a co-owner of the results. This also helps customers who have the condition to seek treatment.",2,1,1,2,2,1,1,1,2,1,microbiology,1,1,5,2,4,50,6,4,3,7
2017-10-10 15:22:06,2017-10-10 15:25:05,0,208.84.209.3,100,179,1,2017-10-10 15:25:05,R_3eyt4oEPOw9RUV4,,,,,26.21989440918,-98.238998413086,anonymous,EN,5,,,,,,,,"I think that this is a great idea. I personally am very interested in genealogy tests and would really like to take one, but need to save up the money. I'm also interested in genetic testing for the future when I decide to start a family, but this is also costly. If I were able to work toward both of these at the same time, I would be really happy.
",2,1,1,2,2,1,1,2,2,2,,1,1,5,2,3,23,5,4,3,6
2017-10-10 15:23:11,2017-10-10 15:25:09,0,98.250.0.192,100,118,1,2017-10-10 15:25:10,R_RwpKyjNan9WgSIh,,,,,42.988800048828,-85.46410369873,anonymous,EN,5,,,,,,,,It will allow people to be more informed about their health. The customers still get to make the decision of whether or not to view it.,2,1,1,2,2,1,1,1,2,2,,1,1,5,2,3,23,4,3,3,7
2017-10-10 15:22:55,2017-10-10 15:25:21,0,174.71.44.203,100,145,1,2017-10-10 15:25:21,R_3gYhoNDvFQxq2BZ,,,,,41.299301147461,-96.166603088379,anonymous,EN,,,,,,5,,,The technology hasn't been shown to work well so it makes sense to let the driver take over. Also it will make people feel like they still have ultimate control.,2,1,1,2,2,1,1,2,2,2,,3,5,5,1,3,47,6,2,9,6
2017-10-10 15:22:41,2017-10-10 15:25:25,0,96.250.62.179,100,163,1,2017-10-10 15:25:26,R_3EXtov2R9POYrzs,,,,,40.583297729492,-73.924003601074,anonymous,EN,,,,,,5,,,"I find this very appropriate because it means that I am still in control of the car, and it is my wish on when I want to use this option. This decision made by the CEO easily solves the problem of giving people the freedom they want with a car.",2,1,1,2,1,1,1,2,2,1,Biology,1,1,5,1,4,24,4,6,3,5
2017-10-10 15:23:27,2017-10-10 15:25:27,0,159.45.129.14,100,119,1,2017-10-10 15:25:27,R_SNmgss5H2epPfZn,,,,,35.227096557617,-80.843101501465,anonymous,EN,,,,5,,,,,"The CEO was using customer feedback to determine what option to roll out. He was letting customers decide instead of ""guessing"" what the right decision would be.  That's more likely to satisfy customers.",2,1,1,2,2,1,1,1,2,2,,1,1,5,2,2,42,4,6,3,7
2017-10-10 15:22:47,2017-10-10 15:25:29,0,104.33.105.103,100,162,1,2017-10-10 15:25:30,R_RIzIPRhQ0QQV7tT,,,,,34.228698730469,-118.44409942627,anonymous,EN,,,,,,,,3,"I think all cars should have an option to override the self driving function for safety reasons. It is not wise to fully depend on a self driving car. ",1,1,1,2,1,1,1,1,2,2,,4,4,4,2,"2,3",24,4,3,10,6
2017-10-10 15:22:23,2017-10-10 15:25:31,0,71.59.79.106,100,188,1,2017-10-10 15:25:32,R_2Y2MMLIJOAWKjyf,,,,,40.248504638672,-74.53150177002,anonymous,EN,,,,,1,,,,"Because I don't feel that self-driving cars have been proven safe yet.  In this specific example, I wouldn't trust this man's employees to not mess around with the lever and flip it back and forth while driving, just to see what happens.  That's just asking for trouble.",2,1,1,2,1,1,1,2,2,2,,1,1,5,2,3,42,3,6,3,5
2017-10-10 15:22:31,2017-10-10 15:25:32,0,73.176.66.160,100,181,1,2017-10-10 15:25:33,R_1q9ioFK7bAgIRUo,,,,,40.473403930664,-88.991500854492,anonymous,EN,,,,,,5,,,"because he makes sure that if we touch the wheel or any pedal while driving we automatically take back over and the robot doesn't ",1,2,1,2,2,1,1,1,2,2,,2,2,4,2,3,24,3,2,6,7
2017-10-10 15:20:18,2017-10-10 15:25:32,0,71.71.72.76,100,314,1,2017-10-10 15:25:32,R_2AGA9VKNqoCPdRi,,,,,36.117202758789,-80.076499938965,anonymous,EN,,5,,,,,,,"These tests are very expensive, I think it's great that he wants to help his employees. He isn't forcing it on them, but they can choose to.",2,1,1,2,1,1,1,1,2,2,,4,4,4,2,3,26,3,3,10,6
2017-10-10 15:20:03,2017-10-10 15:25:35,0,68.187.241.140,100,331,1,2017-10-10 15:25:35,R_O1I11StsWOQkVDr,,,,,38.738494873047,-90.540199279785,anonymous,EN,,,,,,,,1,"It is extremely inappropriate to TEST a vehicle or any other major tool by passing it out to consumers before knowing WHICH WILL LEAD TO THE LEAST ACCIDENTS.  These are supposed ""Self-Driving"" vehicles.  So, test them on test tracks, remotely, without people inside first.  This is ridiculous that a question like this even has to be asked.  ",2,1,1,2,2,2,1,2,2,2,,3,1,3,1,3,34,2,3,7,5
2017-10-10 15:22:40,2017-10-10 15:25:36,0,68.118.236.166,100,176,1,2017-10-10 15:25:36,R_3emHRkrUg37nGT6,,,,,42.24299621582,-71.917999267578,anonymous,EN,,5,,,,,,,I think it's great that the CEO wants to help others be aware of genetic conditions.,2,1,1,2,1,2,1,1,2,2,,3,2,4,2,3,34,3,4,7,5
2017-10-10 15:24:01,2017-10-10 15:25:35,0,98.200.11.148,100,93,1,2017-10-10 15:25:36,R_3RrqvHUUqqhOV0L,,,,,29.748199462891,-95.490898132324,anonymous,EN,,,,,,,3,,The CEO of a company developing self-driving cars wants people to have as much freedom as possible while on the road,2,1,1,2,2,2,2,2,2,2,,3,3,3,2,1,25,3,2,9,4
2017-10-10 15:20:49,2017-10-10 15:25:45,0,69.14.83.252,100,295,1,2017-10-10 15:25:45,R_1CeB53BDQTheTSE,,,,,42.554595947266,-82.917098999023,anonymous,EN,,,,,,5,,,"This option is clearly the best of both worlds: Automation for routine driving with an override ability when human judgement would (hopefully) be better. This would be analogous to the way cruise control work in the we as drivers can apply the brakes or cancel the cruise control.  There would be times when a computer could make a better decision such as when a driver should turn into a skid not against it, as a person might instinctively try to do, but, all ion all, it's better for there to be a human override.",2,1,1,2,2,1,1,1,2,1,Biology,1,1,5,2,3,61,6,5,3,7
2017-10-10 15:20:15,2017-10-10 15:25:48,0,70.198.128.222,100,332,1,2017-10-10 15:25:48,R_1P1qHk9HM0im7wE,,,,,38.32829284668,-85.695701599121,anonymous,EN,,4,,,,,,,I think it is an important service to offer for early detection and treatment of disease.,2,1,1,2,2,1,1,1,2,1,Environmental Science,1,1,5,1,3,34,6,4,3,7
2017-10-10 15:22:00,2017-10-10 15:25:51,0,174.110.53.183,100,230,1,2017-10-10 15:25:51,R_3rZ04MLieZfeEWG,,,,,34.933898925781,-78.822601318359,anonymous,EN,,,5,,,,,,"He is giving the family the option . He is trying to help people the best way he can ",2,1,1,1,1,1,1,1,1,2,,5,2,5,2,3,35,2,5,8,4
2017-10-10 15:22:45,2017-10-10 15:25:52,0,50.26.132.180,100,186,1,2017-10-10 15:25:52,R_24AhDHq3KTCPUWF,,,,,35.22590637207,-101.80439758301,anonymous,EN,,,4,,,,,,It is somewhat appropriate because the customers could take the results and figure out for themselves if the health risks could be prevented or reduced.,2,1,1,2,2,1,1,1,2,2,,3,2,5,2,3,27,4,2,6,7
2017-10-10 15:21:08,2017-10-10 15:26:00,0,98.110.20.115,100,291,1,2017-10-10 15:26:01,R_2YxBYlHiVfk4jnz,,,,,39.423797607422,-75.257698059082,anonymous,EN,5,,,,,,,,"It would be good  to let  people know what to expect in their  future  ",2,1,1,2,2,1,1,1,2,2,,1,1,5,1,3,31,2,6,3,7
2017-10-10 15:22:26,2017-10-10 15:26:05,0,84.24.3.92,100,218,1,2017-10-10 15:26:05,R_OegC2xEL2hNBVnj,,,,,51.571197509766,5.0543060302734,anonymous,EN,,,,,4,,,,"It seems like a good decision but I don't have enough background information on things like 1) how will self driving cars be integrated with existing roadways, traffic laws, etc 2) will these cars be on the road with both person driven cars and completely self driving cars? ",2,1,1,2,2,1,1,1,2,2,,4,2,4,2,3,24,5,4,8,7
2017-10-10 15:20:22,2017-10-10 15:26:09,0,199.231.73.230,100,347,1,2017-10-10 15:26:09,R_2Br1t0BlM3CXEYA,,,,,40.816696166992,-89.860298156738,anonymous,EN,,,,,4,,,,Self driving cars are pretty good,2,1,1,2,2,1,1,1,1,2,,1,2,4,1,3,21,3,2,5,6
2017-10-10 15:21:12,2017-10-10 15:26:14,0,198.27.82.83,100,301,1,2017-10-10 15:26:14,R_3RwG9ARr7w81dhk,,,,,45.503997802734,-73.574699401855,anonymous,EN,,,,,,,5,,"There  is a  dna testing site  that did  this  but from what i understand they had  to stop because it was considered medical advice  and the  fda got a  bug up their ass  about it. i think it was  23andme.com   or something like  that ",2,1,1,2,2,1,1,1,2,2,,5,3,5,1,3,37,3,1,9,7
2017-10-10 15:21:53,2017-10-10 15:26:15,0,71.244.201.226,100,262,1,2017-10-10 15:26:15,R_3R9osRjuguOT4Jt,,,,,39.269393920898,-76.744697570801,anonymous,EN,,,,,,,4,,I think that most people would want to know that they have some semblance of control over the car if they deemed it necessary.,2,1,1,2,2,1,1,1,2,2,,5,3,5,2,3,71,4,4,9,7
2017-10-10 15:22:36,2017-10-10 15:26:20,0,216.139.122.43,100,224,1,2017-10-10 15:26:21,R_1oipviM4TS0HyZn,,,,,40.670104980469,-93.933700561523,anonymous,EN,,,,,,,,4,"The problem with running this kind of experiment is it could be dangerous. The trial may determine which system is safer, but in the process, accidents could happen.",2,1,1,2,2,1,1,2,2,2,,5,4,1,1,3,53,6,3,14,6
2017-10-10 15:23:48,2017-10-10 15:26:26,0,75.127.181.162,100,157,1,2017-10-10 15:26:26,R_Om6mXsLtkV1uen7,,,,,41.096496582031,-74.009300231934,anonymous,EN,,,,,4,,,,There needs to be a human override.,2,1,1,2,1,1,1,2,2,2,,2,1,5,2,3,28,2,2,4,5
2017-10-10 15:21:36,2017-10-10 15:26:26,0,97.106.210.144,100,290,1,2017-10-10 15:26:26,R_27IFBr8xJwUnXa4,,,,,28.934494018555,-82.472297668457,anonymous,EN,,,,5,,,,,"I feel like the CEO is being as friendly as he can. He is trying to help out a lot of people for the testing. ",2,1,1,2,1,1,1,1,1,2,,5,2,4,2,3,30,3,3,9,5
