pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode
134,xAB1l,gene.ABL,1,1,BECAUSE PEOPLE ARE GETTING SICK.,637,R_SPo8XHBaXslSoNP,1,0,2,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,0,4,0,5,5,3,3,2,0,1,0,57,1,3,0,2,0,13,4,0
244,xAB1l,gene.ABL,4,0,I think the ceo decision is appropriate,255,R_1rppmIhfY48y98K,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,0,7,0,5,3,5,1,1,1,5,0,39,1,3,0,2,0,9,6,0
247,xAB1l,gene.ABL,5,0,I think its very appropriate.,74,R_scED5jjSL2fAsmZ,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,0,6,0,5,5,5,1,1,1,4,0,41,1,2,0,2,0,11,5,0
331,xAB1l,gene.ABL,5,0,"I think it's appropriate because he's the CEO and he can choose to run his company any way he wants, but this way, he's experimenting to see how to please the most customers, which should always be the priority.",241,R_3lProZpMGEL3P3m,1,0,1,1,1,1,2,1,1,0,1,1,1,1,2,0,2,1,2,0,6,0,4,2,4,2,2,0,3,1,32,0,4,1,1,0,8,5,0
434,xAB1l,gene.ABL,5,0,He offered the option to clients to let them see if they are at risk for any genetic diseases,354,R_32Jw1zwhE9IBdqG,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,biology,8,1,4,2,4,2,1,1,3,1,24,0,3,0,1,0,8,7,0
584,xAB1l,gene.ABL,4,0,As long as the customers are knowing that its an experiment it wouldn't be too much of a problem. As long as the CEO can provide the service that pleases customers. It is important to provide people testing,541,R_T5vut1qdxfsDXNv,1,0,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,0,5,0,1,2,5,1,2,0,4,0,30,0,4,1,2,0,4,4,0
640,xAB1l,gene.ABL,3,0,I DONT HAVE AN OPINION EITHER WAY HONESTLY,112,R_3PSkDZUtclpwJP3,1,0,2,0,1,1,1,0,1,0,1,1,2,0,1,1,1,0,2,0,3,0,3,3,4,2,2,0,3,1,37,1,4,1,5,1,8,3,0
702,xAB1l,gene.ABL,4,0,I think the options that are given are fair. Either way the person is still finding out if they have something genetically wrong.,276,R_pse8UuOoOtMl1xn,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,0,5,0,3,2,3,3,2,0,2,0,29,0,4,1,6,1,8,4,0
1,xAB1s,gene.ABS,4,0,no idea,65,R_SKb4StZdZt9RjwZ,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,yes,5,1,4,4,3,3,1,1,"1,2,3,4",0,30,0,4,1,2,0,11,4,0
14,xAB1s,gene.ABS,4,0,I think it's appropriate because customers in both test conditions have the option of viewing the results.,87,R_3n7AkZMBbLquXso,1,0,2,0,1,1,2,1,1,0,1,1,2,0,2,0,1,0,2,0,3,0,3,4,3,3,1,1,3,1,28,0,3,0,2,0,10,3,0
102,xAB1s,gene.ABS,2,1,I think it is a little dangerous to ensure that they are essentially playing a guinea pig with their people.,154,R_cO3eRFdDbtb7gch,1,0,2,0,1,1,2,1,1,0,2,0,2,0,1,1,2,1,2,0,4,0,4,2,3,3,1,1,3,1,28,0,6,1,5,1,9,4,0
179,xAB1s,gene.ABS,5,0,i made the best choices based on the data in the study,60,R_3CIbXZOHrkAZzuc,1,0,1,1,1,1,1,0,1,0,2,0,1,1,2,0,1,0,2,0,3,0,5,5,2,4,2,0,3,1,32,0,3,0,2,0,14,2,0
314,xAB1s,gene.ABS,3,0,In both cases the CEO is trying to offer help to people with conditions. I would chose the option to learn if I have a condition that can be prevented or reduced.,814,R_ueUK41n0MoROlpL,1,0,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,0,2,0,6,0,2,1,5,1,2,0,1,0,32,0,3,0,2,0,4,5,0
318,xAB1s,gene.ABS,2,1,I think it is a nice gesture. The think is it might invade peoples privacy. It would be sad to know you have an illness that cant be cured.,135,R_5o47eQRMfjOrqdr,1,0,2,0,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,0,6,0,2,2,4,2,1,1,3,1,29,0,4,1,2,0,6,6,0
327,xAB1s,gene.ABS,2,1,I do not think it is right what he did . He should have offered more than half,133,R_3MnDklYmcid4KrW,1,0,2,0,1,1,2,1,1,0,1,1,2,0,1,1,1,0,2,0,4,0,2,2,3,3,1,1,3,1,45,1,3,0,3,0,7,4,1
418,xAB1s,gene.ABS,5,0,His decision is great,102,R_6PtchZmn3JB3jK9,1,0,2,0,1,1,1,0,1,0,2,0,1,1,1,1,2,1,1,compuiter science,4,1,4,4,3,3,1,1,4,0,43,1,4,1,4,1,11,4,0
712,xAB1s,gene.ABS,1,1,impreesed,123,R_2afS6CSweOGgS9a,1,0,1,1,1,1,2,1,1,0,1,1,2,0,2,0,2,1,2,yes,5,0,2,2,2,4,1,1,1,0,28,0,4,1,1,0,8,4,0
99,xA1,gene.actionable,2,1,He is not being very honest overall. This is kind of misleading his customers.,92,R_1OisewbMlOGOKMh,1,0,2,0,1,1,1,0,2,1,1,1,2,0,1,1,2,1,2,0,5,0,2,1,2,4,1,1,3,1,28,0,3,0,3,0,7,5,0
296,xA1,gene.actionable,5,0,This will help people to see what factors can be avoided,123,R_2YWf5tmOii8kwsW,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,8,0,5,4,2,4,2,0,3,1,41,1,4,1,5,1,13,7,0
495,xA1,gene.actionable,4,0,CEO wants to help people and the people can decide if they want to get helped. I think it is a much better thing to do than not.,220,R_1erWZbop6eHhGr0,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,0,7,0,3,3,3,3,2,0,4,0,27,0,4,1,3,0,9,6,0
514,xA1,gene.actionable,4,0,I believe that it is a positive thing that the CEO is offering his clients to participate in the genealogy.,233,R_3fHso3pdN5tKQJW,1,0,1,1,1,1,1,0,1,0,2,0,2,0,2,0,1,0,2,0,2,0,3,2,3,3,1,1,3,1,34,1,4,1,4,1,8,1,0
3,xB1,gene.all,1,1,own chose,117,R_24vIsmrZS7GUDEs,1,0,2,0,1,1,1,0,2,1,1,1,2,0,1,1,1,0,2,0,4,0,3,2,1,5,1,1,1,0,27,0,4,1,5,1,10,4,0
17,xB1,gene.all,4,0,good,87,R_eh5IoNsL7s4xB3b,1,0,1,1,1,1,1,0,2,1,1,1,2,0,1,1,2,1,1,good study,6,1,4,4,5,1,1,1,1,0,29,0,4,1,1,0,9,5,0
159,xB1,gene.all,4,0,I feel like knowledge is your choice. I like that it is looked into.,203,R_1jrCOE12dzyl6Q5,1,0,1,1,1,1,1,0,2,1,1,1,1,1,2,0,2,1,2,0,6,0,2,2,3,3,2,0,3,1,28,0,4,1,3,0,7,5,1
239,xB1,gene.all,4,0,I think its good for the CEO to be informative and transparent.,538,R_1Os1WEWonwW6UH7,1,0,2,0,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,0,5,0,4,4,4,2,2,0,3,1,27,0,4,1,4,1,10,5,0
361,xB1,gene.all,4,0,"It is ultimately up to the consumer, as it should be, to decide if they want that info or not.",223,R_1DI1lnLlXSScDLQ,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,8,0,4,3,3,3,2,0,3,1,59,1,4,1,5,1,10,7,0
530,xB1,gene.all,4,0,he offers all his clients an option.  gives them the choice to view or not.,140,R_2ZKverAYE23WMs2,1,0,1,1,1,1,2,1,1,0,1,1,2,0,1,1,1,0,2,0,5,0,4,4,4,2,2,0,3,1,28,0,4,1,2,0,10,4,0
633,xB1,gene.all,2,1,di ti no,359,R_2xL5SYpyI2RTiug,1,0,1,1,2,0,1,0,2,1,2,0,1,1,2,0,1,0,2,0,3,0,4,3,3,3,2,0,1,0,27,0,3,0,1,0,10,2,0
670,xB1,gene.all,2,1,NO,202,R_1kYPq0NOBvRSiEK,1,0,2,0,1,1,2,1,1,0,2,0,1,1,2,0,2,1,2,0,4,0,3,2,3,3,2,0,3,1,22,0,3,0,2,0,8,4,0
801,xB1,gene.all,4,0,That is nice of him to give them the option.,131,R_42QdIqnMTWym4X7,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,8,0,4,2,3,3,2,0,3,1,36,1,4,1,3,0,9,7,0
6,xAB2l,AV.ABL,4,0,I thought that although the better choice is obvious the test is fair,157,R_tJz4OAp9FGVhbHP,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,0,8,0,1,1,5,1,1,1,3,1,28,0,2,0,1,0,3,6,0
27,xAB2l,AV.ABL,2,1,"People should get the use which option they would want, not a CEO picking.",153,R_3fT5ADqWZboJ1Ti,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,2,0,8,0,2,4,5,1,2,0,3,1,40,1,5,1,6,1,7,6,0
38,xAB2l,AV.ABL,1,1,"It is extremely inappropriate to TEST a vehicle or any other major tool by passing it out to consumers before knowing WHICH WILL LEAD TO THE LEAST ACCIDENTS.  These are supposed ""Self-Driving"" vehicles.  So, test them on test tracks, remotely, without people inside first.  This is ridiculous that a question like this even has to be asked.",331,R_O1I11StsWOQkVDr,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,0,7,0,3,1,3,3,1,1,3,1,34,1,2,0,3,0,7,5,0
50,xAB2l,AV.ABL,4,0,"The problem with running this kind of experiment is it could be dangerous. The trial may determine which system is safer, but in the process, accidents could happen.",224,R_1oipviM4TS0HyZn,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,0,8,0,5,4,1,5,1,1,3,1,53,1,6,1,3,0,14,6,0
61,xAB2l,AV.ABL,4,0,"while appropriate, I don't like the idea of self driving cars",249,R_NVCxRnEmHjwi95D,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,1,1,5,1,2,0,3,1,25,0,4,1,6,1,3,7,0
67,xAB2l,AV.ABL,2,1,it is not professional,120,R_0iDqD74vHkhNRWF,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,0,6,0,3,2,3,3,1,1,4,0,27,0,3,0,2,0,8,4,0
69,xAB2l,AV.ABL,4,0,"Having a driving input override the automation seems to be the mos reasonable, but problems have also occurred when there is no  blatently obvious visual indication of what mode a vehicle is in.",318,R_3hhXlEHqnfDGZXq,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,"""2+2"" Technical Communication degree (Associate's degree worth of engineering, followed by STEM-dominant communication coursework)",9,1,3,4,4,2,2,0,3,1,43,1,4,1,3,0,9,7,0
74,xAB2l,AV.ABL,4,0,I think humans should be able to take control when they think it is necessary. He is going to use the one that has the least amount of accidents.,350,R_2QPZklbfYAljqJM,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,0,7,0,5,4,3,3,2,0,3,1,60,1,2,0,4,1,12,5,0
91,xAB2l,AV.ABL,2,1,"I don't believe safety for these vehicles as reached this level of confidence. However, if legally approved, though I have reservations, the CEO's decision is not out of line.",347,R_2WzZVHj4GgNdo29,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,0,8,0,4,4,4,2,1,1,3,1,66,1,4,1,4,1,10,6,0
103,xAB2l,AV.ABL,4,0,"I would not ride in a car where a human being did not have the option of taking control. The two test models sound like a pretty good idea to me, although I think our experience with cruise control would point to the revert control upon braking or utilizing any other control (steering wheel, etc).",317,R_NUrmrHI9J0dR7u9,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,2,1,5,1,1,1,3,1,68,1,3,0,2,0,4,7,0
104,xAB2l,AV.ABL,5,0,"As long as the safety measures are in place, it will help the CEO make a sound decision on which feature performs the best, and which feature drivers will prefer over the other.",206,R_RbhZ6qk8x0eMiTn,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,1,1,5,1,1,1,3,1,46,1,3,0,1,0,3,7,0
119,xAB2l,AV.ABL,4,0,I feel that this decision would help the CEO create an effective car that is self driving but still under human control. The two different modes will help the CEO improve the quality of the cars while making them safe.,421,R_UorWEm5e6wjDyhP,2,1,2,0,1,1,1,0,2,1,1,1,1,1,1,1,2,1,2,n/a,7,0,3,2,3,3,2,0,1,0,43,1,4,1,1,0,8,6,0
135,xAB2l,AV.ABL,3,0,i think that both of the options are similar because each one has inputs from the driver of the vehicle to override the self driving mode.,197,R_1dLwFDXwHQLOqd0,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,0,8,0,3,2,4,2,1,1,3,1,30,0,3,0,3,0,7,6,0
143,xAB2l,AV.ABL,5,0,I like that the CEO is open to different safety override options.  This shows that he is genuinely concerned an want the best and safest possible product.,343,R_27yAumS9lfiXRaO,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,0,7,0,5,5,4,2,1,1,3,1,33,0,6,1,6,1,12,5,0
144,xAB2l,AV.ABL,1,1,you don't do live testing on your customers. Certainly not live testing with safety ramifications.,172,R_3kMIBLJbTX3nRqW,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,1,1,5,1,1,1,3,1,56,1,3,0,2,0,3,7,0
146,xAB2l,AV.ABL,4,0,The CEO just wants to keep people safe - I think that's all they are trying to accomplish. Whatever design works and is designed the most safe should be implemented.,518,R_3j0B6qtHJPq5jqh,2,1,1,1,1,1,1,0,1,0,2,0,2,0,2,0,2,1,2,0,4,0,5,2,4,2,2,0,3,1,23,0,2,0,3,0,9,2,0
147,xAB2l,AV.ABL,3,0,"A decision should be made either way and I am not sure of the best method. The CEO's method is ok, but it might be an anomaly that led to fewer accidents. On the other hand, I can't think of a better way even though I believe one should exist.",316,R_2xz8XVRfoUQEvkw,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,information systems,9,1,3,2,5,1,2,0,"2,3",0,50,1,4,1,2,0,6,7,0
170,xAB2l,AV.ABL,4,0,"Well, I'm not sure if that is the best, or safest, way to determine which option is safer. On the other hand, any types of experiments or trials they might run could not entirely account for all real-life situations and possible outcomes, so I think it seems *probably* appropriate to try this method out for determining which is the best way. Probably the main downside would be that consumers would prefer one way over the other, and would not like to have their vehicle randomly assigned this way.",327,R_1DVdFf0fGyOMBSK,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Chemistry,9,1,2,1,5,1,2,0,3,1,48,1,6,1,4,1,4,7,0
175,xAB2l,AV.ABL,2,1,"It shouldn't be random on the cars they sell. They should do a test using volunteers and not charge for the car, not customers that have to buy their car.",489,R_3mdBPl0hLJyblDG,2,1,1,1,2,0,2,1,2,1,1,1,1,1,1,1,2,1,2,0,8,0,3,2,3,3,2,0,3,1,33,0,3,0,3,0,8,6,0
177,xAB2l,AV.ABL,1,1,Because the CEO is directly using their customers as test subjects. The experiment they're trying to do would risk the safety and well being of their customers.,339,R_3JeXeK1dgRDdsd3,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,1,1,4,2,1,1,3,1,24,0,3,0,2,0,4,7,0
183,xAB2l,AV.ABL,5,0,he wants to test whatever way consumers find easiest to switch to manual control. I have no problem with the two tests.,175,R_3n2ZdZxTvtF2hoQ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,5,2,4,2,1,1,3,1,42,1,4,1,4,1,9,7,0
188,xAB2l,AV.ABL,1,1,"Judging the validity of consumer product based on how many accidents can occur is totally reprehensible. Self driving cars, in my opinion, will just be another step backwards for humanity in the quest for technology.",334,R_7Prd6V88qMkXk0p,2,1,1,1,2,0,2,1,2,1,1,1,1,1,2,0,2,1,2,0,7,0,5,5,4,2,1,1,3,1,44,1,4,1,2,0,12,5,0
195,xAB2l,AV.ABL,4,0,I think he did his diligence in trying to get to the right place. I like this.,65,R_3ergyhWur6TAtdQ,2,1,2,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,8,0,2,2,3,3,1,1,3,1,36,1,4,1,6,1,7,7,1
200,xAB2l,AV.ABL,4,0,"The CEO wants to build the safest cars and has built two versions that are mostly safe. Accidents happen, that's unavoidable, but he/she wants to figure out which ones lead to less accidents.",361,R_br2URsfzUqh60xP,2,1,1,1,1,1,2,1,2,1,2,0,2,0,1,1,2,1,2,0,7,0,3,2,4,2,1,1,3,1,29,0,2,0,1,0,7,5,0
218,xAB2l,AV.ABL,4,0,"It seems like a great way to test the functionality and which people may use more/less; however, muscle memory will also make people go for the brakes, steering wheel, etc, over a lever initially.",251,R_s5zUdBDR6TUqf17,2,1,1,1,1,1,1,0,2,1,2,0,1,1,1,1,2,1,2,0,7,0,4,2,4,2,2,0,3,1,33,0,6,1,6,1,8,5,0
229,xAB2l,AV.ABL,2,1,I chose this because he is running a test with people's lives. It would be more appropriate to try and do this in a lab setting where people won't be actually killed.,112,R_32WTJA0dFSuTfSG,2,1,1,1,1,1,2,1,2,1,1,1,2,0,1,1,1,0,2,0,7,0,5,4,2,4,1,1,3,1,19,0,3,0,5,1,13,5,0
238,xAB2l,AV.ABL,2,1,Using people in a test this way does not seem fair.  Even if you got to choose which car you wanted of the 2 choices it still seems unethical to run trials with actual people.  Even though they have the option to let the car drive itself I think this experiment is dangerous.,326,R_02l1Q9wCxdeSYLL,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,9,0,5,4,4,2,1,1,3,1,41,1,4,1,4,1,11,7,0
241,xAB2l,AV.ABL,5,0,I think the company should figure out which one is safer before selling any cars. They should be as safe as possible before they're on the market.,224,R_31bjMWUDVCV6Hyw,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,0,7,0,5,5,4,2,2,0,3,1,22,0,4,1,3,0,12,5,0
251,xAB2l,AV.ABL,4,0,It seems like a logical thing to do. He'll learn a lot.,184,R_Q5qQbYxfyIVFWaR,2,1,2,0,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,0,7,0,2,3,3,3,1,1,3,1,45,1,3,0,3,0,8,6,0
265,xAB2l,AV.ABL,4,0,"He is giving choices to consumers. On the other hand, waiting to see how many accidents there are is wrong.",169,R_Qb1Vq3wDleg7LnX,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,0,8,0,5,3,4,2,2,0,3,1,52,1,3,0,2,0,10,6,0
