StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,xB1,xA2,xB2,xA3,xB3,xA4,xB4,xA5,xB5,xA6,xB6,free_response
2017-09-20 14:04:57,2017-09-20 14:08:14,0,71.30.211.248,100,196,1,2017-09-20 14:08:14,R_1rwbVAntIwUvr09,,,,,41.276702880859,-93.435600280762,anonymous,EN,,5,,,,,,,,,,,"I think the decisions errors on the side of caution. As long as the car only brakes when the yellow light is in front of it, such as not turning yellow while you are in the middle of the intersection or the yellow light isn't for traffic coming from other directions or in for a different lane then the one you are in, this seems like a good solution. "
2017-09-20 14:07:28,2017-09-20 14:08:59,0,173.77.16.190,100,90,1,2017-09-20 14:09:00,R_3kwecSwLo020qtJ,,,,,40.730804443359,-73.997497558594,anonymous,EN,,,,,,,,,,5,,,Computers are not 100% reliable. It can't predict all the movements but human intuition can steer clear of things that may happen that cause harm to the driver or passengers.
2017-09-20 14:07:57,2017-09-20 14:09:18,0,97.84.30.41,100,80,1,2017-09-20 14:09:18,R_11gSXq1EL90zBvg,,,,,33.798095703125,-86.446998596191,anonymous,EN,,,,,,,5,,,,,,I think this is very good it shows the CEO cares for his own workers and he's concerned. This also shows a possible concern for the company or whatever he's over and that he's a good CEO always watching over his interest.
2017-09-20 14:08:51,2017-09-20 14:09:41,0,68.36.42.119,100,49,1,2017-09-20 14:09:41,R_31KmRyby9BWfeAU,,,,,42.568206787109,-83.906196594238,anonymous,EN,,,,,,2,,,,,,,"I dont think it is good for the human Psyche to know their medical predisposition. "
2017-09-20 14:08:23,2017-09-20 14:09:55,0,73.152.255.57,100,91,1,2017-09-20 14:09:55,R_1mEQQZUwW7BP5pj,,,,,37.756301879883,-77.488800048828,anonymous,EN,,,,,5,,,,,,,,"If some one know that you may have received an illness genetically, they should tell you. "
2017-09-20 14:08:42,2017-09-20 14:10:11,0,172.56.39.196,100,89,1,2017-09-20 14:10:11,R_D30fJPxfbxggMJb,,,,,38.005096435547,-121.83869934082,anonymous,EN,,,,,,,,5,,,,,I think that it very important and very kind of him to take this step.
2017-09-20 14:08:46,2017-09-20 14:10:48,0,199.0.194.104,100,121,1,2017-09-20 14:10:49,R_2wny3tYuqZVhO4e,,,,,39.493804931641,-97.61190032959,anonymous,EN,4,,,,,,,,,,,,"I think in high traffic areas having the self driving cars mimic the behavior of cars around it would help, but only a little bit.  Sometimes there are terrible drivers around and you wouldn't want the self driving car to drive in that manner."
2017-09-20 14:09:36,2017-09-20 14:11:01,0,66.135.239.65,100,84,1,2017-09-20 14:11:01,R_Av48KQ38L3aHSQV,,,,,21.362899780273,-157.87269592285,anonymous,EN,,,,,,,5,,,,,,"I know this has been a big subject of debate with legal and ethical issues. However, if people are at risk for certain conditions, it can be helpful to start a dialogue with a medical professional, even if these conditions never materialize for that individual. "
2017-09-20 14:09:47,2017-09-20 14:11:13,0,72.199.252.127,100,85,1,2017-09-20 14:11:14,R_2170LaSAEwbyx2m,,,,,32.75959777832,-116.9940032959,anonymous,EN,,5,,,,,,,,,,,The car company doesn't want people to die using its products. Also they don't want to be sued.
2017-09-20 14:10:42,2017-09-20 14:11:40,0,65.73.161.108,100,58,1,2017-09-20 14:11:40,R_2TGD8duAQGgtfk4,,,,,45.003295898438,-89.725601196289,anonymous,EN,,,,3,,,,,,,,,"It is his website, he can do what he wants.  Users don't have to use the site or date the matches."
2017-09-20 14:11:13,2017-09-20 14:12:17,0,107.77.225.47,100,63,1,2017-09-20 14:12:17,R_2sSJzBJp9wgQ71I,,,,,40.826995849609,-73.938400268555,anonymous,EN,,,,,,,,,,,3,,I think dating websites can match you using any algorithm they want. I don't think any are appropriate or inappropriate.
2017-09-20 14:08:35,2017-09-20 14:12:27,0,32.214.167.158,100,231,1,2017-09-20 14:12:27,R_1FICBOHVH220YQD,,,,,41.33039855957,-72.970596313477,anonymous,EN,1,,,,,,,,,,,,How do you avoid aggressive drivers who want to make it before the yellow light is off.  Intersection is the most dangerous area when considering self-driving vehicles.
2017-09-20 14:12:33,2017-09-20 14:12:47,0,104.185.97.239,100,13,1,2017-09-20 14:12:47,R_2e5cVgaYVbqSPV2,,,,,30.666793823242,-87.184997558594,anonymous,EN,,,,,,,,,1,,,,because he is stupid!
2017-09-20 14:11:53,2017-09-20 14:13:01,0,75.188.194.43,100,68,1,2017-09-20 14:13:01,R_2rj3MWOGFl0wXfS,,,,,39.954803466797,-82.769302368164,anonymous,EN,,,,,,,,,4,,,,"I think  thats a  fantastic idea  as it  can be  very  dangerous  to put  all of  our  faith in  a machine .  This  shows maturity and responsibility "
2017-09-20 14:12:11,2017-09-20 14:13:40,0,67.160.6.244,100,89,1,2017-09-20 14:13:41,R_Rgi1kTzwtqT2gff,,,,,47.820907592773,-122.31510162354,anonymous,EN,,,,,,,,,,5,,,"Automation will be helpful, but sometimes human reactions are faster and process situations differently.  Self driving cars will be safer, but it is important that we still have the ability to control."
2017-09-20 14:12:44,2017-09-20 14:13:55,0,76.93.229.113,100,71,1,2017-09-20 14:13:55,R_1kLAMeMgIvWM003,,,,,33.830307006836,-116.54530334473,anonymous,EN,,1,,,,,,,,,,,"it would keep self driving cars from causing accidents, however i am not supportive of self driving cars at al."
2017-09-20 14:11:40,2017-09-20 14:14:33,0,47.200.195.210,100,173,1,2017-09-20 14:14:34,R_1eQylXt5JvMM42t,,,,,27.437301635742,-82.577499389648,anonymous,EN,,,5,,,,,,,,,,People that are serious about dating don't want to waste time and energy dealing with people that they are not compatible with. The CEO is only trying to improve customer satisfaction by ensuring that customers meet the right person.
2017-09-20 14:14:29,2017-09-20 14:14:59,0,96.18.104.234,100,29,1,2017-09-20 14:14:59,R_1QAvy7n3bwjc1Yz,,,,,44.08610534668,-117.01879882812,anonymous,EN,,,5,,,,,,,,,,It seems like the way that most dating sites work.
2017-09-20 14:14:41,2017-09-20 14:15:59,0,50.83.237.193,100,77,1,2017-09-20 14:16:00,R_bm6jlhdb3gUMzXX,,,,,36.859603881836,-88.336700439453,anonymous,EN,,,,4,,,,,,,,,"I choose this option because they are somewhat similar and many couples need to only some similarities to be connected.  My husband and I have some similarities but we are very different in ways as well.  "
2017-09-20 14:13:38,2017-09-20 14:16:26,0,172.10.47.15,100,167,1,2017-09-20 14:16:26,R_stJmY778OHgiz97,,,,,30.542297363281,-97.917602539062,anonymous,EN,,,,,1,,,,,,,,This kind of betrays the customer and the purpose of this particular transaction. This would also violate certain medical statutes as well based on revealing certain medical conditions without consent.
2017-09-20 14:16:14,2017-09-20 14:17:36,0,184.91.70.97,100,82,1,2017-09-20 14:17:36,R_2qwOykhz25ZyCcD,,,,,28.399703979492,-81.172401428223,anonymous,EN,,,,,,,,,,,3,,I don't feel it's a bad idea. Some people are looking for more matches and some are not. It all depends on the person
2017-09-20 14:16:17,2017-09-20 14:17:49,0,104.50.82.132,100,91,1,2017-09-20 14:17:50,R_bygAQtHTkeXuBSF,,,,,32.660598754883,-97.02490234375,anonymous,EN,,,,,,,3,,,,,,I can't really say why it would or wouldn't be appropriate since I've never had to think about something like this.
2017-09-20 14:16:03,2017-09-20 14:17:58,0,75.121.243.116,100,115,1,2017-09-20 14:17:58,R_1pyXOzo2NNKHAea,,,,,31.307601928711,-85.880599975586,anonymous,EN,,,,,,,,,,5,,,i chose very appropriate because a human should always have control over a car or machine. i don't want to own a car that i can't take control over.
2017-09-20 14:16:44,2017-09-20 14:18:05,0,24.192.220.221,100,80,1,2017-09-20 14:18:05,R_DAEDBynhe1315G9,,,,,42.493804931641,-82.898498535156,anonymous,EN,,,,,,,,,,,,4,"From what I know, this is how a dating app is supposed to work.  Dating apps are supposed to match people based on their commonality."
2017-09-20 14:17:49,2017-09-20 14:18:47,0,174.193.138.122,100,57,1,2017-09-20 14:18:47,R_1JL5awu0N9eVFoQ,,,,,35.913192749023,-79.055801391602,anonymous,EN,,,,,,,,,,4,,,EVEN IF THE CAR IS SELF-DRIVING - A HUMAN NEEDS TO HAVE THE OPTION FOR TOTAL CONTROLL
2017-09-20 14:18:10,2017-09-20 14:18:48,0,73.231.222.156,100,38,1,2017-09-20 14:18:49,R_Ckb1MH4tEP3NA41,,,,,37.801803588867,-122.4382019043,anonymous,EN,,,,,,,,,,,,5,Sounds like a reasonable way to pick out people who might like each other.
2017-09-20 14:16:16,2017-09-20 14:19:24,0,174.30.44.203,100,187,1,2017-09-20 14:19:24,R_24A8NOPkhBcWg33,,,,,44.10139465332,-122.80630493164,anonymous,EN,,,,,,,,4,,,,,"Having access to information seems valuable. While learning that you have a risk factor for an untreatable genetic condition might be upsetting for some people, people can simply opt not to get the information if they are concerned."
2017-09-20 14:18:57,2017-09-20 14:19:31,0,198.85.236.234,100,33,1,2017-09-20 14:19:31,R_6rEI28ke4nw7dlv,,,,,34.317398071289,-77.988700866699,anonymous,EN,,,,2,,,,,,,,,It is fine as long as he is up front about it. It would kind of help people.
2017-09-20 14:18:22,2017-09-20 14:19:44,0,192.189.128.12,100,81,1,2017-09-20 14:19:44,R_2tzcxzGHTjLmySb,,,,,40.777404785156,-89.574897766113,anonymous,EN,,4,,,,,,,,,,,"I feel that is the way to be cautious and keep accidents to a minimum but I am still skeptical as to if this is the right avenue as there could be circumstances where this might not be valid. "
