StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,xA1,xB1,xAB1,xA2,xB2,xAB2,xA3,xB3,xAB3,xA4,xB4,xAB4,free_response
2017-09-28 15:34:34,2017-09-28 15:36:24,0,100,109,1,2017-09-28 15:36:24,R_1qecPqpMVFManGR,anonymous,EN,,,,,,,,,,5,,,I have the same belief that he had that humans should have freedom to choice if they want to drive or not. Especially in an emergency or unseen circumstances the car can't predict.
2017-09-28 15:33:24,2017-09-28 15:36:28,0,100,183,1,2017-09-28 15:36:28,R_1mmjKuiVDrXiR0J,anonymous,EN,,,,,,4,,,,,,,Because the doctor is willing to help other people by thinking wisely. The option to view or not to view their result is a good decision because it can greatly help with the patient's level of anxiety
2017-09-28 15:37:22,2017-09-28 15:39:25,0,100,122,1,2017-09-28 15:39:25,R_3PhSJIruRBONysC,anonymous,EN,,,,,5,,,,,,,,ITS SOMETHING THAT I WOULD BE INTERESTED IN. ITS ON MY MIND IF I WOULD GET IT OR NOT
2017-09-28 15:38:15,2017-09-28 15:39:51,0,100,96,1,2017-09-28 15:39:52,R_2s4Sh2kZV8h4fCH,anonymous,EN,,,,3,,,,,,,,,"I think it may be an appealing option for the business to attract extra customers. If people don't want to see it, they don't have to. It's not necessarily the best way to go about this, but I don't see it doing additional harm."
2017-09-28 15:37:59,2017-09-28 15:39:54,0,100,114,1,2017-09-28 15:39:54,R_1mOe2J7sEACVKz9,anonymous,EN,,,,,,,,3,,,,,"He's is giving them the opportunity. They have a say in the matter. However, the passage does not make it clear to me whether or  not he is having the testing conducted before consulting the clients"
2017-09-28 15:38:48,2017-09-28 15:40:02,0,100,74,1,2017-09-28 15:40:03,R_1eyfpRyxv9m3qkM,anonymous,EN,,,,,,,,,,,5,,You should be able to control what is going on in the car. If an accident were about to happen you could prevent it where a self driving car couldn't.
2017-09-28 15:39:06,2017-09-28 15:40:15,0,100,68,1,2017-09-28 15:40:15,R_2SvsWu2hijV6pdb,anonymous,EN,,,,,,,,,2,,,,He did not receive consent from these test subjects beforehand. This makes the process unethical.
2017-09-28 15:39:52,2017-09-28 15:41:15,0,100,83,1,2017-09-28 15:41:16,R_1OlTobIrU1uIF9d,anonymous,EN,,,,,,,5,,,,,,It's good that he wants to help others since he has the capability to do so.  It is still for the client to decide whether to use the service or not.
2017-09-28 15:39:49,2017-09-28 15:41:33,0,100,103,1,2017-09-28 15:41:33,R_b3qq0YRrIP2g4al,anonymous,EN,,,5,,,,,,,,,,It's appropriate because it's a good business experiment so the CEO can improve their matching system for their customers.
2017-09-28 15:41:18,2017-09-28 15:43:29,0,100,130,1,2017-09-28 15:43:29,R_bEPDBVfcd6f6pYB,anonymous,EN,,2,,,,,,,,,,,"If customers believe they will only be able to contact people who are a match and they do not know of the CEO's new system, then it is inappropriate. Especially if people are paying for this service. "
2017-09-28 15:41:29,2017-09-28 15:45:04,0,100,215,1,2017-09-28 15:45:05,R_1mrTD5EoOIY0nT6,anonymous,EN,5,,,,,,,,,,,,"Having a site that matches people up for dates has an important job to do, the more ways to match people the better. Just going by tastes and habits is very broad, there should be more ways for people to find a connection. Only having tastes and habits could end up matching a lot of people with a lot of other people they will not end up being interested in. The more questions asked the better"
2017-09-28 15:44:45,2017-09-28 15:47:46,0,100,180,1,2017-09-28 15:47:46,R_2UbzwOD1xWY4HDd,anonymous,EN,,,,,,,,,5,,,,It is very helpful to know about family health conditions and ways to prevent future diseases.  Knowing if you have genetic mutations would be very helpful.
2017-09-28 15:47:28,2017-09-28 15:48:21,0,100,53,1,2017-09-28 15:48:22,R_3D09KriWljey3eY,anonymous,EN,,,,,,,4,,,,,,"While there are some concerns about how the privacy of this data will be protected during the transmission to the patient, in general, giving patients more information if they freely choose to seek it out is a good thing."
2017-09-28 15:47:28,2017-09-28 15:48:54,0,100,86,1,2017-09-28 15:48:55,R_1rPwyHJVMvjirOE,anonymous,EN,,,,,,,,,,,,5,I think it is very appropriate to test the best way to have humans override the self driving car.  People will want this option and will want it to work in the best possible way.
2017-09-28 15:53:29,2017-09-28 15:54:18,0,100,48,1,2017-09-28 15:54:18,R_24jkf0yZcHoIFAa,anonymous,EN,4,,,,,,,,,,,,"I think that this is a good idea and people on the site will like it. "
2017-09-28 15:53:19,2017-09-28 15:54:24,0,100,65,1,2017-09-28 15:54:25,R_A7OgczFKzKld0uB,anonymous,EN,,,1,,,,,,,,,,He changed the procedure and he did not give the people signing up the option of which process to be used. Its not fair.
2017-09-28 15:53:37,2017-09-28 15:55:13,0,100,96,1,2017-09-28 15:55:14,R_3r2KGoarlRcIprf,anonymous,EN,,,,,,,,5,,,,,If I paid for this I would like the most information I could get and knowing about these risks could be helpful
2017-09-28 15:56:55,2017-09-28 15:58:21,0,100,85,1,2017-09-28 15:58:21,R_1C48Kv1EHb0wEkF,anonymous,EN,,3,,,,,,,,,,,People do not need to be absolutely similar to appreciate each other.
2017-09-28 15:59:40,2017-09-28 16:01:04,0,100,83,1,2017-09-28 16:01:04,R_33eGGBk9NqLH66Y,anonymous,EN,,,,,,,,,,5,,,"It's a good way to make the transition and gives drivers an option, a choice and a sense of control."
2017-09-28 15:59:37,2017-09-28 16:01:19,0,100,101,1,2017-09-28 16:01:19,R_10Ct2sYpWMjMIfV,anonymous,EN,,,,,,,,,,,5,,"There are too many variables when driving to not provide the driver with over ride options. "
2017-09-28 16:00:32,2017-09-28 16:01:44,0,100,71,1,2017-09-28 16:01:44,R_2YVap7gd7PvQa63,anonymous,EN,,,,,,,,,,,,5,It's my biggest concern with self driving cars. I think it's a rational experiment
2017-09-28 15:59:43,2017-09-28 16:02:33,0,100,169,1,2017-09-28 16:02:33,R_vdiYwRzz2it6CGJ,anonymous,EN,,,,,2,,,,,,,,"We're not given information about whether or not the customers are given the choice to opt into genetic testing about dementia from the outset, so I'll assume the customers were not given the choice from the beginning. Being given the choice of whether or not to view their dementia risk after the testing has already been performed is inappropriate because it has no bearing on the fact that the test was performed without the customer's express consent.  "
2017-09-28 16:00:53,2017-09-28 16:02:53,0,100,119,1,2017-09-28 16:02:53,R_6XaLji5SqnZSF3P,anonymous,EN,,,,,,,,2,,,,,I think most people would prefer not to know if they had a genetic condition that could not be prevented or cured. It would just create more worry while there would be nothing they could do about it.
2017-09-28 16:03:46,2017-09-28 16:07:10,0,100,204,1,2017-09-28 16:07:11,R_1H5ALeAeGKtwmFq,anonymous,EN,,,,,1,,,,,,,,"It should be the customers' decision whether they want this test done; this could be traumatizing if results support probability for developing dementia. This is a very sensitive issue, and the director doing the test may put the customers at risk of possibly having this health information exposed to others, which could have very negative consequences."
2017-09-28 16:05:25,2017-09-28 16:08:21,0,100,175,1,2017-09-28 16:08:21,R_3GvaqnBQw5jHwmC,anonymous,EN,,,,,,4,,,,,,,"I chose the director's decision is somewhat appropriate because preventative healthcare is vital to combating conditions such as cancer and dementia.  In addition, early diagnosis has been dramatically shown to increase survival and quality of life."
2017-09-28 16:12:45,2017-09-28 16:15:03,0,100,137,1,2017-09-28 16:15:03,R_0wHxtZzX4YCUt57,anonymous,EN,,,3,,,,,,,,,,"I think it might be a worthwhile experiment, as similarities do not always mean a good match. People might be a better match for each other if they have some differences. I think it is good of the CEO to try different things to get better results."
2017-09-28 16:15:11,2017-09-28 16:16:36,0,100,85,1,2017-09-28 16:16:37,R_RgE2fvhQaI3q2AN,anonymous,EN,,,,5,,,,,,,,,It's always good to let people know if they are at risk in certain ways. Cancer is a disease that is very dependable on when its detected so knowing you are at risk would help prevent it in the future.
2017-09-28 16:14:53,2017-09-28 16:18:28,0,100,215,1,2017-09-28 16:18:29,R_2aELv35YlKXldHS,anonymous,EN,,,,,,,,,4,,,,"It's very important to always do your past research, in order to move forward with anything that is future related. Taking the right precautions for preventions."
2017-09-28 16:18:04,2017-09-28 16:20:43,0,100,159,1,2017-09-28 16:20:44,R_2WvhjhHJfUrOTBG,anonymous,EN,3,,,,,,,,,,,,cuz i have no idea if its good bad or whatever. is the ceo trump or musk. is it just random matching or math.
2017-09-28 16:19:58,2017-09-28 16:25:09,0,100,311,1,2017-09-28 16:25:09,R_232JMAqninA1hW6,anonymous,EN,,,,,,,,,,5,,,"Something could go wrong with the cars computer or navigation system causing the car to become a hazard to the driver and passengers, and to other cars and pedestrians. In such a case, I would want to be able to override the system and take control."
2017-09-28 16:11:31,2017-09-28 16:27:06,0,100,935,1,2017-09-28 16:27:07,R_3QJAV1KUWAPY393,anonymous,EN,,,,,,,5,,,,,,"People deserve to know if they are at risk so they can make the appropriate steps to get better.  The CEO is doing the right thing.  "
2017-09-28 16:34:46,2017-09-28 16:36:15,0,100,89,1,2017-09-28 16:36:16,R_bpBqezDf0Ig3Xah,anonymous,EN,,,,,,,,,,,4,,because its an appropriate response to a concern people have about emergency situations
2017-09-28 16:36:23,2017-09-28 16:38:17,0,100,114,1,2017-09-28 16:38:18,R_ZwRPtxAVtSKG5DX,anonymous,EN,,4,,,,,,,,,,,"It's acceptable to tweak the formula for what constitutes a match, as long as it is not a major departure from what customers signed up for, and the changes are explained."
2017-09-28 16:52:17,2017-09-28 16:53:15,0,100,58,1,2017-09-28 16:53:15,R_10Pje9nHZwHUSp8,anonymous,EN,,,,,,,,,,4,,,Having an option to switch incase of failure is reasonable.
2017-09-28 16:53:13,2017-09-28 16:54:07,0,100,53,1,2017-09-28 16:54:07,R_3oObJe8iXuJRxZb,anonymous,EN,,,,,,,,,,,5,,I feel like if there was any kind of failure on the self-driving aspect of the car the driver would need to step in and actually perform the duties of driving.
2017-09-28 16:54:24,2017-09-28 16:55:34,0,100,69,1,2017-09-28 16:55:35,R_1g7JuBOtJdaxLjJ,anonymous,EN,,,2,,,,,,,,,,He needs to disclose how he is matchong people.  The people need to know.
2017-09-28 16:58:03,2017-09-28 16:59:39,0,100,96,1,2017-09-28 16:59:39,R_6sMyHoOdc680Ytr,anonymous,EN,,,,,,,,5,,,,,Because this will give a person an opportunity to know about their health. Even if nothing can be done it is good to know what you can expect about your health in the future.
2017-09-28 17:04:49,2017-09-28 17:06:12,0,100,82,1,2017-09-28 17:06:12,R_1renc3d0mb4Nujf,anonymous,EN,4,,,,,,,,,,,,"Customers could be more satisfied if they received more matches by expanding the amount of similarity. "
2017-09-28 17:06:35,2017-09-28 17:08:52,0,100,137,1,2017-09-28 17:08:53,R_2BlIeskpc71a3Ni,anonymous,EN,,,,,,,,,,,,5,"These decisions are very appropriate because a machine in many cases makes decisions without there being feelings involved, and that is what makes us humans take the right decisions in an emergency."
2017-09-28 17:14:33,2017-09-28 17:15:46,0,100,72,1,2017-09-28 17:15:46,R_3NOkWQ1bdf7NjWN,anonymous,EN,,4,,,,,,,,,,,"If the main goal is to increase the number of matches, it makes sense to match people based on somewhat similarities. Otherwise, the only way they would match is if they were perfectly similar, which is unlikely. "
2017-09-28 17:20:52,2017-09-28 17:22:14,0,100,81,1,2017-09-28 17:22:14,R_2eVCPZkSHUFxbsU,anonymous,EN,,,,5,,,,,,,,,"It could be life saving to know early on. It's better to know if you run a higher risk to developing cancer compared to the average. "
2017-09-28 17:23:54,2017-09-28 17:24:59,0,100,65,1,2017-09-28 17:24:59,R_3NIiDrX1w3UWMoJ,anonymous,EN,,,,,,,,,1,,,,Because he could prevent risks.
2017-09-28 17:27:25,2017-09-28 17:30:01,0,100,156,1,2017-09-28 17:30:01,R_1ie3ory2OIbquKG,anonymous,EN,,,,,,5,,,,,,,It can be beneficial for people to learn things about what diseases they can get.  Genetics can determine these things.
2017-09-28 17:39:45,2017-09-28 17:41:59,0,100,134,1,2017-09-28 17:41:59,R_3EFK79Ddo9XoJw3,anonymous,EN,,2,,,,,,,,,,,"If people's interests and personalities are not similar, it will be more difficult to establish and maintain a relationship"
2017-09-28 17:42:28,2017-09-28 17:42:46,0,100,17,1,2017-09-28 17:42:47,R_wMYjh45hjRlS3kJ,anonymous,EN,,,,,,,,,,1,,,"Simply not OK. Offputting and odd. "
2017-09-28 17:43:01,2017-09-28 17:46:38,0,100,216,1,2017-09-28 17:46:39,R_3HTtqJ0Mjx1D8gl,anonymous,EN,,,,,,,5,,,,,,I think genetic testing for health issues is very important for people especially if they do know anything about their family history. This could help prevent a terminal medical problem later in life. This would be great for a CEO to offer this and put the quality of life over a business decision.
2017-09-28 17:52:03,2017-09-28 17:52:59,0,100,55,1,2017-09-28 17:52:59,R_1CwPl112ErNxBuu,anonymous,EN,,,,,,3,,,,,,,I cannot make an informed decision without knowing if customers opted into receiving this knowledge or not.
2017-09-28 17:56:12,2017-09-28 17:57:41,0,100,89,1,2017-09-28 17:57:42,R_2EmJQVRAWhHIEgz,anonymous,EN,,,4,,,,,,,,,,"I think there is no perfect way to match people, but some people like very similar qualities in a match, while others may want some differences.  It at least gives people more options to meet matches. "
2017-09-28 18:00:51,2017-09-28 18:03:31,0,100,160,1,2017-09-28 18:03:32,R_1gi39MDAfDa7jwo,anonymous,EN,,,,4,,,,,,,,,"The consumer can choose to not have the DNA testing done if they don't want to know about the cancer risks. However, I think the company should have surveyed prospective buyers to see if cancer was the one health-related test they wanted run."
2017-09-28 18:05:25,2017-09-28 18:06:15,0,100,49,1,2017-09-28 18:06:16,R_2coBl4drnLRoeFX,anonymous,EN,3,,,,,,,,,,,,I am not familiar enough with dating services to know how they match people
2017-09-28 18:06:10,2017-09-28 18:07:30,0,100,79,1,2017-09-28 18:07:30,R_2wQRWfUYnaxtTWL,anonymous,EN,,,,,,,,,,,5,,I would NEVER ride in a self driving car. If I did I'd want AT LEAST the option to over ride the system
2017-09-28 18:07:35,2017-09-28 18:09:18,0,100,102,1,2017-09-28 18:09:18,R_3nPJ7HTK1JEbO0u,anonymous,EN,,,,,,,,4,,,,,"It's better to know if you have any genetic risks for conditions, regardless of whether they're preventable, because the more you know about yourself, the better choices you can make."
2017-09-28 18:08:01,2017-09-28 18:09:23,0,100,82,1,2017-09-28 18:09:24,R_d0fI3idV2bVnvCF,anonymous,EN,,,,,4,,,,,,,,"I think it would be good to know. The doctor could be preventing future health risks. "
2017-09-28 18:07:42,2017-09-28 18:09:36,0,100,114,1,2017-09-28 18:09:36,R_D5G0rnF20EhFeyl,anonymous,EN,,,,,,,,,,,,1,"I think the company is being very responsible. Technology can only do so much but in case of an emergency or technological glitch, the human needs to take control of the vehicle to remain safe."
2017-09-28 18:08:16,2017-09-28 18:09:46,0,100,90,1,2017-09-28 18:09:47,R_2pVx9iSOYsRL3Em,anonymous,EN,,,,,,,,,,5,,,"I have heard about self driving cars crashing, in the news. It seems obvious. This is bad technology to let the car have full control without a kill switch option."
2017-09-28 18:08:37,2017-09-28 18:10:56,0,100,138,1,2017-09-28 18:10:56,R_2RQi7oabpziX3OF,anonymous,EN,,,,,,,5,,,,,,"I'd say very appropriate, because he is already offering one service and is giving the consumer the Option of seeing more, not forcing those results on them. Having the choice would be nice, especially when given the example of someone being adopted, they may have no prior knowledge of their health risks. This test would be a 2 for 1. "
2017-09-28 18:10:27,2017-09-28 18:11:58,0,100,91,1,2017-09-28 18:11:59,R_DcKYBnmj5pvRcWJ,anonymous,EN,,3,,,,,,,,,,,"I suppose if he puts this in the sign up disclaimer it would be ok. Opposites attract. "
2017-09-28 18:15:49,2017-09-28 18:17:57,0,100,128,1,2017-09-28 18:17:57,R_1OT9FMXrEwVP239,anonymous,EN,,,,,,,,,,,4,,"I think there are times where this may be needed.  At the same time, if every single car had automatic driving, then the cars could talk to each other and never crash.  So it may be a good thing in the mean time, but in the long run, it will probably be unnecessary."
2017-09-28 18:22:23,2017-09-28 18:24:18,0,100,114,1,2017-09-28 18:24:18,R_aag9rsicdGyjoTn,anonymous,EN,,,3,,,,,,,,,,"I think it's an ok thing to do, and it's not really hurting anyone.  But I could see how some people would be angry if they found out and see it as deceptive. "
2017-09-28 18:24:38,2017-09-28 18:27:01,0,100,142,1,2017-09-28 18:27:01,R_1KfDxgcGNKeNOD8,anonymous,EN,,,,,,5,,,,,,,"As long as the results are kept secret, I think it is fine to do this.  The person gets to choose whether or not to see the results, and I believe no harm is done."
2017-09-28 18:26:36,2017-09-28 18:27:52,0,100,75,1,2017-09-28 18:27:52,R_1pSFSI9evu1RR7j,anonymous,EN,,,,,,,,5,,,,,I THINK PEOPLE HAVE RIGHT TO KNOW IF THEY WANT TO KNOW WHAT PROBLEM THEY MAY FACE IN THE FUTURE
2017-09-28 18:26:41,2017-09-28 18:27:57,0,100,75,1,2017-09-28 18:27:57,R_w4ZsmgHALpEkaQh,anonymous,EN,,,,,,,,,2,,,,"I think all people should be offered the same treatment in this scenario, especially for awareness sake. I think the CEO should make a concrete decision and not a split one."
2017-09-28 18:39:40,2017-09-28 18:42:52,0,100,191,1,2017-09-28 18:42:52,R_0cFcoqePvTuxasF,anonymous,EN,,,,1,,,,,,,,,"People aren't agreeing to the extra test, only the ancestry test.  If they want it to happen they should sign on for it in the agreement with the company, not simply be told later their health risks via DNA were tested across the board without their asking but that their consolation is that they may view it.  It is an invasion of privacy."
2017-09-28 19:07:17,2017-09-28 19:09:39,0,100,142,1,2017-09-28 19:09:39,R_saG40my6F3hUTOF,anonymous,EN,,,,,3,,,,,,,,"It sounds like the doctor gave people the option of viewing the results, which I think some people would appreciate if it wasn't at an extra cost. If people don't want to know, they aren't exposed to the information."
2017-09-28 19:17:59,2017-09-28 19:19:15,0,100,76,1,2017-09-28 19:19:16,R_zTo6tQQmfWcKAZH,anonymous,EN,4,,,,,,,,,,,,People on dating sites that are matched up to tohers would rather have a match with someone Very similar than someone just similar.
2017-09-28 19:43:45,2017-09-28 19:47:10,0,100,204,1,2017-09-28 19:47:10,R_2Qsbw0An4QRCviG,anonymous,EN,,,,,,,,,,,,5,I think the human driver should always have the choice of switching between self-driving and human-driving modes because there are situations wherein the human has more considerations in terms decision making.
2017-09-28 19:51:56,2017-09-28 19:53:07,0,100,70,1,2017-09-28 19:53:07,R_2uOR4Jw74bfhhl6,anonymous,EN,,,,,,,5,,,,,,I think it is appropriate because the CEO is allowing people to see results of diseases they can prevent or reduce their risk for. This allows people to lives healthier lives and maximize their chances of avoiding the disease.
2017-09-28 20:01:57,2017-09-28 20:04:42,0,100,164,1,2017-09-28 20:04:43,R_2dsaDkyFTAVkiFz,anonymous,EN,,,,,,4,,,,,,,"If the customers want to know what their risks are, they should be able to find out if they want. They should be informed on what they are being tested for so they can make a sound decision on what they are asking to know."
2017-09-28 20:01:43,2017-09-28 20:06:08,0,100,264,1,2017-09-28 20:06:09,R_ZfsrmS6lhMX1ieZ,anonymous,EN,,,,,,,,4,,,,,"I think i is good because some people want to know, probably not only for themselves, but their offspring or loved ones.So they should have the right to know.  However, for some of us, that don't want to know, it's good there would be the option where we could choose to opt out."
2017-09-28 20:46:09,2017-09-28 20:49:00,0,100,170,1,2017-09-28 20:49:00,R_1DDbc3mLjcyQoSQ,anonymous,EN,,4,,,,,,,,,,,Because no one us perfectly matched...no fun in being with someone the same as you
2017-09-28 21:16:53,2017-09-28 21:18:23,0,100,89,1,2017-09-28 21:18:24,R_3MipcgIYPeuibex,anonymous,EN,,,,,2,,,,,,,,"I do not think the company is justified in testing for dementia without prior consent of the patient. Health information is confidential and private, and the company should be straightforward and open about their intent so that the patient can opt out before sending in their sample rather than after the sample has been taken and tested."
2017-09-28 21:18:13,2017-09-28 21:18:46,0,100,32,1,2017-09-28 21:18:46,R_2fJsRH3cfkN5zfu,anonymous,EN,,,,4,,,,,,,,,"i think everyone should know about their results "
