StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,FreeResponse,xA2,FreeResponse,xA5,FreeResponse,xA12,FreeResponse,xA6,FreeResponse,xA7,FreeResponse,xA8,FreeResponse,xA9,FreeResponse,xA14,FreeResponse,xA3,FreeResponse,xA10,FreeResponse,xA13,FreeResponse,xA15,FreeResponse,xA11,FreeResponse,xA4,FreeResponse,xB1,FreeResponse,xB2,FreeResponse,xB5,FreeResponse,xB12,FreeResponse,xB6,FreeResponse,xB7,FreeResponse,xB8,FreeResponse,xB9,FreeResponse,xB14,FreeResponse,xB3,FreeResponse,xB4,FreeResponse,xB10,FreeResponse,xB11,FreeResponse,xB13,FreeResponse,xB15,FreeResponse,Sex,Race/Ethnicity,Age,Education,Income,FreeResponse - Topics
10/20/17 19:09,10/20/17 19:15,0,107.50.127.53,100,329,1,10/20/17 19:15,R_2v7YxpncEYwozEO,,,,,41.90379333,-87.67569733,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Because it would provide training for people in jobs that are needed and allow future advancement.,2,"How could a medical office prepare if it didn't know if patients were going to show up for an appointment that they did not make.  Also, people should not feel obligated or pressured to undergo a procedure.  ",2,He should have a conversation with his board of directors and they should vote on how to spend the money or invest it. ,5,"If it's a free service, people cannot complain about the content.  ",4,He should have a discussion with the patients and get their input as to whether they would rather have drug a or drug b.,,,,,,,,,,,2,3,45,4,2,
10/20/17 19:10,10/20/17 19:15,0,73.160.122.102,100,302,1,10/20/17 19:15,R_3qE8tRpHOmO8GHC,,,,,39.83979797,-74.19010162,anonymous,EN,,,,,,,,,,,5,It plays to people's egos and needing to feel they are of service and important. ,5,A fun way to make light of an unsavory procedure. ,4,"It's a good start, but do these people have the means to care for the livestock?",2,It will annoy customers and drive them away to another free service with less ads. ,4,"If both are equal in all ways, it shouldn't matter. Is Dr. Jones receiving compensation from drug A's pharma company?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,32,4,3,
10/20/17 19:12,10/20/17 19:15,0,50.106.251.209,100,198,1,10/20/17 19:15,R_3Dv9JbwRFhAHBnB,,,,,40.47340393,-88.99150085,anonymous,EN,5,Because they are doing what is best for the residents and that's who matters ,5,It doesn't cause side effects and is wallet friendly,5,Everyone deserves a chance at a normal life not worrying about how to feed themselves ,5,He isnt requiring anything just providing options,4,Its isn't cost effect but will boost performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,32,3,1,
10/20/17 19:09,10/20/17 19:15,0,68.4.181.90,100,367,1,10/20/17 19:15,R_1ou9HgXEYHeR3IC,,,,,33.69099426,-117.7882004,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"This sounds like a great idea. This will create more jobs, and also will help save lives. Advertising this position properly is the key, so as long as the posters work then it will be a huge benefit.",4,"I think this is a good idea overall. Some people may not like being automatically scheduled, so it may be best to just send a reminder without any action attached to it, but since there is no obligation, then I think it's fine. ",5,"Having a place to live for someone that is homeless or poor is a huge help since rent is usually the most expensive bill that someone has. By taking that out of the equation, it allows for a low income family to spend money on other bills. I'm sure for many people this is enough to get them to a better place in life.",1,"If the options weren't there to begin with then it would be a non-issue. But removing things that were originally free is an easy way to lose customers. Instead of removing options, I think it would be better to add more options as incentives. ",5,"Since both drugs are affordable and are solutions, then his decision is fine. He is not picking a more expensive drug, or a less effective drug, so I don't see anything wrong with his decision. He is helping his patients in more ways than one.",,,,,,,,,,,1,1,27,3,3,
10/20/17 19:10,10/20/17 19:15,0,173.244.36.2,100,295,1,10/20/17 19:15,R_eQzwJcuuqa6ht3b,,,,,33.44839478,-112.0739975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,3,It could hurt or help. It may help people with the lowest of incomes but I'm not sure how well it will help with the tax season.,3,It may be popular and it might get some newly hired employees but it is imperative to showcase the importance of the plans.,3,It makes sense to decrease the amount of dread however having advertisements in anything is still a dread.,4,It encourages people to strive for employment though I will say it may encourage people to take advantage of the system.,4,The hospital wants to optimize the best possible outcomes for newly born babies and I think it is a good idea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,24,4,1,
10/20/17 19:09,10/20/17 19:16,0,74.37.201.92,100,401,1,10/20/17 19:16,R_1flS9L41N61BpTt,,,,,35.18330383,-83.43070221,anonymous,EN,,,,,,,,,,,,,,,,,,,,,4,This would be an asset to those poor people so I think this was a good decision on the director's part.,5,I think the CEO's idea is good because he needs to get that information out to new employees and it would be useful to present the most popular options.,5,People will get tired of the ads and upgrade to the premium service.,2,Since the money stops when they find a job I think this will discourage them from looking for work,4,It seems this would be the proper range to set the machines just based on the available information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,50,2,2,
10/20/17 19:11,10/20/17 19:16,0,99.101.249.43,100,266,1,10/20/17 19:16,R_1rMpGluzg68BuzI,,,,,32.97219849,-96.73760223,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Well first off, I'm not a doctor so I'm probably going to go with what the hospital says.  Second, the machines would probably lower easier than they would raise, since it's pressurized air, so it might make sense to set it at a higher value.",5,It seems like training and education is a good issue for a charity to have a long lasting impact.  I don't see much wrong with this.,2,Welfare is never a good use of country finances.  I don't see much rationale behind this decision.,4,I don't see much problem with this.  It's a little misleading to automatically enroll people but saving for retirement is important and everyone should be doing it anyways.,4,I don't think this is an inappropriate decision.  It's his company and if people don't like it they're free to not use the service.,1,3,20,3,1,
10/20/17 19:09,10/20/17 19:16,0,67.253.211.140,100,378,1,10/20/17 19:16,R_RyrwymuW127AjE5,,,,,42.86849976,-76.78479767,anonymous,EN,5,"Yep, no one should be working 24 hours. Not only are they likely to mess up, it's exploitative to ask of them.",5,Why wouldn't it be appropriate? Affordable and not bad side effects: those are good reasons to choose a particular drug.,5,"I don't know what the actual amounts involved were, but it makes sense that those who were poorest might not be able to get by with the usual amount.",4,"Well, I don't see why not, but I doubt it will help. The employees probably can't afford to join the plan, and that's why they don't.",2,"Teachers already have an uneven income over time. A raise would be better. Also, although I'm not opposed to giving teachers raises or bonuses, I think the students would probably benefit more from smaller class sizes, so, hiring more teachers instead. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,38,6,2,
10/20/17 19:09,10/20/17 19:16,0,146.115.45.174,100,387,1,10/20/17 19:16,R_2rZ1s6PfhvqbuYe,,,,,42.35960388,-71.12870026,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,Studies have shown that people know what they need best. Giving them straight money is more effective and beneficial for these people than them just receiving food or whatever else the charity would give out.,5,"I think it's totally appropriate, just maybe not the best way to get people to actually enroll. I think they should automatically put a portion of people's salaries in a 401k. But telling people the most popular funds will probably make the process easier for people.",5,It's a free service; he can do whatever he wants. People have the choice to opt out of the service entirely or upgrade to Premium service.,4,"I think it's perfectly appropriate -- it's basically what we do with welfare (by making people apply to jobs). Not sure if there is much incentive for people to find work before the 6 months are up, though.",4,"The head is doing what he thinks is best. It's possible that oxygen between 90-95 would be better, but he's not purposefully harming the children.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,27,6,2,
10/20/17 19:10,10/20/17 19:16,0,69.176.13.134,100,342,1,10/20/17 19:16,R_2z5OewjPGZZfH1g,,,,,37.48129272,-82.62529755,anonymous,EN,,,,,,,,,,,,,,,,,,,,,1,All cash payout? Would be wiser to at least buy food vouchers of some sort to ensure it was being spent on food.,5,"Seems like he is looking out fr his employees, ",4,Free music for 30 sec ad? I'll take that.,1,$1000 a month for being unemployed? Way to much and for to long.,3,I think I would set the machine no lower than 88.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,37,2,4,
10/20/17 19:14,10/20/17 19:16,0,24.130.10.251,100,126,1,10/20/17 19:16,R_2xXLk82804Imr49,,,,,37.45759583,-122.1040955,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,based on the suition,3,based on need,4,my opinion,2,"not creative
",2,my thought,,,,,,,,,,,,,,,,,,,,,2,4,25,4,4,
