StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,badge,poster,bp_short,bp_long,free_response,sex,race,age,education,income,god,intuition,science,SC0,free_response - Topics
8/3/17 12:19,8/3/17 12:20,IP Address,99.203.15.72,100,69,TRUE,8/3/17 12:20,R_eLGew7rmON3KdRD,,,,,41.77420044,-87.71530151,anonymous,EN,,,Somewhat inappropriate,,I think the patients should get the same treatment,Male,Black/African-American,34,Some College,"Between $20,000 and $40,000",Somewhat agree,Somewhat agree,Neither agree nor disagree,11,Unknown
8/3/17 12:18,8/3/17 12:20,IP Address,196.53.37.60,100,80,TRUE,8/3/17 12:20,R_2WDzrGqrhWeTuzx,,,,,40.49809265,-74.31939697,anonymous,EN,,,,Somewhat inappropriate,"It is inappropriate to treat people in this manner, rather than treating them the appropriate way. They should not be subject to a guessing game experiment in regards to their health. ",Male,White,27,Graduate Degree,"Between $40,000 and $60,000",Somewhat agree,Somewhat agree,Somewhat agree,10,Unknown
8/3/17 12:18,8/3/17 12:20,IP Address,73.189.205.166,100,103,TRUE,8/3/17 12:20,R_3EQhe8M9r7ZYBnA,,,,,38.28320313,-122.0084991,anonymous,EN,,,,Very inappropriate,The patients weren't informed they were part of an experiment. No procedural outline was distributed to participating physicians.,Female,White,53,Four-Year College Degree,"Less than $20,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:17,8/3/17 12:20,IP Address,173.217.102.225,100,186,TRUE,8/3/17 12:20,R_3oSCUKLCBhDwirv,,,,,32.70809937,-93.2779007,anonymous,EN,Somewhat inappropriate,,,,Doctor should already know the procedure.,Female,Other,37,Four-Year College Degree,"Between $60,000 and $80,000",Neither agree nor disagree,Strongly disagree,Somewhat agree,6,Unknown
8/3/17 12:18,8/3/17 12:20,IP Address,157.225.178.103,100,102,TRUE,8/3/17 12:20,R_z37fQwTtjklG5Db,,,,,43.15179443,-77.58519745,anonymous,EN,Very appropriate,,,,It is a proactive approach to helping patients. I think that is appropriate.,Male,White,29,Four-Year College Degree,"Between $60,000 and $80,000",Somewhat agree,Somewhat agree,Somewhat agree,10,Unknown
8/3/17 12:18,8/3/17 12:20,IP Address,159.118.181.10,100,130,TRUE,8/3/17 12:20,R_s59Prkt3RVBTKKZ,,,,,33.56820679,-104.4225006,anonymous,EN,,,Somewhat appropriate,,Good idea to find out which way is more appropriate.,Female,White,60,Some College,"Between $40,000 and $60,000",Strongly agree,Somewhat agree,Somewhat agree,11,Unknown
8/3/17 12:18,8/3/17 12:20,IP Address,71.68.249.180,100,139,TRUE,8/3/17 12:20,R_ST8EdYLB4HWCLsZ,,,,,34.76780701,-79.46389771,anonymous,EN,,Very appropriate,,,The posters would serve as a reminder/check list for medical staff and the patient can be proactive in their care by paying attention to whether or not the procedures were followed. ,Female,White,50,Four-Year College Degree,"Less than $20,000",Somewhat agree,Strongly disagree,Somewhat agree,7,Unknown
8/3/17 12:19,8/3/17 12:20,IP Address,71.204.232.18,100,112,TRUE,8/3/17 12:20,R_1jvQK6tzxMgYYl6,,,,,32.70809937,-79.94380188,anonymous,EN,Very inappropriate,,,,badges have nothing to do with deadly infections,Female,White,49,High School Degree,"Less than $20,000",Somewhat agree,Somewhat disagree,Strongly agree,7,Unknown
8/3/17 12:19,8/3/17 12:20,IP Address,68.50.103.182,100,103,TRUE,8/3/17 12:20,R_d4CUqHsYkriC46Z,,,,,39.5144043,-86.20400238,anonymous,EN,,Very appropriate,,,It's very appropriate because this will remind the doctors of the safety precautions. This will also show the patients that the doctors take safety very seriously.,Female,White,33,Four-Year College Degree,"Between $60,000 and $80,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:19,8/3/17 12:21,IP Address,66.211.222.186,100,105,TRUE,8/3/17 12:21,R_3KoQnAqPD1mxVdV,,,,,42.05769348,-80.04340363,anonymous,EN,,Somewhat inappropriate,,,I don't want to think about what could go wrong moments before I have to have it done. It's last minute and would make me fearful. ,Male,Black/African-American,25,Four-Year College Degree,"Between $20,000 and $40,000",Strongly agree,Neither agree nor disagree,Strongly agree,9,Unknown
8/3/17 12:19,8/3/17 12:21,IP Address,207.189.180.5,100,116,TRUE,8/3/17 12:21,R_3QSEp4xydA2bNqH,,,,,34.0007019,-81.03479767,anonymous,EN,,Very appropriate,,,"I think it's important for the doctor to be constantly reminded of safe practices, along with the patient to be aware of the safe practices to know when to speak up if they are not being followed.  ",Male,"White,Asian",29,Four-Year College Degree,"More than $100,000",Somewhat disagree,Somewhat disagree,Somewhat agree,6,Unknown
8/3/17 12:19,8/3/17 12:21,IP Address,38.132.130.205,100,75,TRUE,8/3/17 12:21,R_2VgOUW6lPkjLAsR,,,,,36.354599,-81.47280121,anonymous,EN,,,,Somewhat appropriate,"I think it should be patient's choice, not a blind game.",Male,White,27,Some College,"Less than $20,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:17,8/3/17 12:21,IP Address,99.75.154.66,100,217,TRUE,8/3/17 12:21,R_Og2Wtl3wp2tF37b,,,,,40.11659241,-85.77230072,anonymous,EN,Very appropriate,,,,Seems like a great idea. How could having a list of safety precautions be bad?,Male,White,41,High School Degree,"Less than $20,000",Somewhat disagree,Strongly disagree,Strongly agree,4,Unknown
8/3/17 12:19,8/3/17 12:21,IP Address,173.79.119.126,100,131,TRUE,8/3/17 12:21,R_3M3xoecSkxqvKXN,,,,,39.04559326,-77.38529968,anonymous,EN,Somewhat appropriate,,,,The doctors already have experience with the procedure so it would make it even more safe when they have exact directions,Female,Asian,20,Some College,"Between $80,000 and $100,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:18,8/3/17 12:21,IP Address,64.188.168.234,100,193,TRUE,8/3/17 12:21,R_sZu0voDHMe64cSd,,,,,43.36399841,-115.5202026,anonymous,EN,,,Very inappropriate,,"I feel that as a director, this person should take more responsibility for the liability of the hospital. Also, this person should be ensuring the safety of all patients and employees, therefore, this decision should be made prior to real-life practice.",Female,White,32,Some College,"Between $40,000 and $60,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:19,8/3/17 12:21,IP Address,66.76.52.126,100,122,TRUE,8/3/17 12:21,R_1n2Afb58FbAxQmb,,,,,32.31799316,-95.292099,anonymous,EN,Somewhat appropriate,,,,It sounds like a good idea. But I don't think it's going to be enough. More or better training is likely required.,Male,White,32,Four-Year College Degree,"Between $40,000 and $60,000",Strongly agree,Somewhat agree,Somewhat agree,11,Unknown
8/3/17 12:19,8/3/17 12:21,IP Address,75.135.145.100,100,126,TRUE,8/3/17 12:21,R_2WIpJpisdHMye7p,,,,,42.30439758,-85.6292038,anonymous,EN,Somewhat appropriate,,,,"Having them wear a list is appropriate, however i dont believe its the most effective way to lessen the amount of infections. Proper training would be an alternative. ",Female,White,24,High School Degree,"Between $40,000 and $60,000",Strongly agree,Somewhat agree,Neither agree nor disagree,12,Unknown
8/3/17 12:20,8/3/17 12:21,IP Address,174.104.13.169,100,79,TRUE,8/3/17 12:21,R_3Jy0aTCMzd2qgw9,,,,,40.83760071,-81.39350128,anonymous,EN,,,,Somewhat inappropriate,it felt like the right thing to say,Male,White,67,Some College,"Between $40,000 and $60,000",Strongly agree,Somewhat agree,Neither agree nor disagree,12,Unknown
8/3/17 12:20,8/3/17 12:21,IP Address,161.97.249.90,100,93,TRUE,8/3/17 12:21,R_2Eh4VbVMg9avbHF,,,,,40.16889954,-105.0944977,anonymous,EN,Somewhat appropriate,,,,I think it's appropriate to try this approach because it would be inexpensive and easy to do. I'm not sure it will be effective but it's still appropriate ,Female,White,38,Graduate Degree,"More than $100,000",Somewhat agree,Neither agree nor disagree,Strongly agree,8,Unknown
8/3/17 12:18,8/3/17 12:21,IP Address,80.77.41.147,100,173,TRUE,8/3/17 12:21,R_vuarFbwArkplk3v,,,,,50.44999695,30.52330017,anonymous,EN,,,,Neither inappropriate nor appropriate,"If the doctor is not careful, no reminder will help him",Male,White,30,Graduate Degree,"Between $60,000 and $80,000",Strongly disagree,Somewhat disagree,Strongly agree,4,Unknown
8/3/17 12:19,8/3/17 12:22,IP Address,45.24.124.234,100,144,TRUE,8/3/17 12:22,R_3EouMXr3A31ahZH,,,,,33.48109436,-87.0951004,anonymous,EN,,Very inappropriate,,,i think any ideas to tell more people of the deadly infections is a good thing. ,Female,White,22,Some College,"Between $60,000 and $80,000",Strongly agree,Strongly agree,Somewhat disagree,14,Unknown
8/3/17 12:20,8/3/17 12:22,IP Address,67.249.186.196,100,140,TRUE,8/3/17 12:22,R_5njE3mpPvV1KlSF,,,,,43.07620239,-75.00610352,anonymous,EN,,Very appropriate,,,A reminder is beneficial to the staff and informative for the patient.,Male,White,35,Some Graduate School,"Between $60,000 and $80,000",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,7,Unknown
8/3/17 12:21,8/3/17 12:22,IP Address,107.77.199.188,100,84,TRUE,8/3/17 12:22,R_2pRWicSvqPnzveB,,,,,32.77870178,-96.82170105,anonymous,EN,Very appropriate,,,,It ensures that the doctor is reminded of the safety precautions. I don't see how this could be inappropriate ,Male,White,26,Graduate Degree,"Between $40,000 and $60,000",Neither agree nor disagree,Strongly disagree,Strongly agree,5,Unknown
8/3/17 12:20,8/3/17 12:22,IP Address,68.111.169.235,100,133,TRUE,8/3/17 12:22,R_1o2bWXVMgiNTkJX,,,,,33.13870239,-116.9849014,anonymous,EN,,Somewhat appropriate,,,"I think patients should know the risks. The only downfall is they might be more anxious with knowing as well, but they need to know so they can be aware.",Female,Hispanic of Latino,35,Four-Year College Degree,"Between $60,000 and $80,000",Strongly agree,Strongly agree,Neither agree nor disagree,13,Unknown
8/3/17 12:20,8/3/17 12:22,IP Address,75.129.219.187,100,129,TRUE,8/3/17 12:22,R_2s5OF5Uv3ESYzTc,,,,,43.67970276,-85.56189728,anonymous,EN,,,Somewhat appropriate,,"I think it's a good idea to have a poster listing the precautions on the wall, to warn patients. I would like all patients to get a understanding of the risks though, verbally most preferably. ",Male,White,21,Some College,"Between $20,000 and $40,000",Strongly disagree,Somewhat disagree,Somewhat agree,5,Unknown
8/3/17 12:21,8/3/17 12:23,IP Address,66.177.230.181,100,110,TRUE,8/3/17 12:23,R_12EcnVYooQHPknE,,,,,30.21870422,-81.7539978,anonymous,EN,,,Somewhat inappropriate,,I feel it's somewhat inappropriate because the people just looking at the poster won't have access to the same care as everyone else.,Male,White,33,Some College,"Between $20,000 and $40,000",Somewhat agree,Somewhat agree,Somewhat disagree,12,Unknown
8/3/17 12:21,8/3/17 12:23,IP Address,172.58.144.234,100,128,TRUE,8/3/17 12:23,R_3iPDxPSQQUcgphh,,,,,33.52070618,-86.80249786,anonymous,EN,,,,Very appropriate,having a controlled test is often the only way to see what works.,Male,White,49,High School Degree,"Between $20,000 and $40,000",Strongly agree,Somewhat agree,Neither agree nor disagree,12,Unknown
8/3/17 12:21,8/3/17 12:23,IP Address,173.93.9.130,100,132,TRUE,8/3/17 12:23,R_2ZODt6LIy2OQi5G,,,,,34.22050476,-77.87020111,anonymous,EN,,,,Somewhat inappropriate,The patient should always be made aware of the consequences of a procedure. Compromising this information for the sake of research seems unethical.,Male,White,22,Four-Year College Degree,"Less than $20,000",Somewhat disagree,Somewhat agree,Strongly agree,7,Unknown
8/3/17 12:19,8/3/17 12:23,IP Address,68.3.195.151,100,230,TRUE,8/3/17 12:23,R_2pYrhIa0luPaw1x,,,,,33.49299622,-112.2136993,anonymous,EN,,,Somewhat inappropriate,,I think it would be inappropriate because he is doing an experiment without patient consent which can lead to an infection in some of the patients.,Female,Hispanic of Latino,25,Some College,"Between $40,000 and $60,000",Somewhat agree,Neither agree nor disagree,Somewhat agree,9,Unknown
8/3/17 12:20,8/3/17 12:24,IP Address,108.251.20.125,100,236,TRUE,8/3/17 12:24,R_262pYk8duXfFO2C,,,,,37.66239929,-121.8746948,anonymous,EN,,,,Somewhat appropriate,"As long as the doctors read the precautions either on the badge or poster, I think the director made an appropriate decision. Using the procedure that has the highest survival rate is also good.",Male,Asian,21,Some College,"Between $40,000 and $60,000",Strongly disagree,Somewhat disagree,Somewhat agree,5,Unknown
8/3/17 12:22,8/3/17 12:24,IP Address,173.90.210.15,100,106,TRUE,8/3/17 12:24,R_2dRwpPwsO4z1eyT,,,,,42.06669617,-80.16639709,anonymous,EN,,,Somewhat inappropriate,,"If there's a way to reduce infection then everyone should be following that protocol, not putting innocent lives at risk to do an experiment.",Female,White,34,Some College,"More than $100,000",Somewhat agree,Neither agree nor disagree,Somewhat agree,9,Unknown
8/3/17 12:22,8/3/17 12:24,IP Address,107.14.54.4,100,85,TRUE,8/3/17 12:24,R_w0EBWwy4yqqtG6Z,,,,,40.76249695,-73.95030212,anonymous,EN,,Somewhat appropriate,,,"If there is not a better way of doing this procedure, then I think it will help for all staff to have reminders on the wall of how to do it in the most safe way possible. ",Female,White,26,Graduate Degree,"Between $20,000 and $40,000",Somewhat disagree,Strongly disagree,Strongly agree,4,Unknown
8/3/17 12:22,8/3/17 12:24,IP Address,73.214.243.173,100,93,TRUE,8/3/17 12:24,R_32MajlhCsQulNSi,,,,,40.33560181,-79.55069733,anonymous,EN,,,Neither inappropriate nor appropriate,,I don't think it matters where they are printed,Female,White,32,Four-Year College Degree,"Between $40,000 and $60,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:21,8/3/17 12:24,IP Address,4.15.246.7,100,178,TRUE,8/3/17 12:24,R_1i8PCVsVmtrZhzv,,,,,34.09950256,-117.5807953,anonymous,EN,,Somewhat appropriate,,,Seems like a good thing to do. SHows what needs to be done,Male,Black/African-American,38,Four-Year College Degree,"Between $40,000 and $60,000",Strongly agree,Somewhat agree,Somewhat disagree,13,Unknown
8/3/17 12:22,8/3/17 12:24,IP Address,205.235.218.10,100,89,TRUE,8/3/17 12:24,R_BEtDuJp9U4sGKhb,,,,,44.83999634,-93.03649902,anonymous,EN,,,Neither inappropriate nor appropriate,,I think it won't matter as doctors are smart and will remember regardless of the signs.  It won't matter.,Male,White,40,Four-Year College Degree,"Between $60,000 and $80,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:17,8/3/17 12:24,IP Address,98.220.108.112,100,406,TRUE,8/3/17 12:24,R_2y8YYdTl8US6X1z,,,,,42.01820374,-88.21730042,anonymous,EN,,,,Very inappropriate,"Well initially I thought this was appropriate in terms of validating a scientific study.  But this isn't really an experiment.  If in this case you know one options works better then the other, then make both the standard.  That way all doctors will get message, for the mere cost of a few more badges or posters.  This was a hospital bean counter trying to save a few bucks at the expense of people's lives and is ultimately very inappropriate, all while billing patients $10 for a damn aspirin.",Male,White,50,Four-Year College Degree,"Between $40,000 and $60,000",Somewhat disagree,Strongly disagree,Strongly agree,4,Unknown
8/3/17 12:20,8/3/17 12:24,IP Address,72.234.73.228,100,264,TRUE,8/3/17 12:24,R_ZJCvoGtQrVoRgeR,,,,,21.45700073,-158.1730042,anonymous,EN,,,Very inappropriate,,"Neither of these options will prevent or reduce infection. Just because you tell people what the safety standards are, if they don't follow it, it's pointless. People need training not I'd badges and posters.",Female,Other,41,Four-Year College Degree,"More than $100,000",Neither agree nor disagree,Somewhat disagree,Strongly agree,6,Unknown
8/3/17 12:23,8/3/17 12:24,IP Address,67.246.52.65,100,53,TRUE,8/3/17 12:24,R_27gsnrC38wJPF3V,,,,,42.61889648,-73.70649719,anonymous,EN,,Very appropriate,,,The number of infections will be reduced so it is appropriate.,Male,White,23,Four-Year College Degree,"Less than $20,000",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,10,Unknown
8/3/17 12:23,8/3/17 12:24,IP Address,206.176.21.24,100,83,TRUE,8/3/17 12:24,R_2AEEA01rfog26Np,,,,,45.48190308,-98.50640106,anonymous,EN,,,,Very inappropriate,"I understand the idea behind it in that you want to know which is best, but this is inappropriate. People's lives are at stake, therefore no experiment should be done, we need to save lives.",Male,White,31,Graduate Degree,"Between $20,000 and $40,000",Strongly agree,Somewhat agree,Somewhat agree,11,Unknown
8/3/17 12:22,8/3/17 12:24,IP Address,50.234.113.234,100,143,TRUE,8/3/17 12:24,R_A1Bo1sy3ajQtHnr,,,,,39.7684021,-86.15799713,anonymous,EN,,,,Very inappropriate,It just feels like Russian roulette. There has to be a better way to notify of the precautions that will guarantee the best way to do this.,Female,White,30,Some College,"Between $60,000 and $80,000",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,8,Unknown
8/3/17 12:23,8/3/17 12:24,IP Address,75.133.93.64,100,77,TRUE,8/3/17 12:24,R_3HImgqFu1Ra4PwU,,,,,44.29150391,-84.73400116,anonymous,EN,,,Somewhat appropriate,,I think its innovative to try to see what is going to work best. Obviously has patients care at heart.,Female,White,31,Some College,"Between $20,000 and $40,000",Strongly agree,Strongly agree,Somewhat agree,12,Unknown
8/3/17 12:21,8/3/17 12:24,IP Address,24.251.7.45,100,194,TRUE,8/3/17 12:24,R_1lnpqkx3tAYx6vN,,,,,33.38330078,-112.1115036,anonymous,EN,Very appropriate,,,,"I chose very appropriate because the doctors that are given the safety procedures can be tracked. If something happens to a patient, it will be known which doctor did not follow the safety procedure. The safety precautions will work to reduce the number of incidents. ",Male,Asian,34,High School Degree,"Between $20,000 and $40,000",Strongly disagree,Somewhat agree,Somewhat agree,7,Unknown
8/3/17 12:22,8/3/17 12:24,IP Address,50.54.37.147,100,122,TRUE,8/3/17 12:24,R_28XRZAGSYIqyeNp,,,,,41.24459839,-82.84590149,anonymous,EN,,,,Neither inappropriate nor appropriate,It seems a little sketchy to test things on actual human patients but this is also not that risk of a test. I'm kind of in the middle about it. ,Female,White,24,Some College,"Between $20,000 and $40,000",Strongly agree,Neither agree nor disagree,Neither agree nor disagree,11,Unknown
8/3/17 12:22,8/3/17 12:25,IP Address,173.91.140.240,100,138,TRUE,8/3/17 12:25,R_3edYQDXVLrod0sj,,,,,41.13340759,-80.61190033,anonymous,EN,Very appropriate,,,,It as least gives some reassurance to the patients that the doctors have the badge and know how to do the operation as best as they can without giving infections. If they need a reminder they can refer to the badge for the steps needed.,Male,White,26,Some College,"Between $20,000 and $40,000",Strongly disagree,Somewhat disagree,Strongly agree,4,Unknown
8/3/17 12:24,8/3/17 12:25,IP Address,173.27.6.24,100,94,TRUE,8/3/17 12:25,R_1OIipTNjXbdK12Q,,,,,37.17019653,-93.32969666,anonymous,EN,,Somewhat appropriate,,,"I think it's fair for patients to understand the risks of the procedure.  This may lead to them making poor choices about having the tube inserted, but that is their choice. ",Male,White,36,Graduate Degree,"Between $20,000 and $40,000",Neither agree nor disagree,Strongly disagree,Strongly agree,5,Unknown
8/3/17 12:24,8/3/17 12:25,IP Address,47.217.160.81,100,85,TRUE,8/3/17 12:25,R_1igk4cDdZ0l2X2W,,,,,35.67379761,-95.30560303,anonymous,EN,,,,Somewhat appropriate,"It's a good experiment and follows all of the regular rules, I just don't know how ethical it would be to base a decision after 1 year. ",Female,Other,23,Some College,"Between $20,000 and $40,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:23,8/3/17 12:25,IP Address,161.28.186.142,100,173,TRUE,8/3/17 12:25,R_1Eh7YScwVFHBRTu,,,,,40.29029846,-111.7236023,anonymous,EN,,Neither inappropriate nor appropriate,,,"Because if a patient saw that they could get anxious and wonder why it's there. Are the doctors not trained enough to complete the procedure without additional guidance? At the same time, you can't realistically expect all people to be able to retain all information they ever learn. It seems somewhat reasonable that the doctors have a guide just in case, and it could definitely prevent infections if they have a list readily available.",Male,White,22,High School Degree,"Between $20,000 and $40,000",Somewhat disagree,Strongly disagree,Neither agree nor disagree,6,Unknown
8/3/17 12:21,8/3/17 12:25,IP Address,104.156.22.129,100,273,TRUE,8/3/17 12:25,R_1mIYOXavmvrxbRG,,,,,36.29159546,-95.03230286,anonymous,EN,Somewhat appropriate,,,,The doctor wearing the badge doesn't make the procedure any less risky or guarantee that the doctor followed the instructions on the reverse of the badge. ,Female,White,66,Some College,"Between $20,000 and $40,000",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,9,Unknown
