StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,badge,poster,bp_short,bp_long,Q30,plants,gene1,Earth,Radioact,Lasers,Electrons,Continents,Gender,Antibiotics,degree,Degree_spec,Sex,Race,Age,Edu,Income,God,Intuition,Science,SC0,SC1,Degree_spec - Topics
8/1/17 15:51,8/1/17 15:53,0,198.72.247.247,100,99,1,8/1/17 15:53,R_ZrugOdy5W3oAqc1,,,,,34.08529663,-117.9608994,anonymous,EN,,4,,,"I mean it is a good idea, however it is kind of distracting as well as ..time consuming. These workers need to be more educated and well trained as well as skilled. If they are not quite there yet, and are hesitant, then it absolutely unsafe for them to proceed with the procedure. ",2,1,2,1,2,2,1,1,2,2,,2,"3,4",22,3,1,2,5,4,9,6,
8/1/17 15:52,8/1/17 15:53,0,98.254.195.76,100,104,1,8/1/17 15:53,R_3Oo8ycgeTKsSnYp,,,,,25.7651062,-80.36029816,anonymous,EN,,,,4,I am a little afraid it might kill someone from an infections but I think saving lives and waiting for the results would give people more hope,2,2,1,2,2,1,1,2,2,2,,1,3,27,4,5,1,3,4,6,7,
8/1/17 15:51,8/1/17 15:53,0,24.188.170.134,100,158,1,8/1/17 15:54,R_1MNjtF5NHvIsVjl,,,,,41.02319336,-73.67949677,anonymous,EN,,5,,,It will allow people not to rely on memory for safety procedures which could save lives,2,1,1,2,1,1,1,1,2,2,,2,3,50,6,6,2,1,4,5,8,
8/1/17 15:51,8/1/17 15:54,0,24.111.148.92,100,153,1,8/1/17 15:54,R_5BZCCxzcmwlelHP,,,,,42.8368988,-96.98329926,anonymous,EN,,5,,,I think this would help new and old doctors. New doctors may not know the procedure as well as they could so the poster would help.,2,1,1,2,1,1,1,1,2,2,,2,3,21,3,1,1,1,5,3,8,
8/1/17 15:52,8/1/17 15:54,0,68.47.202.206,100,156,1,8/1/17 15:54,R_3smpBtoUxc0ZKg9,,,,,35.79820251,-86.43560028,anonymous,EN,,5,,,Having information on hand never hurts and could give someone facts that they would have otherwise  forgotten.,2,1,1,1,1,2,1,1,1,2,,2,4,28,2,3,1,1,5,3,5,
8/1/17 15:53,8/1/17 15:54,0,99.110.192.237,100,96,1,8/1/17 15:54,R_1n1LYh5Z500r2ac,,,,,36.30180359,-94.12149811,anonymous,EN,4,,,,I think its great to remind someone of things they should do so they dont end up killing someone because they forgot a simple procedure.,1,2,1,2,2,1,1,2,2,2,,1,3,30,3,3,3,3,4,8,6,
8/1/17 15:52,8/1/17 15:54,0,73.37.86.81,100,158,1,8/1/17 15:54,R_1JL3kyc3v2MpMa4,,,,,45.01480103,-123.0155945,anonymous,EN,,,4,,"I don't see why it would be inappropriate. The precautions are present in both situations, so it seems fine to me.",2,1,1,2,2,1,1,1,2,2,,1,3,30,4,3,1,1,5,3,9,
8/1/17 15:52,8/1/17 15:54,0,199.47.67.33,100,151,1,8/1/17 15:54,R_31ykV8pmAlyH763,,,,,40.05400085,-102.5904007,anonymous,EN,,1,,,"hanging up a poster is NOT going to change a thing, other than covering up a unsightly stain on the wall",2,1,1,1,1,1,2,1,2,2,,2,3,50,6,1,1,1,5,3,6,
8/1/17 15:51,8/1/17 15:54,0,162.229.15.20,100,184,1,8/1/17 15:54,R_24zNVJrfDUrzjCx,,,,,41.52810669,-81.53199768,anonymous,EN,4,,,,I think this could be a good idea so patients know exactly what are the negative consequences that could derive from this procedure.,2,1,1,2,2,1,1,1,1,2,,1,3,21,3,5,1,2,5,4,8,
8/1/17 15:52,8/1/17 15:54,0,73.113.169.84,100,127,1,8/1/17 15:55,R_2dmgEI5fV0PZE9m,,,,,36.05819702,-83.91470337,anonymous,EN,,,2,,Seems like not everyone is getting the same,2,1,1,2,2,1,2,2,1,2,,1,3,32,3,2,2,4,2,10,6,
8/1/17 15:52,8/1/17 15:55,0,73.120.104.74,100,158,1,8/1/17 15:55,R_31csQNDs2RWeTvz,,,,,36.08279419,-82.85079956,anonymous,EN,5,,,,"If the infections are a big problem, this will help save lives. I think it's a great idea.",2,1,1,2,2,1,1,1,2,2,,2,3,31,4,2,1,1,5,3,9,
8/1/17 15:52,8/1/17 15:55,0,70.184.71.154,100,180,1,8/1/17 15:55,R_5ika9Ftz2n6hSz7,,,,,33.70809937,-117.7595978,anonymous,EN,,3,,,I don't know enough about the steps that are usually necessary to change procedures in a medical environment.,2,1,1,2,2,1,1,1,2,2,,1,3,41,2,4,1,1,5,3,9,
8/1/17 15:53,8/1/17 15:55,0,75.83.99.42,100,140,1,8/1/17 15:55,R_e9cg9qGlcEqGFEJ,,,,,33.5789032,-117.1412048,anonymous,EN,,,3,,"I am not sure how appropriate this is because while it would help us gain information about the effectiveness of the treatments, you are also risking some of the participants to potential infections that can be fatal.",2,1,1,2,1,1,1,2,1,2,,1,"1,4",21,3,6,3,4,4,9,6,
8/1/17 15:51,8/1/17 15:55,0,172.90.188.5,100,219,1,8/1/17 15:55,R_2WOHPEA8zTipxdi,,,,,33.95599365,-118.1253967,anonymous,EN,,,4,,The safety procedures could help but it seems kind of bad to just stick people in rooms and test on them. What if these procedures don't help an the test subjects still get these deadly infections.,2,2,1,2,1,2,1,1,2,2,,2,3,25,3,3,4,3,4,9,6,
8/1/17 15:52,8/1/17 15:55,0,75.67.85.141,100,206,1,8/1/17 15:55,R_2XmThXWQfytwwte,,,,,43.51249695,-72.15170288,anonymous,EN,,2,,,Yes it is good that they are showing doctors better ways to perform surgeries. They should not be showing them this information while undergoing a operation. They should instead talk to all the doctors who perform this operation before hand in a training session. ,2,1,1,2,2,1,1,2,2,2,,1,3,19,2,4,4,4,3,11,8,
8/1/17 15:52,8/1/17 15:55,0,96.19.48.123,100,171,1,8/1/17 15:55,R_RXfNAngFs3NPv57,,,,,43.50469971,-111.8951035,anonymous,EN,,,4,,He is not endangering anyone and he is finding out what is the best practice.,2,1,1,2,2,1,1,2,2,2,,1,3,61,3,3,3,1,5,5,8,
8/1/17 15:51,8/1/17 15:55,0,24.214.138.171,100,235,1,8/1/17 15:55,R_1ptHAz8yKCiirUR,,,,,32.54429626,-84.92079926,anonymous,EN,2,,,,I do not believe having the list in front of them will help while performing the procedure.  I am sure the doctors can easily memorize the steps.  There are other ways to ensure the doctors follow protocol such as additional training.,2,1,1,2,2,1,1,1,2,2,,2,3,29,4,5,2,2,4,6,9,
8/1/17 15:53,8/1/17 15:55,0,73.195.74.242,100,140,1,8/1/17 15:55,R_BDEWEh2Atth9YZP,,,,,40.08039856,-74.45809937,anonymous,EN,,,,3,"I am not sure what to think, hopefully all patients will  be safe.",2,1,2,2,1,2,1,1,2,1,business,2,3,61,3,4,5,5,5,11,6,
8/1/17 15:51,8/1/17 15:55,0,134.126.67.142,100,272,1,8/1/17 15:55,R_22soAX65Ji4XSle,,,,,38.44090271,-78.87419891,anonymous,EN,5,,,,This is sensible and practical. It seems small but it might be able to save lives.,2,1,1,2,2,2,1,1,2,2,,1,3,25,3,4,1,1,5,3,8,
8/1/17 15:52,8/1/17 15:55,0,47.137.104.127,100,181,1,8/1/17 15:55,R_2Toeic5NfDaAtqY,,,,,34.57220459,-117.3339996,anonymous,EN,5,,,,It shows that they are qualified.,1,1,1,2,1,1,2,1,2,2,,2,3,33,2,3,3,4,4,9,6,
8/1/17 15:53,8/1/17 15:55,0,75.144.126.73,100,143,1,8/1/17 15:55,R_3rUlpX7lJfsnbnl,,,,,25.75410461,-80.27100372,anonymous,EN,,4,,,Yes his idea can definitely bring about more awareness to the infection issue and how to avoid it.,2,1,1,2,2,1,1,2,2,2,,1,2,40,4,4,2,2,4,6,8,
8/1/17 15:52,8/1/17 15:55,0,68.231.244.17,100,187,1,8/1/17 15:55,R_3kMWgCUdnmVtd9E,,,,,36.85710144,-75.98950195,anonymous,EN,,,4,,"I think that the director isn't impacting safety too much, so his choices make sense and are appropriate for the situation. I'm sure there is more probably a better way to handle this though.",2,1,1,2,2,1,1,1,2,2,,2,3,23,4,6,5,2,1,12,9,
8/1/17 15:51,8/1/17 15:55,0,173.171.28.151,100,238,1,8/1/17 15:55,R_3rNF5ztUxVIHBFb,,,,,28.37750244,-82.50050354,anonymous,EN,5,,,,Doctor's can be dealing with many things at once and despite all their training they are only human and could possibly forget something in the heat of the situation.  Having a handy reminder tool can help to save lives.,2,1,1,2,2,1,1,1,2,2,,1,3,49,3,4,3,4,3,10,9,
8/1/17 15:52,8/1/17 15:55,0,24.113.21.104,100,185,1,8/1/17 15:55,R_2tE8g6RBVxeg00u,,,,,47.99609375,-123.2518997,anonymous,EN,,4,,,Some doctors need reminders on safety procedures but they are too arrogant to receive direct instruction. This way they can read the poster and still pretend it doesn't apply to them.,2,1,1,2,2,1,1,1,2,1,astronomy,1,3,42,4,6,1,1,5,3,9,
8/1/17 15:52,8/1/17 15:56,0,198.140.240.10,100,200,1,8/1/17 15:56,R_1g7y5WBv67XBvz4,,,,,28.30690002,-81.42459869,anonymous,EN,,4,,,"It can help to remind the Doctor. However, it might scare the patient but the benefit outweigh the costs.",2,1,1,2,1,1,1,1,1,2,,1,3,43,4,1,4,5,2,13,7,
8/1/17 15:52,8/1/17 15:56,0,24.111.148.92,100,195,1,8/1/17 15:56,R_ZK74GkiCH4POs01,,,,,42.8368988,-96.98329926,anonymous,EN,,4,,,I think it is appropriate because if a new doctor is performing this procedure then a little reminder could not hurt anything. It would serve simply as extra help if needed.,2,1,1,2,1,1,1,2,1,2,,1,3,22,3,1,3,4,3,10,6,
8/1/17 15:51,8/1/17 15:56,0,73.19.81.232,100,250,1,8/1/17 15:56,R_BKdsEST4zYb1a5b,,,,,47.31010437,-122.2042007,anonymous,EN,4,,,,"Well, will the doctor be able to turn the badge around and read the instructions without contaminating his hands?",2,2,1,2,2,1,1,1,2,2,,2,1,51,3,1,5,5,4,12,8,
8/1/17 15:55,8/1/17 15:56,0,82.31.195.32,100,40,1,8/1/17 15:56,R_BtVwCc3UrU1kyiZ,,,,,53.53329468,-2.616699219,anonymous,EN,,,4,,right,2,1,1,1,2,1,1,2,1,2,,1,3,25,3,2,3,4,4,9,6,
8/1/17 15:52,8/1/17 15:56,0,172.74.79.16,100,211,1,8/1/17 15:56,R_325g5REDIqvzWbp,,,,,35.6506958,-78.45639801,anonymous,EN,4,,,,I think it is good as a reminder but it wouldn't make me feel great knowing the doctors don't know proper safety procedures off hand and need to rely on am id card. ,2,1,1,2,2,1,1,2,1,2,,1,3,22,4,5,2,1,5,4,7,
8/1/17 15:51,8/1/17 15:56,0,107.2.71.89,100,267,1,8/1/17 15:56,R_3e9VVf5NgCeQLyS,,,,,44.96640015,-93.12290192,anonymous,EN,,,2,,I don't think that comparing two groups differing in the location of the procedures is going to give the director any meaningful information.  He/she should compare doctors who take a certain precaution versus doctors who don't.,2,1,1,2,2,1,1,1,2,2,,2,3,38,6,6,3,1,4,6,9,
8/1/17 15:52,8/1/17 15:56,0,68.0.199.33,100,250,1,8/1/17 15:56,R_27WfwbQkspynPww,,,,,41.77589417,-72.52149963,anonymous,EN,,,5,,I think it is very appropriate because it ensures that the doctors will always know the best procedures to reduce the risk of infections. The patients would also be assured that the doctors are doing everything the right way.,2,1,1,2,1,2,1,1,2,2,n/a,1,3,27,2,4,4,3,5,8,7,
8/1/17 15:52,8/1/17 15:56,0,68.118.70.252,100,212,1,8/1/17 15:56,R_WvozUA9nSwCbbWh,,,,,43.21650696,-123.3417053,anonymous,EN,4,,,,it would help doctors to have the list of safety procedures on them at all times to consult when they need,2,1,1,2,1,1,1,1,1,2,,2,3,30,2,3,5,4,4,11,7,
8/1/17 15:53,8/1/17 15:56,0,24.180.216.11,100,182,1,8/1/17 15:56,R_1NqvkdSNkxnw31c,,,,,43.67970276,-85.56189728,anonymous,EN,,,5,,It seems reasonable to have a reminder of all the necessary protocols ,2,1,1,2,2,1,1,2,2,2,,1,3,25,3,2,3,2,4,7,8,
8/1/17 15:52,8/1/17 15:56,0,98.229.190.249,100,253,1,8/1/17 15:56,R_3Ryg44vpF09WGim,,,,,41.41720581,-73.5970993,anonymous,EN,,,,5,Doctors should be familiar with basic safety precautions and the experiment should not affet patients' safety especially when information is available in both cases.,2,1,1,2,2,1,1,2,2,2,,2,4,55,4,3,1,1,5,3,8,
8/1/17 15:51,8/1/17 15:56,0,4.14.236.206,100,284,1,8/1/17 15:56,R_3h2GP6c8e4bUwbT,,,,,38.47019958,-77.49559784,anonymous,EN,,,,2,"If the safety steps make the procedure more safe, everything should be done to make sure the doctors are familiar with them. It seems very likely the posters would help, and there is no cost or risk involved in implementing it.",2,1,1,2,2,2,1,1,2,2,,2,3,29,4,2,2,1,5,4,8,
8/1/17 15:51,8/1/17 15:56,0,173.16.171.8,100,288,1,8/1/17 15:56,R_3CB2mn0CNgoJCdg,,,,,42.06039429,-91.58580017,anonymous,EN,,,,4,Since infections are fairly common and can be fatal something needs to be done to prevent them. I do feel that posters on the wall of a patients room might be fairly alarming to the patient.,2,1,1,2,1,1,1,1,2,2,,2,3,65,3,4,2,2,4,6,8,
8/1/17 15:54,8/1/17 15:56,0,70.184.144.203,100,133,1,8/1/17 15:56,R_2rU8n2HEiDVUO6M,,,,,29.57310486,-82.4076004,anonymous,EN,,5,,,It will be reminder that they hold someone's life in their hands.,2,1,2,2,2,1,1,1,2,1,healthcare,2,3,33,3,4,5,4,4,11,8,
8/1/17 15:53,8/1/17 15:56,0,24.243.241.208,100,191,1,8/1/17 15:56,R_BEAdG3tAhJdOQM1,,,,,31.20019531,-97.99210358,anonymous,EN,,5,,,Patient health should come above all else. It also give the patient the comfort of knowing what will be done and that it is being done correctly.,2,1,1,2,2,1,1,1,2,2,,1,3,35,3,4,1,3,5,5,9,
