pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode,MarkedForExclusion
30,poster,poster,3,0,"There are pros and cons; I agree with the director's reasoning that it will help doctors remember, but on the other hand doctors may feel insulted that the director feels that they can't remember the basics of their job. There is also no evidence presented that the infections are caused by doctors forgetting standard safety precautions.",197,R_1H2lDMkjb68CLM2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,2,0,3,1,25,0,4,1,3,0,3,8,0,0
31,xbpl,bp_long,1,1,"I would like to think that my doctor doesn't need a poster on the wall, or something printed on a badge, to remember proper safety procedures.  There is also no guarantee that they would even READ either the badge or the poster.  ",275,R_1IEJBtZuAlKYKVe,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,1,1,5,1,2,0,3,1,62,1,2,0,1,0,3,8,0,0
32,badge,badge,2,1,I think they only need to reference this when they are doing the procedure. Having the info on the equipment used to do the procedure would seem more appropriate,195,R_1IPZO4TQQsrkJzS,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,2,3,3,2,0,3,1,55,1,6,1,1,0,6,9,0,0
33,xbps,bp_short,5,0,"if it will help save lives in the long run, then there is nothing wrong with the decision.",309,R_1IRZVsJL0tyeahu,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,62,1,3,0,3,0,3,9,0,0
34,xbpl,bp_long,4,0,Posting rules and not discussing them or teaching them may not be very effective.,162,R_1IzndHaTvXirCnT,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,4,4,2,2,0,3,1,36,1,4,1,4,1,10,9,0,0
35,badge,badge,4,0,Its good hes trying to reduce infections. Hes just trying to save lives.,174,R_1jeW7h3UhMMCC5e,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,3,3,4,2,1,1,3,1,36,1,2,0,2,0,8,7,0,0
36,xbps,bp_short,4,0,"I don't see why it would be inappropriate. The precautions are present in both situations, so it seems fine to me.",158,R_1JL3kyc3v2MpMa4,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,30,0,4,1,3,0,3,9,0,0
37,badge,badge,2,1,"In a way they probably should, but i think it should be memorized",150,R_1JLvDtHzr9izHtP,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,5,5,4,2,2,0,3,1,56,1,3,0,2,0,12,8,0,0
38,poster,poster,5,0,The decision is appropriate because it highlights the procedures necessary to reduce infection. Having doctors constantly viewing it during a surgery ensures that they don't have a misstep that could lead to the infection that could be deadly.,240,R_1kMPZNvyCwGH2RB,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,electrical engineering,9,1,5,4,4,2,1,1,1,0,26,0,6,1,4,1,11,9,0,0
39,xbpl,bp_long,4,0,I think this is a possible technique. Subconsciously the doctors will notice the posters and will be more likely to commit this information to memory.,197,R_1Kp5V1ha2Qfxu28,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,,6,0,3,1,5,1,2,0,3,1,30,0,4,1,6,1,5,6,0,0
40,poster,poster,4,0,"It is nice to have a reminder, but I suspect that the doctors will be preoccupied with what they are doing and not even notice the posters when they are in the midst of a procedure.",184,R_1kRlw7ACSETcUMu,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,5,5,5,1,1,1,3,1,46,1,6,1,4,1,11,8,0,0
41,badge,badge,5,0,It's only going to help doctor's and maybe save lives. It's a good thing to have.,753,R_1lAUPBBpsqc4oVN,2,1,1,1,1,1,2,1,1,0,2,0,1,1,2,0,2,1,2,,6,0,2,1,5,1,2,0,3,1,28,0,3,0,4,1,4,6,0,0
42,xbpl,bp_long,4,0,Either way the groups should be treated using the safety precautions ,117,R_1LbenJWKB1BGRWd,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,4,4,4,2,2,0,3,1,33,0,6,1,6,1,10,8,0,0
43,badge,badge,5,0,"Any time that something can reduce the number of infections that people get in the hospital and especially during surgery, it is a good thing. Even if only one person is spared infection. ",627,R_1LCIcmzWLEBEzd7,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,2,0,3,1,42,1,3,0,6,1,3,9,0,0
44,badge,badge,4,0,Less chance of infection so why not,282,R_1LHvVsO2ITrTC0I,2,1,1,1,1,1,2,1,1,0,1,1,2,0,1,1,1,0,2,,6,0,4,3,4,2,2,0,3,1,45,1,1,0,4,1,9,6,0,0
45,xbpl,bp_long,4,0,"I think that he could increase the time frame if the infection could be deadly, they should be figuring something out sooner then a year",226,R_1LmmeYy7pq6QE1P,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,,7,0,4,4,4,2,2,0,3,1,26,0,2,0,2,0,10,7,0,0
46,xbpl,bp_long,4,0,It think that which ever one is implemented should be used. Or both used at the same time. ,350,R_1LSXwJgSw5CEEoS,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,4,2,1,1,3,1,43,1,3,0,5,1,7,9,0,0
47,badge,badge,2,1,I don't think that a doctor should have to be reminded of safety precautions on their badge. It seems like it would be more of a distraction.,189,R_1ltmEK6R3X9YFcH,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,1,Computer Information Systems,8,1,1,1,4,2,1,1,3,1,44,1,4,1,4,1,4,8,0,0
48,xbps,bp_short,5,0,I feel that this experiment does not pose any risk to the patients that they were not already exposed to before during treatment. The experiment seems like standard workplace safety policy change procedure.,149,R_1LYvNLzPJV3EyoB,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,1,5,1,2,0,3,1,32,0,3,0,3,0,4,9,0,0
49,poster,poster,5,0,It will allow people not to rely on memory for safety procedures which could save lives,158,R_1MNjtF5NHvIsVjl,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,2,1,4,2,2,0,3,1,50,1,6,1,6,1,5,8,0,0
50,badge,badge,4,0,"It makes doctors aware of safety. But the patient has to be comfortable allowing this. On the other hand, doctors should already know how to take safety precautions.",439,R_1mrcxzinkLsufHg,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,N/A,9,0,5,4,3,3,2,0,1,0,43,1,3,0,4,1,12,9,0,0
51,badge,badge,5,0,It helps them remember incase something goes wrong. A good refresher.,199,R_1mUyeAPLxiA6Zno,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,1,0,2,,6,0,1,1,5,1,1,1,3,1,29,0,3,0,4,1,3,6,0,0
52,xbpl,bp_long,2,1,they shouldn't make unsuspecting guniea pigs out of patients,114,R_1MWM8rbGvFWjCfr,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,mech e,9,1,1,1,5,1,1,1,3,1,55,1,4,1,1,0,3,9,0,0
53,badge,badge,4,0,I think its great to remind someone of things they should do so they dont end up killing someone because they forgot a simple procedure.,96,R_1n1LYh5Z500r2ac,1,0,2,0,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,6,0,3,3,4,2,1,1,3,1,30,0,3,0,3,0,8,6,0,0
54,xbpl,bp_long,2,1,I think it's a little ridiculous and that in itself is an inappropriate waste of effort and time for everyones part.  I don't think it would do anything but annoy people in the transition.,142,R_1n3E7PtZ8YeRJ8N,2,1,1,1,2,0,2,1,2,1,2,0,1,1,1,1,1,0,2,,6,0,1,1,4,2,1,1,3,1,27,0,2,0,2,0,4,6,0,0
55,poster,poster,2,1,I think this poster needs to be committed to memory. I dont want a doctor p[erforming a procedure on me to have to keep taking his eyes away from what he is doing.,192,R_1NEMqvCO0MJETXl,2,1,1,1,1,1,2,1,2,1,2,0,2,0,1,1,2,1,2,,7,0,5,5,3,3,1,1,3,1,54,1,6,1,5,1,13,7,0,0
56,xbps,bp_short,4,0,"This seems a reasonable way to determine which method of reinforcing the ideas to reduce infection is better. Both of the methods (name tag and poster on the wall) seems like it might work, though I would guess that the poster will turn out better.",310,R_1nNKH1OOCY5tG9q,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,2,4,2,1,1,3,1,61,1,4,1,2,0,6,9,0,0
57,xbps,bp_short,4,0,"Assuming the procedure itself is safe and effective, it is reasonable to test a hypothesis that presenting the safety information in a variety of ways would affect outcomes. One might assume that the poster, being more prominent, would lead to a more safe procedure. However, having to put the badge on daily may lead to more presence of mind.",422,R_1Nqp0LyOeXXGFfC,2,1,1,1,2,0,2,1,2,1,1,1,1,1,1,1,2,1,2,,8,0,3,2,4,2,1,1,3,1,53,1,4,1,4,1,7,8,0,0
58,xbps,bp_short,5,0,It seems reasonable to have a reminder of all the necessary protocols ,182,R_1NqvkdSNkxnw31c,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,3,2,4,2,1,1,3,1,25,0,3,0,2,0,7,8,0,0
59,xbpl,bp_long,4,0,Not a randomized trial. But a good start to reducing or attempting to reduce infections.,230,R_1o5TK5r4Oh5VbEw,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,3,1,59,1,3,0,4,1,3,8,0,0
60,xbps,bp_short,4,0,I think it is good that these doctors will have consistent reminders of procedures to follow where they can see them often. ,272,R_1oG2PbQPLv6MGoY,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,,6,0,5,5,4,2,2,0,3,1,26,0,4,1,2,0,12,6,0,0
61,xbps,bp_short,5,0,The doctors should know these precautions regardless.  The added reminders regardless of form is beneficial.  ,264,R_1oGXY5xfbs8h4te,2,1,1,1,1,1,2,1,2,1,1,1,2,0,2,0,2,1,2,,7,0,5,4,3,3,1,1,4,0,25,0,3,0,2,0,12,7,0,0
62,badge,badge,4,0,"It will not hurt to have that batch, and hopefully it will remind doctors to follow procedures.",215,R_1ONwcfd7EE4Dldb,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,5,5,4,2,2,0,3,1,42,1,6,1,6,1,12,7,0,0
63,badge,badge,4,0,It is a good idea for doctor to have instructions available at all time. So they can just look at it quickly while performing procedure.,267,R_1ownXYwNomCxLg7,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,4,3,3,1,1,4,0,30,0,3,0,2,0,11,9,0,0
64,xbpl,bp_long,5,0,I think it is a good idea to implement some standard protocol for helping doctors maintain safety steps.  I think trying different methods will ensure the best method will be used.,397,R_1pFgkEQeyDZgOtC,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,1,5,1,1,1,1,0,44,1,4,1,2,0,5,9,0,0
65,xbpl,bp_long,3,0,if this is a procedure that needs to be used then it must be used,88,R_1pQzkYhFyDrCxjd,2,1,1,1,2,0,1,0,1,0,2,0,1,1,2,0,1,0,2,,3,0,3,3,3,3,2,0,1,0,20,0,2,0,1,0,9,3,0,0
66,badge,badge,2,1,I do not believe having the list in front of them will help while performing the procedure.  I am sure the doctors can easily memorize the steps.  There are other ways to ensure the doctors follow protocol such as additional training.,235,R_1ptHAz8yKCiirUR,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,2,4,2,2,0,3,1,29,0,4,1,5,1,6,9,0,0
67,badge,badge,5,0,I think this would be a fine idea just to keep everyones mind fresh and give them a heads up when working and to be safe while doing so.,127,R_1pY9HdVOlILc6fs,2,1,1,1,1,1,1,0,2,1,2,0,1,1,2,0,1,0,2,,5,0,4,3,3,3,1,1,3,1,30,0,3,0,2,0,10,5,0,0
68,xbps,bp_short,2,1,"While the intention was good and any harm seems likely to be small, it is not really a hospital director's place to run an experiment involving his patients without there consent.",634,R_1Q5ivS8aX8G4wyW,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,4,3,3,1,1,3,1,26,0,3,0,4,1,8,9,0,0
69,xbpl,bp_long,4,0,I feel that if the doctors are sanitary that that stops the infection problem. ,114,R_1QAf0jGOeMgdGLB,2,1,1,1,1,1,1,0,2,1,2,0,2,0,1,1,2,1,2,,6,0,4,2,4,2,2,0,3,1,24,0,3,0,2,0,8,6,0,0
70,badge,badge,3,0,"They should already know how to do it, I am indifferent to whether or not they have instructions.",146,R_1r7WBIk7Z8AD0Q0,2,1,1,1,2,0,2,1,2,1,2,0,1,1,2,0,2,1,2,,6,0,5,4,3,3,1,1,3,1,50,1,5,1,5,1,12,6,0,0
71,badge,badge,5,0,I think this is appropriate because that way they should not make a mistake and it should be way less deadly infections popping up.,99,R_21grtfw2UT8dciM,2,1,1,1,1,1,2,1,1,0,2,0,2,0,1,1,1,0,2,,5,0,3,4,3,3,2,0,1,0,26,0,3,0,2,0,10,5,0,0
72,xbpl,bp_long,4,0,"It's a scary thought that doctors need a set of directions to refer to before a risky treatment like this. But if it is necessary to remind doctors of precautions they need to take, it is a good idea to find out which method is the best reminder. So I decided the director came up with two good solutions, so why not test which is the best?",574,R_22EAkLGPHtN5h1A,2,1,1,1,1,1,2,1,2,1,1,1,2,0,1,1,2,1,2,,8,0,5,4,2,4,2,0,3,1,64,1,3,0,2,0,13,8,0,0
73,poster,poster,2,1,I would hope a doctor would know the proper procedure without having to look at a poster on a wall.,182,R_22EAyXWXx8bmBj6,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,1,1,5,1,1,1,3,1,28,0,3,0,6,1,3,7,0,0
74,badge,badge,4,0,. The director thinks that these new badges might help doctors remember all of the safety steps they were trained to take during the procedure.,101,R_22LKUALwWUVPeKo,1,0,1,1,1,1,1,0,2,1,2,0,2,0,2,0,1,0,2,,3,0,4,1,3,3,1,1,3,1,27,0,4,1,3,0,8,3,0,0
75,xbpl,bp_long,4,0,Its seems like a good idea to have some with ID badges with the rules helps in a pinch.,280,R_22qWmjk7Rpb0uf6,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,1,3,3,3,1,1,3,1,22,0,2,0,2,0,7,8,0,0
76,badge,badge,5,0,This is sensible and practical. It seems small but it might be able to save lives.,272,R_22soAX65Ji4XSle,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,1,1,5,1,1,1,3,1,25,0,3,0,4,1,3,8,0,0
77,badge,badge,4,0,"THere is nothing wrong with this per se. I don't think it will help very much, but it is certainly not inappropriate.",101,R_22tYELTXDL0mCkU,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,34,1,3,0,1,0,3,9,0,0
78,badge,badge,5,0,"It is a simple idea, non-intrusive, and mitigates the risk of the procedure by making sure it is done safely.",114,R_24uTGiIohSDrLCC,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,27,0,3,0,1,0,3,9,0,0
79,xbpl,bp_long,4,0,"It sounds like both types of doctors have been trained in the procedure, so the director is trying to come up with the best way to prevent infection. The director has good intentions- he wants to save lives. ",211,R_24uvFORXOsXfOML,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,2,4,2,2,0,3,1,34,1,5,1,3,0,8,9,0,0
80,xbps,bp_short,4,0,These two ideas are still not enough to ensure doctors follow standard safety precautions,397,R_25ASNzL9fT2xhmC,2,1,1,1,1,1,2,1,1,0,2,0,1,1,2,0,1,0,2,,5,0,5,2,5,1,1,1,3,1,35,1,4,1,2,0,8,5,0,0
81,poster,poster,4,0,I think it is always a good idea to leave reminders for people. People who are very busy and juggle much information in their heads can really benefit from a visual cue. ,379,R_25YKroiuAYBGzrZ,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,7,0,2,2,5,1,2,0,3,1,58,1,6,1,2,0,5,7,0,0
82,poster,poster,5,0,"I think that this is very appropriate.  None of us is perfect, and we all forget things at time.  This decision has the potential to reduce infections due to a doctor forgetting a certain safety precaution.",266,R_27fg40Mfu57VM3E,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Mathematics/Computer and Information Sciences,9,1,4,4,3,3,2,0,3,1,53,1,4,1,2,0,11,9,0,0
83,badge,badge,4,0,This sounds like a step in the right direction offering more training/instructions to the doctors performing the procedure so that is why I think it is appropriate.,169,R_27KmIsGjSmK31wo,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,3,2,5,1,1,1,3,1,25,0,4,1,3,0,6,8,0,0
84,xbps,bp_short,5,0,Both groups of doctors had access to the same information.,191,R_27p5JQhutKC4vWo,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Meteorology,9,1,1,2,5,1,1,1,3,1,66,1,3,0,2,0,4,9,0,0
