pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode,,,,,,,,,,,,
26,xB1,Drug.B,5,0,"Sounds to me like Dr. Jones is going with the obvious and logically safe choice in that side effects are tolerable and the drug is not expensive. I would assume that with the FDA confirming the several new drugs as safe and effective, then they all are viable, but drug B might be the best option based on what I have read.",210,R_O2P5puzlUeKIfMR,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,3,1,28,0,3,0,1,0,3,8,0,,,,,,,,,,,,
27,xA1,Drug.A,4,0,"The drug Dr Jones prescribes to his patients is safe, effective, affordable and its side effects can be tolerated. There doesn't seem to be any reasons why it would not be an appropriate decision",374,R_2wn5v5hJ2pEcJx9,2,1,2,0,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,7,0,3,3,4,2,2,0,2,0,25,0,4,1,2,0,8,7,0,,,,,,,,,,,,
28,xA4,Teacher.Bonus,2,1,"Compensation is not a matter of happiness or unhappiness, but a matter of value of work. This approach is not necessarily an incentive to make teachers happier.",319,R_1fdWzNiZBxC95Hh,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,35,1,6,1,4,1,3,9,0,,,,,,,,,,,,
29,xAB7,Income.AU,4,0,He is trying to help those who are unemlpyed,177,R_28Cj8XsKKJwvtB6,2,1,1,1,1,1,2,1,1,0,1,1,2,0,1,1,1,0,2,,6,0,2,4,4,2,2,0,3,1,28,0,3,0,2,0,8,6,0,,,,,,,,,,,,
30,xA1,Drug.A,4,0,"I would recommend this drug if the benefits overweigh the side effects.If a drug can cure the blood pressure, it will have lot less pressure on the patients.",226,R_3OsSW5ifLWV0IFz,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,MS in Zoology,9,1,2,3,5,1,2,0,4,0,40,1,6,1,4,1,6,9,0,,,,,,,,,,,,
31,xB1,Drug.B,5,0,"The doctor seems to care and think about his patients needs not only medically, but financially as well.",156,R_31i2ABI90Bj7CHz,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,1,2,5,1,2,0,3,1,33,0,6,1,5,1,4,8,0,,,,,,,,,,,,
32,xB3,Funds.Highlight,5,0,Most people do not know much about investing.  It would be helpful to have more information to get the employees started.,253,R_3QPJtwIBmc6gH61,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,3,5,1,2,0,3,1,36,1,3,0,5,1,8,9,0,,,,,,,,,,,,
33,xA2,DrugTeach.A,5,0,"Both drugs appear to be of equal cost and efficacy with minimal side effects, so it didn't matter which one he chose, both would be appropriate.",174,R_3HGpZsBSePzb2no,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,29,0,3,0,2,0,3,9,0,,,,,,,,,,,,
34,xA2,DrugTeach.A,5,0,Because doctor had prescribed it.,426,R_1i9HMF0EACDrVg6,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,Software developer,6,1,3,2,5,1,1,1,4,0,32,0,4,1,6,1,6,6,0,,,,,,,,,,,,
35,xA7,Income.All,4,0,It seems like their hearts are in the right place but I don't know if it would actually work.,285,R_240BRxp0bbxMLF8,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,4,4,2,2,0,3,1,28,0,3,0,4,1,11,9,0,,,,,,,,,,,,
36,xAB3,Funds.MH,4,0,It is appropriate that the CEO does this as it will hopefully increase the participation in retirement savings plans and will ultimately benefit the employees.  The gray area is testing two options and if one gives an advantage over the other.,238,R_1NfT1FGNZS8qbue,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,4,2,5,1,2,0,3,1,31,0,4,1,6,1,7,8,0,,,,,,,,,,,,
37,xB5,Charity.Train,5,0,I think it is very appropriate to give each person training in a trade of their choice because this way they will learn a skill which they will never forget or lose and they can use those skills to earn a living.,227,R_1dy8cyUL8O9t2cB,1,0,1,1,1,1,2,1,2,1,1,1,2,0,2,0,2,1,2,,6,0,3,2,3,3,1,1,3,1,32,0,3,0,2,0,8,6,0,,,,,,,,,,,,
38,xB6,Recruit.Career,4,0,They are needed for the country. But I am afraid they still will be highly unqualified.,155,R_1QgCJGdVyME6GEj,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,1,0,1,electronics,6,1,4,4,4,2,1,1,1,0,49,1,4,1,4,1,10,6,0,,,,,,,,,,,,
39,xAB7,Income.AU,4,0,I think the problem will still exist and they are the people will still feel entitled.,325,R_2wgZC92wZgMVOAd,1,0,1,1,2,0,2,1,2,1,2,0,2,0,2,0,1,0,2,,3,0,5,2,5,1,2,0,3,1,54,1,4,1,3,0,8,3,0,,,,,,,,,,,,
40,xAB5,Charity.RT,4,0,"It seems like a decent idea to get the most out of donations, so you're not just putting money into things that sound helpful without actually knowing how helpful they are over time.",185,R_3KrvGYhH8KSDol2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,2,5,1,1,1,3,1,31,0,4,1,2,0,4,8,0,,,,,,,,,,,,
41,xAB3,Funds.MH,5,0,Because it gives him a better idea of which plan to offer.  He's looking out for his employees.,123,R_1r2KAxK5EVFEeUh,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,3,1,35,1,2,0,3,0,3,8,0,,,,,,,,,,,,
42,xA1,Drug.A,5,0,"Dr. Jones appears to be looking out for his patients, and not trying to deceive them by selling a product he doesn't believe in.",176,R_1mrY8tWciCgywnG,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Meteorology,9,1,2,1,5,1,1,1,3,1,26,0,4,1,2,0,4,9,0,,,,,,,,,,,,
43,xA7,Income.All,4,0,"I believe in basic income, and this is a baby step towards it. The congress should give a flat stipend that is lower than the $1000 every month and give a bonus for people attending the job fairs as incentive. Say $750 per month and a $250 bonus.",316,R_3fQcbkSdzRBc0NI,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,4,2,1,1,4,0,30,0,3,0,3,0,4,9,0,,,,,,,,,,,,
44,xB3,Funds.Highlight,1,1,The CEO wants his employees to be knowledgeable about their options and this shows he's upfront. I think this would be an admirable trait.,164,R_2wiVDQqsYwW2gTJ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,2,5,1,1,1,3,1,38,1,3,0,4,1,5,9,0,,,,,,,,,,,,
45,xAB7,Income.AU,5,0,It is a great way to see if the lessened amount of money combined with the continuation of the receipt of it even after employment will lead to people looking for a job. There is a problem with people using up unemployment benefits before even seeking a job.,156,R_3GkrMFia49xo3MF,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,41,1,3,0,3,0,3,9,0,,,,,,,,,,,,
46,xA5,Charity.Roof,5,0,I think it is extremely appropriate because the director is allocating money and or housing to the people who need it the most. It seems like he is being responsible with the donations.,274,R_3PRkUaLgfCgcquk,2,1,1,1,2,0,2,1,2,1,2,0,1,1,1,1,2,1,2,,7,0,4,4,4,2,2,0,3,1,25,0,3,0,2,0,10,7,0,,,,,,,,,,,,
47,xB7,Income.Unemployed,3,0,"it is not right to give people money for being out of work. If they are paid, what incentive do thet have to find work. On the other hand, some who are trying to find work , but can't do so deaserve to be given some money so they can pay bills. There is no easy answer to this",289,R_3PvscubczN5cukR,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,3,4,2,1,1,3,1,64,1,2,0,3,0,8,9,0,,,,,,,,,,,,
48,xA6,Recruit.Social,5,0,"It will help poor people get medical help.
It will save a lot of lives.",206,R_1jDhhQMBcIMRzy6,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,math,9,1,1,1,5,1,1,1,3,1,62,1,6,1,3,0,3,9,0,,,,,,,,,,,,
49,xB2,DrugTeach.B,4,0,"There's not enough information to decide which of A or B are the better drug objectively. But for efficiency's sake, it does make sense for Doctor Jones to choose one drug for his patients and go with that.",339,R_1CrnFfzOuXEElEJ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,4,2,1,1,1,0,26,0,4,1,3,0,4,9,0,,,,,,,,,,,,
50,xA3,Funds.More,4,0,Because he is actually helping the employees save in order to be able to retire comfortably in the future. There is a lot of people who are working past their retirement because they do not have enough money to afford their rent and other bills and food and doctor and medications.,517,R_1I75SQbqaFp9EkD,2,1,2,0,1,1,2,1,2,1,2,0,1,1,2,0,1,0,2,,5,0,2,2,5,1,2,0,3,1,35,1,3,0,3,0,5,5,0,,,,,,,,,,,,
51,xB2,DrugTeach.B,4,0,There doesn't seem to be any negative information on either drug so his choice was appropriate.,141,R_3pl6GB95FZby2vC,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,0,2,,7,0,3,2,4,2,2,0,3,1,35,1,3,0,3,0,7,7,0,,,,,,,,,,,,
52,xB6,Recruit.Career,4,0,"the congress wants to recruit people to become health assistants, it is appropriate to advertise for this.",171,R_1DMuTZqwerjfDSq,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,2,4,2,2,0,3,1,33,0,6,1,4,1,6,9,0,,,,,,,,,,,,
53,xAB5,Charity.RT,5,0,The director is testing out an option first and will have a better idea of how well a particular resource works before just putting all the money in one.,188,R_1C10NC5e368JZWm,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,2,0,3,1,31,0,6,1,6,1,3,9,0,,,,,,,,,,,,
54,xA3,Funds.More,3,0,It's smart to invest in retirement plan.,117,R_3mkPlaBojGJjPuZ,1,0,2,0,2,0,2,1,2,1,1,1,2,0,1,1,1,0,2,Na,4,0,3,3,4,2,2,0,3,1,30,0,2,0,3,0,8,4,0,,,,,,,,,,,,
55,xAB2,DrugTeach.AB,3,0,"I AM REALLY NOT SURE ON THIS ONE, ITS MAY CROSS THE LINE ON MEDICAL ETHICS.",147,R_3nD7F2dzdD8kpBR,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,4,2,1,1,3,1,37,1,4,1,5,1,4,9,0,,,,,,,,,,,,
56,xB1,Drug.B,1,1,He is putting his patients' interests first.,202,R_1HirW5xXWEFtYo8,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,1,Environmental Science,8,1,1,3,3,3,1,1,3,1,29,0,6,1,4,1,7,8,0,,,,,,,,,,,,
57,xAB2,DrugTeach.AB,1,1,"it is a common procdure to try different mediations to see what works best,",468,R_1nOb0Rw9YKU2CPS,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,0,2,,7,0,5,4,3,3,1,1,3,1,68,1,4,1,2,0,12,7,0,,,,,,,,,,,,
58,xB4,Teacher.Breaks,3,0,"I am not sure if a few extra vacation days will help. Instead give them a bonus worth the same as the days off. People would like the cash more, in my opinion. I know I would.",220,R_30ou5TTKknO08ET,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,3,4,2,2,0,3,1,45,1,2,0,2,0,8,9,0,,,,,,,,,,,,
59,xA4,Teacher.Bonus,5,0,"Monetary incentives are always a good way to increase performance. If a teacher is rewarded despite poor performance, then this behavior is continued. If there is an upside to working harder and paying more attention to the well being of students, outcomes will generally be better.",237,R_STToZGWtQtB4rIJ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,3,4,2,1,1,3,1,28,0,4,1,5,1,9,9,0,,,,,,,,,,,,
60,xB3,Funds.Highlight,5,0,The CEO wants his employees to save for the future. It is a smart move to easily make the information employees need to do that available.,168,R_22KsLFemFuAf0ji,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,4,3,3,2,0,3,1,33,0,4,1,4,1,9,9,0,,,,,,,,,,,,
61,xA3,Funds.More,2,1,I don't think the number of investment funds is the reason people don't take part in the plan. I think most need more explanation as to why savings is important.,349,R_RWX8d8t9DrOBwZP,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,5,4,2,4,2,0,3,1,57,1,4,1,2,0,13,8,0,,,,,,,,,,,,
62,xB5,Charity.Train,4,0,It is somewhat appropriate instead of very because jobs may not exist there.,163,R_ywlEUMt8YsIM9a1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,3,4,5,1,1,1,3,1,51,1,4,1,2,0,8,8,0,,,,,,,,,,,,
63,xB2,DrugTeach.B,2,1,"Even though drug B or either of the drugs are effective and affordable, they have side effects; it is not said what side effects they have even though it is said that the side effects can be tolerated; maybe not all people can tolerate the side effects of either of the drugs.",546,R_31mI8tYL6Ye13uY,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,2,4,2,1,1,1,0,25,0,3,0,1,0,8,9,0,,,,,,,,,,,,
64,xB5,Charity.Train,5,0,"It's kind of like the old saying, something about teaching a man to fish will feed him longer than just giving him fish.",147,R_uy6Vbks71yph62R,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,3,4,2,2,0,3,1,30,0,3,0,5,1,9,9,0,,,,,,,,,,,,
65,xA7,Income.All,5,0,This is a very helpful plan for the unemployed.  It really is hard to find employment after losing it.  Any support is welcome.,295,R_3Emo3ojPAezS9Sy,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,4,5,1,2,0,4,0,37,1,4,1,5,1,10,9,0,,,,,,,,,,,,
66,xB5,Charity.Train,4,0,The directors decision is appropriate to some extent. Learning a new trade can help a person increase their future income. I don't think the director is taking into consideration other problems low-income people encounter. The donations should also go into other things that will help the people come out of poverty.,450,R_24PjXCIPZDlQB1v,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,,6,0,1,1,4,2,1,1,2,0,31,0,4,1,3,0,4,6,0,,,,,,,,,,,,
67,xA1,Drug.A,5,0,The doctor is looking out for the best interests of his patients and recommends a treatment that is affordable and with tolerable side effects.,223,R_3qsCpZmOqXxcWzv,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,"3,5",0,30,0,4,1,4,1,3,8,0,,,,,,,,,,,,
68,xB6,Recruit.Career,4,0,Having a first line of healthcare for the poverty stricken could be a good response .,126,R_22t2HX3Wtjcpvne,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Biomedical Engineering,9,1,1,1,4,2,2,0,3,1,43,1,4,1,5,1,4,9,0,,,,,,,,,,,,
69,xAB2,DrugTeach.AB,1,1,The drug should already have been studied on various groups. Each drug should have its own benefits and drawbacks so this should already be known. The doctor needs to give the drugs to best meet the patients needs based on research already done.,379,R_86Nw6dPuNMe8DjX,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,3,4,2,1,1,3,1,46,1,4,1,3,0,8,9,0,,,,,,,,,,,,
70,xA5,Charity.Roof,4,0,"Surely people need good roofs, and if this charity wants to provide them, then that is a good use of the charity's funds. However, I would think people in poverty might benefit more from other services like vocational training. This would provide them with skills to get better paying jobs and then they can take care of the roofs themselves.",245,R_24H4E2JTDSDVHqv,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,1,computer science,8,1,1,1,5,1,1,1,3,1,54,1,4,1,2,0,3,8,0,,,,,,,,,,,,
71,xAB4,Teacher.BoBr,3,0,"People value different things and to get a good read on it, he should be including the teachers in the decision of which group to be in and the end results.  However, at least he's trying something new.",235,R_tGTrjxgUT8Ue8ut,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,2,0,3,1,61,1,4,1,6,1,3,9,0,,,,,,,,,,,,
72,xB4,Teacher.Breaks,5,0,Teachers are often handed the short end of the stick. Giving more vacation days to teachers will allow them more prep time to engage their students in learning.,168,R_UW7XF5an5GR8emR,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,1,1,5,1,1,1,3,1,24,0,6,1,1,0,3,8,0,,,,,,,,,,,,
73,xAB3,Funds.MH,2,1,"The CEO is potentially allowing half of the new hires to miss out on important information, although it could benefit all workers in the long run. Experimenting on new workers to test this could negatively affect the individual and this doesn't seem ethical.",345,R_viBaMK2oCkvPhUB,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,2,5,1,2,0,3,1,28,0,4,1,2,0,4,8,0,,,,,,,,,,,,
74,xAB1,Drug.AB,1,1,"If he would notify his patients, that would be fine but since he is running a trial on a new medication, I think that they should be told.  He has no idea whether or not the new medication will help or not so some patients are getting inferior care.",174,R_bDgEK97UPz7p0u5,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,3,4,2,2,0,3,1,45,1,4,1,5,1,9,9,0,,,,,,,,,,,,
75,xAB7,Income.AU,2,1,The 500 dollar difference is quite a lot for an experiment. These citizens need to be able to live and making them part of an experiment could be risky.,205,R_2dybaR2zLQui0h8,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,3,2,4,1,1,3,1,25,0,4,1,3,0,8,9,0,,,,,,,,,,,,
76,xB1,Drug.B,5,0,I think it is very appropriate to prescribe a medication that your patients will be able to tolerate as well as afford.,137,R_AckbkKA1vOfPDP3,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,2,,8,0,4,3,5,1,2,0,3,1,31,0,3,0,1,0,8,8,0,,,,,,,,,,,,
77,xB7,Income.Unemployed,4,0,I think that it is a good idea. However the country is in enough debt and this is probably going to add to it.,236,R_2cc4iGebmrhqAA6,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,,7,0,4,2,5,1,2,0,3,1,32,0,1,0,2,0,7,7,0,,,,,,,,,,,,
