pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId
47,xAB4,AV.AB,5,0,"These decisions are very appropriate because a machine in many cases makes decisions without there being feelings involved, and that is what makes us humans take the right decisions in an emergency.",,R_2BlIeskpc71a3Ni
53,xA4,AV.lever,1,1,Simply not OK. Offputting and odd.,,R_wMYjh45hjRlS3kJ
59,xB4,AV.auto,5,0,I would NEVER ride in a self driving car. If I did I'd want AT LEAST the option to over ride the system,,R_2wQRWfUYnaxtTWL
62,xAB4,AV.AB,1,1,"I think the company is being very responsible. Technology can only do so much but in case of an emergency or technological glitch, the human needs to take control of the vehicle to remain safe.",,R_D5G0rnF20EhFeyl
63,xA4,AV.lever,5,0,"I have heard about self driving cars crashing, in the news. It seems obvious. This is bad technology to let the car have full control without a kill switch option.",,R_2pVx9iSOYsRL3Em
66,xB4,AV.auto,4,0,"I think there are times where this may be needed.  At the same time, if every single car had automatic driving, then the cars could talk to each other and never crash.  So it may be a good thing in the mean time, but in the long run, it will probably be unnecessary.",,R_1OT9FMXrEwVP239
74,xAB4,AV.AB,5,0,I think the human driver should always have the choice of switching between self-driving and human-driving modes because there are situations wherein the human has more considerations in terms decision making.,,R_2Qsbw0An4QRCviG
85,xAB4,AV.AB,2,1,"It makes the cars overridable from even the slightest touch of controls that are, for all purpose, ergonomically designed to be held or pressed. It's just asking for mistakes without being realized.",,R_2czLKDHqDU9cCGA
90,xB4,AV.auto,5,0,"I think this is wise, in case people in the car are uncomfortable with the driverless mechanism. At least you have an out if you don't like the driverless car.",,R_72tQ6Lc3BmjOtGh
96,xA4,AV.lever,5,0,"Because the CEO wants people to have as much freedom as possible on the road, while also remaining safe which is very much necessary.",,R_1lnQQVNcHOtz7OK
102,xB4,AV.auto,5,0,"Because there is error on a self driving car that can be avoided by the decision of a human driver.  If the human see a car making the wrong decision, they can jump in and accident and death will be avoided.",,R_V4oBgWyljyGQCbf
104,xAB4,AV.AB,4,0,I like the fact that he's trying new ways. it might be a little dangerous though.,,R_2vjNWxFxvXsBMhu
106,xB4,AV.auto,5,0,I think this is the most and safe fair option. Technology can make mistakes and people should be able to take control if necessary.,,R_3FLhFdUXr1GPKj3
113,xA4,AV.lever,4,0,The safety of the auto driving would be higher but in an emergency the human might need to take control,,R_PClz6pzwZqUJdRL
116,xAB4,AV.AB,4,0,"giving consumers options as to how much human interaction can override self driving cars appeals to different comfort levels among consumers concerning their confidence in self driving cars.  The more hands-on performance driver will appreciate the use of brakes, gas or steering inputs to override the self driving mode.",,R_UK1rJBwD8NZHTHP
122,xB4,AV.auto,5,0,Because when a unexpected glitch due any number of reasons occurs the human driver/passenger will be able to take control and avoid danger.,,R_piWMY47sgEYnb4B
125,xA4,AV.lever,5,0,"I don't like the idea of self-driving cars in the first place; there's always a chance that something will go wrong, that the person will be crashed into by another car that ISN'T self-driving and can't get out of the way fast enough, or that the person just might want to change their mind about where they're going. I prefer the freedom to drive however I want; having complete control helps me to relax while on the road.",,R_1gorgwFEsxlGtK5
126,xAB4,AV.AB,2,1,"It doesn't seem like a dangerous choice the CEO made, but it isn't ethical to do this kind of experiment without informing the consumer.",,R_2P1AEQFWYSQz0bV
135,xB4,AV.auto,5,0,Humans can still be smarter than machines,,R_8090HwWOt1pcuqZ
136,xAB4,AV.AB,1,1,If people choose to have self driving cars then they should have some control over them. If they want to drive them their selves then they may.,,R_0jociSiWBtpmTZL
139,xA4,AV.lever,4,0,This makes the most sense from a consumer perspective. You have the choice of using your self-driving mode or taking control as you see fit.,,R_2CwFCeAeEmqwTZ3
147,xA4,AV.lever,5,0,The CEO or the company could be held liable in an instance where an individual is in a serious accident where the car was taking over and the human could not intervene in order to prevent accients.,,R_DBoJ8vM62AcAkdX
149,xB4,AV.auto,5,0,"Human override is important in emergency situations. Combination of modern technology and human wisdom, experience, and reflexes works best together.",,R_1JXdkgrMfAu6RYN
152,xAB4,AV.AB,3,0,"Well, it's an experiment, so I wouldn't say that either option given is appropriate or inappropriate. They have similar functions but are executed differently.",,R_33rLtOFerUGV2Hw
157,xA4,AV.lever,5,0,"When it comes to any type of machine,  humans should always have an option to ultimately control the machine,  in this case, a car. It just add another level of overall safety in case the car itself fails.",,R_3iPWFBZsdTBsThm
158,xB4,AV.auto,5,0,People should have the choice to control their own cars if they want to.,,R_1DnTDF3O2MUl4hV
164,xAB4,AV.AB,1,1,I am still very skeptical about complete self driving car. I think people should be able to switch modes at easy.,,R_2PnYrsC2QeiZ2Re
170,xB4,AV.auto,2,1,Human error is much more likely than machine error.,,R_r7M7psIHfBT8k4V
173,xAB4,AV.AB,4,0,"It's appropriate that the CEO gives people and option between self driving and human driving cars. However, the option may confuse others or make it difficult for self driving cars to operate properly.",,R_1F9xvYK2Hirpza4
178,xA4,AV.lever,2,1,CEO being selfish,,R_3MgLrQg8gvn8Wfv
179,xB4,AV.auto,5,0,I think it would be the safest way to make sure that drivers are safe in case of emergency. There should be a way to override it just in case.,,R_3FVA1DDJt4GiofP
188,xAB4,AV.AB,2,1,I don't think the company should sell cars that they are testing.,,R_3oT12neY9OFgHZs
191,xA4,AV.lever,5,0,"Everyone should be able to manually drive their car, robotic or not. It's much safer in some cases, and decisions are better made by man than machine.",,R_2AZhr4cv6rlgdkp
192,xB4,AV.auto,4,0,It's appropriate in the suggested situation that the computer makes a erroneous judgement call.  At least the human would have control to possibly avoid the mistake.  But the motivation behind autonomous cars is that the computer will made choices that are safer and better than human drivers so giving humans ability to interfere with the computer's decisions conflicts with the entire motivation behind self-driving vehicles.,,R_2vdMCll9kN3ESYn
195,xAB4,AV.AB,3,0,I don't think it matters. What about human error?,,R_31XFouPEPQACxqH
198,xA4,AV.lever,5,0,I'm all for technology and innovation and I firmly believe driver less cars are the safest way to go.,,R_232Ivkkmy3nd7tX
201,xB4,AV.auto,5,0,The override that the CEO wants to put inside the cars would help convince those people who are scared of buying self-driving cars. It would also help those already with self-driving cars feel safer.,,R_2sYoo3QozwgJr1f
208,xB4,AV.auto,5,0,It scares me very much over the fact I would have no control over the car. The fact that there is an override makes me really happy. I don't like giving up control and in a case of life or death I want to be the lead.,,R_Uo124g5rUc1QQJH
212,xA4,AV.lever,5,0,"Computers cannot make decisions like people can and we need to have the ability to take over.  Also, there might be a time when we would want to drive.",,R_Zl2TiseMv6281H3
214,xAB4,AV.AB,5,0,The ceo is trying to keep us safe by allowing two different safety options and checking witch one is more efficient.,,R_1irjC6G2EBmeEtb
216,xA4,AV.lever,5,0,This gives the driver the option to take over in a scenario where the self driving car could pose a hazard. An example of this would be the car stopping on a rail road track when a train is coming. The driver could use the lever and manually drive the car out of harms way.,,R_1QAbSEqZYIn8SvR
219,xAB4,AV.AB,3,0,"This is a test of two alternative systems; the lever system is similar to switching to cruise control; the other system is similar to an ""emergency"" response that would allow the driver to immediately take control of the vehicle.",,R_1r7HR2SLG6jVB3Y
226,xB4,AV.auto,2,1,"I chose that option because of what the CEO said, his statement does not carry all that much validation.",,R_1AI9fo15EAHpybT
229,xAB4,AV.AB,5,0,It's appropriate to run experiments to test the effectiveness of each solution.,,R_2a8GdTSQKlN6bTK
230,xB4,AV.auto,2,1,It would be difficult to drive a car if you touch one of these features that can be overrided. It is easy for people to accidentally hit the parts of the car also.,,R_3ESZCky249wsyZC
237,xA4,AV.lever,5,0,You should have the option to switch back and forth,,R_1GI95IU1hnq2l4A
242,xA4,AV.lever,4,0,Because it makes the most sense. Its important to have a failsafe.,,R_2w6VuIPos07VlPu
247,xB4,AV.auto,1,1,The human driver of the vehicle should always have final say over the actions of their vehicle.,,R_2uCnJnYZEYe3nIc
249,xAB4,AV.AB,4,0,"I think that as long as the drivers get to choose which car they want to use then it is appropriate. If they randomly get a completely autonomous without wanting that, then I think it would be an issue. People should be able to decide what sort of autonomy they are comfortable with,",,R_2DStiZPTY0aTZYJ
251,xAB4,AV.AB,4,0,"It is good for the CEO to put in a safety control feature in the car. It is not as quick to use a lever for that purpose, but it is still an option that works.",,R_qKkr0Aa67jjr1eN
255,xB4,AV.auto,3,0,"There is nothing wrong with his decision, but it may not be the right one either.",,R_1FRmhX62PueHzEk
260,xA4,AV.lever,5,0,"Technology is still capable of failing, and having an option to manually control the vehicle could help prevent any accidents caused by technically issues with the automated system.",,R_2aQbzOu2qCWIDyo
267,xB4,AV.auto,5,0,I agree with his decisions because I would want my decision to be better than the cars. I think that I might be able to see something that the car doesn't see.,,R_1PU8Tj5828qa0kD
269,xAB4,AV.AB,1,1,It's a proven fact that you can't always rely on machines to do the work as they can sometimes fail.,,R_UthKbqF9d6SvkLT
274,xA4,AV.lever,4,0,"Because it's new experience for me , I would like to try it ,and  really appreciate the cars companies
to development that .",,R_D0IxVmebcbRoZ6V
276,xB4,AV.auto,5,0,"I think he made a appropriate decision because, if theres an emergency the driver can take control instead of allowing the car to do it. Also, if the driver is scared that the car might not stop or is going to fast they can take control which may give the driver a sense of ease",,R_2uvQBSnZhKExatp
279,xAB4,AV.AB,4,0,"This would be considered a controlled experiment, where everything about the vehicle is the same except the mode of where individuals switch from automated to self-driver mode.  The only concern would be if there was an emergency where drivers would need to drive themselves.  If the CEO forsees injury as a result of having to pull a lever, then they are ethically bound not to use the lever.  The CEO should give the driver the option to choose an option and fully disclose the risk involved in each choice.",,R_2bIRmPheIuChRdw
282,xA4,AV.lever,5,0,I think it's good to have the option to take over controlling the vehicle if need to. It would make me a little bit nervous to purchase a vehicle that completely drove itself and not knowing if something malfunctioned I would be able to stop it or not. I would feel a bit more secure knowing that I had that option.,,R_2y7vLFeC4dhnRWu
287,xB4,AV.auto,4,0,Humans should be paying attention to their driving and be able to override a self driving car if necessary. But not be texting and other distractions.,,R_e50gZ4C3zdQPdjX
288,xAB4,AV.AB,2,1,Because the consumer may have no idea what car they are getting it may pose a dangerous situation to them.,,R_3hGge0LAS3gvu7y
291,xA4,AV.lever,5,0,"If the driving conditions become dangerous, I would want to be in control instead of a computer.  Bad weather, bad traffic, bad condition of road, not being on a lined road at all, all of these I would want to be in control",,R_1Eb0DgYWP8kp7GC
295,xB4,AV.auto,2,1,It's better to be in control of your own car. If the system miscalculates you can get into a accident.,,R_SOarMSBj2InLej7
299,xA4,AV.lever,5,0,It seems the safest option.,,R_2R4U1ynOQM1XHYh
301,xAB4,AV.AB,4,0,I'm not really sure. It just seems like a good way to conduct a test.,,R_1LwKEGHQwLLKYAk
308,xA4,AV.lever,5,0,"The CEO's priority is to protect people, while also preserving the self-driving feature of the car. His move was a smart one that fulfilled both priorities.",,R_3R8hpGbkfPA1813
310,xAB4,AV.AB,5,0,"I chose this option because I do believe that human drivers need the option to override the self-control computer of the car in case the self-control capabilities are not functioning properly, and if the human driver needs to take control of the wheel for whatever purposes.",,R_2XdqDz6Q2aSyk4o
311,xB4,AV.auto,4,0,"Because in this way people have freedom to drive so that emergencies would be prevented
",,R_1N4gvaP2EcrmpHC
323,xA4,AV.lever,5,0,"As a driver, i want freedom to let the drive the car if I need to do so",,R_28CzxIx96qRSg66
325,xAB4,AV.AB,5,0,It gives the drivers options to feel in control.,,R_1girSsSEu6mujRi
327,xB4,AV.auto,4,0,I think it's important for the driver to be able to override the self driving feature if the driver decides it is necessary for safety.,,R_yJRgN2dSCwUzWiB
331,xAB4,AV.AB,2,1,"If consumers all pay the same price for the same product, then they should come with all the same options and features for each and every consumer",,R_269DqHMWfBguA8f
334,xB4,AV.auto,5,0,"I'd feel better if I could override a self-driving car in case of emergency. I also like to drive, and would like to do it myself from time to time.",,R_3sj0D4Th8h7QVxN
338,xA4,AV.lever,5,0,Itâ€™s important to be able to switch to self-driving mode in case there is an emergency where the machine fails.  Machines/robots/automatons cannot be completely trusted 100% and thus it is necessary to have a fallback.,,R_2qeqactntD8pXCf
340,xB4,AV.auto,2,1,"Computers have more potential for safety than people. Just that, in theory, cars will be talking to each other and have more info.",,R_2RQUqwTpot8Sr5H
341,xAB4,AV.AB,5,0,"The CEO's main concern is to have a self-driving car while still allowing drivers to maintain their freedom. By providing the two options to allow drivers to determine which method is most appropriate for them, the CEO is allowing individuals to have the freedom to determine which method they would prefer.",,R_3dEze62moyIwzNf
344,xA4,AV.lever,5,0,"I like this option, since I am someone who likes to drive and even though I would use the self-drive feature especially in heavy traffic, I'd like the option of driving myself",,R_3NE5gkk8SIk9Yeg
355,xA4,AV.lever,5,0,"the idea seems to have the best of both worlds.  the driver can take advantage of the benefits of ""self driving,"" but have the peace of mind of knowing he/she can switch back to human driving if he desires.",,R_6Rp8d7iJJhI1NG9
356,xB4,AV.auto,5,0,I chose this option because i personally would want and need some control over driving my own car. I think the CEO is being responsible and really cares and has his customers safety in mind,,R_1rc4Q6qd5UUJE6S
1,xB2,Genes1.dementia,5,0,It makes it so it can help those who need extra help,,R_2qDhr8ze4lvoSWG
4,xA2,Genes1.cancer,5,0,"We need to care more about cancer prevention and people's welfare. If there is no additional cost added to this and the customers receive their initial ancestry results they originally paid for, all is well with this in my mind.",,R_24LY03ZVuTwkHMs
10,xAB2,Genes1.AB,4,0,Because the doctor is willing to help other people by thinking wisely. The option to view or not to view their result is a good decision because it can greatly help with the patient's level of anxiety,,R_1mmjKuiVDrXiR0J
11,xB2,Genes1.dementia,5,0,ITS SOMETHING THAT I WOULD BE INTERESTED IN. ITS ON MY MIND IF I WOULD GET IT OR NOT,,R_3PhSJIruRBONysC
12,xA2,Genes1.cancer,3,0,"I think it may be an appealing option for the business to attract extra customers. If people don't want to see it, they don't have to. It's not necessarily the best way to go about this, but I don't see it doing additional harm.",,R_2s4Sh2kZV8h4fCH
30,xB2,Genes1.dementia,2,1,"We're not given information about whether or not the customers are given the choice to opt into genetic testing about dementia from the outset, so I'll assume the customers were not given the choice from the beginning. Being given the choice of whether or not to view their dementia risk after the testing has already been performed is inappropriate because it has no bearing on the fact that the test was performed without the customer's express consent.",,R_vdiYwRzz2it6CGJ
32,xB2,Genes1.dementia,1,1,"It should be the customers' decision whether they want this test done; this could be traumatizing if results support probability for developing dementia. This is a very sensitive issue, and the director doing the test may put the customers at risk of possibly having this health information exposed to others, which could have very negative consequences.",,R_1H5ALeAeGKtwmFq
33,xAB2,Genes1.AB,4,0,"I chose the director's decision is somewhat appropriate because preventative healthcare is vital to combating conditions such as cancer and dementia.  In addition, early diagnosis has been dramatically shown to increase survival and quality of life.",,R_3GvaqnBQw5jHwmC
35,xA2,Genes1.cancer,5,0,It's always good to let people know if they are at risk in certain ways. Cancer is a disease that is very dependable on when its detected so knowing you are at risk would help prevent it in the future.,,R_RgE2fvhQaI3q2AN
49,xA2,Genes1.cancer,5,0,It could be life saving to know early on. It's better to know if you run a higher risk to developing cancer compared to the average.,,R_2eVCPZkSHUFxbsU
51,xAB2,Genes1.AB,5,0,It can be beneficial for people to learn things about what diseases they can get.  Genetics can determine these things.,,R_1ie3ory2OIbquKG
55,xAB2,Genes1.AB,3,0,I cannot make an informed decision without knowing if customers opted into receiving this knowledge or not.,,R_1CwPl112ErNxBuu
57,xA2,Genes1.cancer,4,0,"The consumer can choose to not have the DNA testing done if they don't want to know about the cancer risks. However, I think the company should have surveyed prospective buyers to see if cancer was the one health-related test they wanted run.",,R_1gi39MDAfDa7jwo
61,xB2,Genes1.dementia,4,0,I think it would be good to know. The doctor could be preventing future health risks.,,R_d0fI3idV2bVnvCF
68,xAB2,Genes1.AB,5,0,"As long as the results are kept secret, I think it is fine to do this.  The person gets to choose whether or not to see the results, and I believe no harm is done.",,R_1KfDxgcGNKeNOD8
71,xA2,Genes1.cancer,1,1,"People aren't agreeing to the extra test, only the ancestry test.  If they want it to happen they should sign on for it in the agreement with the company, not simply be told later their health risks via DNA were tested across the board without their asking but that their consolation is that they may view it.  It is an invasion of privacy.",,R_0cFcoqePvTuxasF
72,xB2,Genes1.dementia,3,0,"It sounds like the doctor gave people the option of viewing the results, which I think some people would appreciate if it wasn't at an extra cost. If people don't want to know, they aren't exposed to the information.",,R_saG40my6F3hUTOF
76,xAB2,Genes1.AB,4,0,"If the customers want to know what their risks are, they should be able to find out if they want. They should be informed on what they are being tested for so they can make a sound decision on what they are asking to know.",,R_2dsaDkyFTAVkiFz
79,xB2,Genes1.dementia,2,1,"I do not think the company is justified in testing for dementia without prior consent of the patient. Health information is confidential and private, and the company should be straightforward and open about their intent so that the patient can opt out before sending in their sample rather than after the sample has been taken and tested.",,R_3MipcgIYPeuibex
80,xA2,Genes1.cancer,4,0,i think everyone should know about their results,,R_2fJsRH3cfkN5zfu
82,xAB2,Genes1.AB,2,1,"Cancer is much more deadly. Since cancer is treatable to a certain extend if caught early enough, and as far as I know dementia is not. It's unethical for the company to decide who gets checked for what",,R_24k3hhlcYu10ecl
84,xB2,Genes1.dementia,1,1,"The customers signed on for genetic testing to learn about ancestry.  If there were an option of having another test done, they should be told up front, not after the fact . That is very unethical and I would hope that is against the law.  I would be furious!",,R_3FXrzK1VIj48J5w
92,xA2,Genes1.cancer,3,0,This would be inappropriate if consumers didn't know but that information is not available in this prompt. It could be appropriate if agreed to.,,R_1QL3mPzxbXXcDFS
98,xB2,Genes1.dementia,5,0,I think that the health related test is appropriate however I would think that the customer could choose which test to run rather than the researcher making a random choice,,R_5zry1Tpe6WinUnT
100,xA2,Genes1.cancer,5,0,I don't see why it would be inappropriate to offer to provide information that could be useful to a patient's health. They have the choice of whether or not they want to see the health genetics tests or not.,,R_WBxNmaSVt9F32St
103,xAB2,Genes1.AB,2,1,"I am not sure if the director decided to run the experiment without the knowledge of the people. If he did, that would make it inappropriate because the people should know their being tested and approve it. If it was approved, then it's not fair to test half for cancer and the other half for dementia.",,R_AiBhM1etGqPZsk1
105,xA2,Genes1.cancer,4,0,I feel like the research director is looking out for the customers well being. If I participated in the genetic testing and something negative showed up on the test I would like to know.,,R_3Ooz84nAhzte85g
107,xAB2,Genes1.AB,2,1,"I'm unclear on whether the customers know these tests are being done in addition to the ancestry.  If not, I think it is wrong for the director to run them.  They should only be done if someone requests them and then whichever the customer chooses rather than randomly.",,R_2PpqHxjj26YWzdU
109,xB2,Genes1.dementia,3,0,nice,,R_2wMH7UDXdf6nxbh
120,xAB2,Genes1.AB,3,0,"Not really sure if it is or isnt. Guess the extra testing doesn't have to be done, but seems arbitrary and random to just give half one and half the other.",,R_1K3AVUYzIdeX6MD
121,xA2,Genes1.cancer,2,1,"Unless the company has gotten permission from the users to use their material to test for this, it's completely inappropriate for them to make the unilateral decision to do this.  I know they're all only trying to help, but it's up to the end user to decide if they want to have this tested or not.",,R_12bQJzayy7gQtJ2
124,xB2,Genes1.dementia,5,0,I THINK THAT THIS IS A WONDERFUL THING TO KNOW ABOUT ONES HEALTH.  I WOULD WANT TO KNOW AS MUCH AS I COULD ABOUT MY HEALTH AND POSSIBLE ILLNESSES.,,R_22zwDIhlD6CXAam
128,xB2,Genes1.dementia,4,0,"I agree that many or most people would likely want to learn about their risk for dementia. However, I believe that more serious diseases such as cancer would be better choices for this single risk screening.",,R_1nVACPsRXsSP4K3
132,xA2,Genes1.cancer,3,0,I think the testing and the choice of whether to view the test results should be up to the individual customer.,,R_3qIkI6oqwa5W8bo
133,xAB2,Genes1.AB,2,1,The doctor should consult with patients prior to conducting the tests.  It is inappropriate to conduct the test without patient's consent.,,R_3snBladJCY2BATz
145,xAB2,Genes1.AB,4,0,It provides more information about the person that they wouldn't know otherwise.,,R_XYcCMXzrBUn13cR
146,xB2,Genes1.dementia,5,0,Because if the researcher can find that there could be a way to determine a genetic disposition through his research I think it's a good thing he's testing for it. And I think giving people the option to review the results is appropriate because maybe some people won't want to know the results.,,R_20PvZ1E3nol9Nvw
150,xA2,Genes1.cancer,2,1,I chose the option because the test is suppose to be for ancestry. Testing for health related problems should not be included in the test by this company in my opinion.,,R_1H5oXqaPsCmzfKl
155,xB2,Genes1.dementia,1,1,"Those taking the genetic tests should be informed prior to taking the test... I think it's inappropriate (unethical) to just sneak that test in that way, otherwise.  It demonstrates a real lack of transparency...",,R_aaEBiNr96kpVa7L
159,xA2,Genes1.cancer,1,1,"even though customers signed up to learn about ancestry, it gives customers more incentive to learn about their ancestry",,R_23942DpzfroIkH5
162,xAB2,Genes1.AB,3,0,Health should not be an experiment and be complete to all,,R_2YGiNSR71ueEL3B
163,xAB2,Genes1.AB,1,1,They should not be randomly testing people without their consent.,,R_1cV6RtTAZXQphc9
168,xA2,Genes1.cancer,3,0,"I think it's a good choice
",,R_2sRXtk5W7OJ2MTq
175,xA2,Genes1.cancer,5,0,"Cancers are the most likely possible future health problem, so if he can only choose one other thing to test for, I think that's best.",,R_27m4yRJ9UeaI3M2
177,xB2,Genes1.dementia,4,0,"I feel that it is mostly appropriate. Maybe I'm a little biased because I personally would be interested in knowing my risks. However, it's a little inappropriate to choose what someone will be tested for or to use their genetic material for what you(researcher) chooses to, even if the customer has the choice of knowing the results or not.",,R_2ANi30ocmRYH3sv
185,xAB2,Genes1.AB,4,0,I believe that it is somewhat appropriate to pre-test for illnesses and diseases ahead of time.  This can enable medical practitioners to start treatment early and to possibly even prevent diseases from manifesting.,,R_eLKPGPnCU60kqCl
186,xB2,Genes1.dementia,5,0,People have the right to know if they are prone to develop dementia. Have or potentially developing a disease you cannot control is not inappropriate.,,R_3Pw8DNJjhU5uadU
190,xA2,Genes1.cancer,4,0,"As long as the customers know up front that they will also be tested for this, whether they choose to know the results or not, it is ultimately up to the customer if they want to use the service provided.",,R_3JtrTxusfefP0w2
199,xB2,Genes1.dementia,3,0,I do not find the director's choice appropriate or inappropriate. I believe there is a demand for this service and people who would be against the demand. It is ultimately a personal choice that I have no ethical opinion on.,,R_3G7IDFmrKjBpfGC
204,xAB2,Genes1.AB,2,1,I don't feel like this is something that should be randomly decided. It seems like the people should have a say as to which test they get.,,R_1jdrfQR8ooMaWyB
209,xAB2,Genes1.AB,1,1,"First, having someone else learn about my health info without my permission is not okay with me.  Second, if someone is going to offer such tests, they should be allowed to choose which one is run - they can then decide which test will be the most relevant or useful to them.",,R_1CawirC0G22tRJ0
210,xA2,Genes1.cancer,4,0,I think it's important for people to become more aware of their health and learn how to improve it. It is important to share this type of research to society.,,R_25GwWRmTBv6a29l
215,xB2,Genes1.dementia,2,1,I think customers should be able to have the choice of which test they want.,,R_u9x0XLr2xxETODL
217,xB2,Genes1.dementia,4,0,"There are many decisions of different diseases that might be appropriate to choose from like dementia, cancer and heart disease. It was a judgement decision and dementia does affect many people, also people are living older. I think it would be better to let the person choose what disease they wanted to check for, probably one that is genetically relevant to their family history.",,R_2rwnTgJret81mVj
220,xA2,Genes1.cancer,2,1,It seems somewhat inappropriate that they do/would do that.,,R_2wobyZEFw6La1s6
222,xAB2,Genes1.AB,4,0,I think it's appropriate to best generate a conclusion without having any implied bias on the study. It won't be definitive but statistically will provide a better hypothesis.,,R_29mn2dYGYX9qZla
228,xA2,Genes1.cancer,1,1,They shouldn't be able too do that because they can't diagnose like that. It would scare a lot of people.,,R_3fw0ByR2RnIcnfG
233,xB2,Genes1.dementia,5,0,"I think it is very appropriate to give the customer the option to choose whether or not they want to view their results.
The fact that they are also testing for the risk of dementia later on will afford the customer some preventative actions.",,R_3n0qBVy1BQYjjx4
240,xAB2,Genes1.AB,3,0,Doesnt seem like he collected consent. This being said customers have the choice to view or not. Neutral,,R_6lpCNzyq7ASvVrX
243,xB2,Genes1.dementia,3,0,I think its the director's ultimate decision.,,R_2YXNeFHA1LdcM9y
250,xA2,Genes1.cancer,2,1,"Not sure about the legality. H.I.P.P.A. laws, patient-doctor confidentiality",,R_AvLUFednLoFYO2t
253,xB2,Genes1.dementia,4,0,"Even though he can't test your history for all of the possible health risks, dementia is still a very high risk health risk,so finding out if you can possibly develop this in the future,its good to know now",,R_6lBeJhcJznrooM1
256,xA2,Genes1.cancer,3,0,"I believe that illness testing should be ordered by the customers, I think that no one can test me for something I did not give permission to. On the other hand early detection of cancer or knowing that you are in the risk category could give you few more years or need to total prevention of the disease.",,R_UhYe5p8oop0i2oF
257,xAB2,Genes1.AB,4,0,"If this is a free service (which is implied) then it is a win win for customers, even though it would be great if they could get both tests performed.",,R_8f6UUda0fXd7tkd
266,xA2,Genes1.cancer,2,1,"It isn't a problem with the test itself, but more about where that information will end up. If it was for purely research reasons, that's fine. But the chance of it ending up with for profit insurers or other commercial ventures it too high and not in the best interest of the customers.",,R_3HnT1yMs1BdnCUg
271,xAB2,Genes1.AB,5,0,It would be good to know of health risks that I may be susceptible to. I would like to know my health.,,R_3EhyaUyScmvzMMK
272,xB2,Genes1.dementia,4,0,It would be nice to know while I'm getting tested for my ancestry to have an additional test run as long as this test does not cost me. I think it would important to know i I would be prone to dementia.,,R_2dFMXVplfhCw679
273,xAB2,Genes1.AB,3,0,"I think it's a nice option, but doesn't really have to do with an ancestry test.",,R_3GfvpO0WNXSqGRb
278,xB2,Genes1.dementia,5,0,I work with the elderly and I think it is a great thing to know if you run the risk of dementia so that you can take preventative measures earlier in life.,,R_3PFg5j5HWKdW52w
284,xA2,Genes1.cancer,4,0,"I think people should get tested on their own if they're concerned about certain health risk. Therefore, it is not up to the health professional to provide a full report. Therefore, overall, I think it's appropriate. However, if the genetics diretor notices something very concerning in genes, he should feel a little morally obligated to tell them",,R_plOBqWIHlVMPosx
293,xAB2,Genes1.AB,4,0,"It is somewhat appropriate because he is seeing if health related issues will matter to the customers. He is giving a choice if you want to know the results, so it is not like he is forcing you to know.",,R_1C74LaWVLX6VkRx
294,xB2,Genes1.dementia,4,0,it is a terrible disease that a lot of people struggle with later in life. if they had a heads up they could plan for that period of life. knowing may help end of life planning.,,R_1GxoVaTQ6d9siA5
297,xA2,Genes1.cancer,4,0,I think it helps people in the future. They have some sort of idea if they might develop it or not and maybe take some action for the future.,,R_3k6WgeLnB2cLfPL
