pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatTurkerLabelCode
57,ABS,ABshort,3,0,It is appropriate that he is thinking of testing using more than once scenario. I do wonder though if that would be enough information to decide how to program the cars.,,R_svZUR3ZlG6Kmenn,4,4,3,3,2,0,3,1,44,1,4,1,4,1,11,0
60,ABS,ABshort,4,0,It is not always a good idea to speed up at a yellow light.  This is a situation in which human reasoning comes into play.,,R_1LopbkL2yEikhQc,5,4,4,2,2,0,3,1,44,1,6,1,4,1,11,0
64,ABS,ABshort,2,1,It is dangerous to accelerate through a yellow light if you can stop,,R_W38RQGuQVke1mP7,1,1,5,1,1,1,3,1,34,1,4,1,3,0,3,0
73,ABS,ABshort,4,0,Best way of figuring it out,,R_2bWvpz2njoSGlV2,1,1,5,1,1,1,3,1,22,0,4,1,3,0,3,0
79,ABS,ABshort,4,0,I agree it will help avoid accidents.,,R_2rUeee6IwXz23b7,4,3,4,2,2,0,3,1,33,0,3,0,4,1,9,0
10,xA,Accelerate,4,0,What if a car is in front of that car as it accelerates?,,R_2pWZDufdFwXZxn0,1,1,4,2,1,1,3,1,27,0,1,0,1,0,4,0
15,xA,Accelerate,2,1,I think it sounds kind of scary to know that the car will automatically go faster if it comes to a yellow light. I feel like that creates even more chances for car accidents as the car will be going through the light right as another side has a green light.,,R_2X729NWyFhdrLl6,1,1,4,2,2,0,3,1,25,0,3,0,2,0,4,0
22,xA,Accelerate,2,1,Accelerating under a yellow light isn't safe. I think it would cause more accidents.,,R_1GJlCTm6aPusbAT,3,3,4,2,1,1,3,1,35,1,4,1,4,1,8,0
28,xA,Accelerate,1,1,It sounds very dangerous.,,R_3mBAc0PpOh3gAlr,2,4,3,3,1,1,3,1,29,0,4,1,4,1,9,0
33,xA,Accelerate,1,1,That decision could end up causing more accidents,,R_2OUNfQTZhT53aW7,3,1,5,1,2,0,4,0,27,0,4,1,1,0,5,0
41,xA,Accelerate,2,1,I am not sure about self driving vehicles.,,R_3NJLX3HST27WAPV,4,3,5,1,2,0,1,0,29,0,4,1,3,0,8,0
46,xA,Accelerate,1,1,It is very dangerous to accelerate through a yellow light.  The safest thing to do is begin to slow down to a complete stop before the light turns red.  This seems very risky and unwise.,,R_8kRkEseU3dLSlHP,3,2,4,2,2,0,3,1,55,1,4,1,5,1,7,0
50,xA,Accelerate,1,1,"It sounds like the car would accelerate to a speed above the speed limit, which could create unsafe situations.  Also, this solution does not address front-end collisions.",,R_6mnwLlF0aJgAOw9,1,2,4,2,1,1,3,1,35,1,4,1,3,0,5,0
51,xA,Accelerate,1,1,That would could be a dangerous way to go about that problem. Maybe a better solution would be slowing down very gradually approaching a light,,R_vUGyOpCm0LL0Ivf,2,1,5,1,1,1,3,1,49,1,2,0,2,0,4,0
52,xA,Accelerate,1,1,I do not like the idea of a self-driving car.,,R_3fZbDBVV2EsYi56,1,3,4,2,2,0,"3,4",0,38,1,2,0,1,0,6,0
65,xA,Accelerate,4,0,"It's very similar to what most people do, making it predictable; stopping is potentially more dangerous than speeding up.",,R_RqurvK5ihq41Dix,1,2,2,4,2,0,3,1,26,0,6,1,1,0,7,0
66,xA,Accelerate,4,0,"If all cars are self driving and able to do this and be designed like this, it may work well",,R_2ttBIAyX1rCHrf7,4,2,4,2,1,1,3,1,20,0,3,0,6,1,8,0
67,xA,Accelerate,2,1,"It can be considerably dangerous due to the possibility of the cars in front of the self driving cars reducing its speed. On the contrary, there could be a pedestrian crossing.",,R_24jarnBgTekRhuY,3,2,4,2,1,1,1,0,42,1,3,0,2,0,7,0
68,xA,Accelerate,2,1,Self driving cars take away jobs from other people.,,R_ClEPLTAZHEWz1ap,2,1,4,2,1,1,3,1,23,0,4,1,3,0,5,0
74,xA,Accelerate,2,1,"There are many people who do in fact accelerate when it turns yellow so they can run it before it turns red. If they can set it so it does accelerate DEPENDING on the speed of the car, distance, etc then it might be ok to do",,R_cFIGCocU8J6fbfX,1,4,5,1,1,1,"2,4",0,20,0,2,0,4,1,6,0
77,xA,Accelerate,1,1,Because you are supposed to slow down at a yellow light and speeding up could cause you to run into the car in front of you,,R_b3ePlcoHUL3nSP7,1,1,5,1,2,0,3,1,38,1,3,0,2,0,3,0
81,xA,Accelerate,1,1,Running yellow lights are technically illegal and a traffic violation.,,R_1mOEiapOXoZRCit,5,3,4,2,2,0,"1,2,3",0,21,0,3,0,5,1,10,0
82,xA,Accelerate,1,1,It is reckless dangerous and totally irresponsible  to accelerate on a yellow light to many accidents and even deaths can and would occur.His comment decision was totally inappropriate.,,R_3ee5MW2rvcrrCo1,5,5,4,2,2,0,3,1,70,1,6,1,2,0,12,0
85,xA,Accelerate,1,1,I do not feel that this the safest way to handle the problem.,,R_1dugXc746ChzOhF,3,3,4,2,2,0,3,1,36,1,6,1,6,1,8,0
90,xA,Accelerate,4,0,"This should help as the drivers behind the self-driving car will lessen the chances of hitting the cars if they accelerate at the light, while the self-driving car stops at the light. If the self-driving car accelerates and goes through yellow lights, it will have less likely rear end collisions.",,R_sZ1Q7WSF2wS6NdT,4,4,5,1,2,0,3,1,39,1,2,0,4,1,9,0
9,xB,Brake,2,1,I think that this will increase accidents because people will not be expecting it. There will be some situations where a driver needs to override this but will not be able to.,,R_3ps3VJUHZMfgJjM,2,1,5,1,1,1,3,1,29,0,6,1,5,1,4,0
11,xB,Brake,1,1,Those cars should not be going through yellow lights if there is a chance they can cause accidents.  I feel they should stop on yellow to be safe.,,R_24h4GBswUuk8BTH,1,1,1,5,2,0,3,1,35,1,4,1,5,1,7,0
16,xB,Brake,4,0,"I feel this is a good idea until there is a better piece of technology implemented. At this point, stopping at a yellow light is better than advancing at a yellow light.",,R_2rYrAqeuXGIhIBm,5,2,5,1,1,1,3,1,33,0,4,1,5,1,8,0
24,xB,Brake,5,0,It was an issue he saw and found a solution to. I feel that implementing this feature definitely addresses the issue at hand.,,R_Rt9gLneG65fGdDH,1,1,5,1,1,1,3,1,33,0,3,0,2,0,3,0
31,xB,Brake,2,1,"Generally braking at all yellow lights sounds appropriate, however, it has to also be able to take into consideration the amount of space remaining and whether the car would have enough space to get stopped before the line in order to avoid stopping in the middle of the intersection.  Maybe it does that too, but it seems like it would be a little tricky to get the distance right on a yellow light.",,R_1joE1LlRXHReT16,5,3,3,3,2,0,3,1,32,0,4,1,3,0,11,0
34,xB,Brake,3,0,"I know from personal experience of driving, that when it comes to yellow lights, It is almost never the best to act the same in every situation of the kind. I see this both causing accidents and preventing them at the same time.",,R_3IaeGKRWD2mZNoX,1,3,5,1,1,1,3,1,28,0,2,0,1,0,5,0
35,xB,Brake,4,0,because it is good that they brake but they should so it gradually to avoid crashing the car behind,,R_22KSW3CyDu55W7u,1,1,5,1,2,0,3,1,22,0,4,1,2,0,3,0
37,xB,Brake,4,0,I think it would be better to be safe than sorry. It looks like this is an issue more of the other cars crossing the intersection so stopping at a yellow is a good compromise with the driverless cars.,,R_3fDlT0CbIh5dAHO,1,1,4,2,1,1,3,1,56,1,6,1,6,1,4,1
38,xB,Brake,4,0,I think it is safer to stop at the traffic light than try to run the yellow light and make it across. Stopping can decrease accidents and force people to stop speeding.,,R_2wboRqSPlfOht6c,2,2,4,2,2,0,4,0,31,0,4,1,4,1,6,0
40,xB,Brake,5,0,"Since cars are in danger at yellow lights, slowing down for them should reduce accidents. The added congestion I'm sure it is hoped will be worth it.",,R_3F4D3F7mNOiiYA3,1,1,5,1,1,1,3,1,58,1,3,0,1,0,3,0
47,xB,Brake,3,0,"Im not sure if that is the better choice for this cars, because sometimes it will make the car drive really slow",,R_3nlq8fPxTz264Y4,4,3,4,2,2,0,3,1,32,0,6,1,4,1,9,0
49,xB,Brake,4,0,It extra on the safe side.  It wants to be more cautious,,R_1GE3GvEIIKbNkLV,3,3,3,3,1,1,3,1,24,0,4,1,2,0,9,0
54,xB,Brake,5,0,It is appropriate because it will keep people safer. I do not want my car to speed up to beat a yellow light.,,R_yDxPV2v11j9FHoJ,1,1,5,1,2,0,3,1,26,0,4,1,2,0,3,0
55,xB,Brake,4,0,"As far as I know, it's part of driver safety to stop at yellow lights. It's only allowed to continue through an intersection that has a yellow light so there's a grace period to clear the intersection and allow cross traffic to flow freely. In my experience, human drivers inch into the intersection during a yellow to try to gain time which just backs up cross traffic and makes the lights change more frequently.",,R_wY2YuPl9iXaNpC1,1,1,5,1,1,1,3,1,31,0,3,0,1,0,3,0
59,xB,Brake,2,1,Because it'll be likely to get a lot of people's cars rear-ended.,,R_1GJNJlVIcjo09qL,2,1,4,2,1,1,3,1,34,1,4,1,3,0,5,0
61,xB,Brake,2,1,"I would think that if a car is very close to a stoplight and it just turns yellow, then the car would simply and easily proceed through the signal before there is any risk of the light turning red. Therefore, I don't think it would be the wisest - or safest - strategy to have cars always brake in this scenario, because I can envision trailing vehicles not being able to react quickly enough to brake themselves, thus exchanging one type of accident for another.",,R_2aRg1hcC5UA4Irk,2,1,5,1,1,1,3,1,40,1,4,1,5,1,4,0
70,xB,Brake,4,0,because it could  reduce accidents and people should be doing this already,,R_3dSsQVZyHqwqFri,5,4,4,2,1,1,2,0,27,0,3,0,2,0,11,0
71,xB,Brake,4,0,I think this will set everyone's mind at ease when it comes to welcoming self-driving cars. By having limitations of the cars by implementing sensors in order to stop and react will help decrease the casualties in high traffic situations.,,R_29lWUCspIKmBkMh,3,3,4,2,2,0,2,0,27,0,4,1,3,0,8,0
76,xB,Brake,4,0,"If there is time to stop  before a light once the light turns yellow, a car should stop.",,R_BKABDzhno2E6AOl,4,3,4,2,2,0,3,1,31,0,4,1,2,0,9,0
78,xB,Brake,5,0,It is much safer to slow down and stop at a yellow light when it is detected then risk running a red light and being in an accident possibly.,,R_rkVtchj2ZqCcwMN,2,2,4,2,1,1,3,1,31,0,2,0,1,0,6,0
84,xB,Brake,5,0,He took into account how what was the best way to be safe. SO his choose was justicifyed if it helped,,R_2SucXJEqbkdXR9p,3,3,4,2,2,0,1,0,32,0,4,1,4,1,8,0
86,xB,Brake,5,0,"Your supposed to slow down when you see a yellow light as it is now, not speed through it to miss the red",,R_2WBY8inRLNdWx3m,1,1,5,1,2,0,3,1,38,1,3,0,4,1,3,0
89,xB,Brake,5,0,"This is the conservative approach, which I always prefer. The most important factor is passenger safety. If it is standard for self-driving cars to stop at yellow lights, this essentially eliminates the possibility of side impact at intersections. The inconvenience is minimal - A human could also choose to stop at yellow lights just the same, and it will only delay the passenger minutes at most.",,R_2DUpAC2k9mzUMph,1,1,5,1,2,0,3,1,26,0,4,1,5,1,3,0
