StudyType,ExperimentCode_MS,StudyDescription,R File,pid,Scenario,genericCond,scenarioCond,policyOrAB,cond,dv,Duration,ResponseId,FreeResponse,Disagreement,dv_binary,Objection,condLabel,BenefitFinal,LearningFinal,AbsenceHarmFinal,EqualityFinal,PhysicalRiskFinal,OtherRiskFinal,IneffectiveFinal,NotEnoughInformationFinal,RandomizationFinal,ExperimentationFinal,InequalityFinal,NoEquipoiseFinal,BadDesignFinal,NoticeFinal,ConsentFinal,TooLongFinal,PickAPolicyFinal,GoodIntentFinal,BadIntentFinal,StatusQuoFinal,PatientConfidenceFinal,CoddledExpertsFinal,WorkHasAlreadyBeenDoneFinal,AgentsAlreadyKnowFinal,AgentsShouldAlreadyKnowFinal,ExpertsAlreadyKnowFinal,ExpertsShouldAlreadyKnowFinal,ParticipantKnowsBestFinal,PatientAlreadyShouldKnowFinal,BenefitSA,BenefitWC,LearningSA,LearningWC,AbsenceHarmSA,AbsenceHarmWC,EqualitySA,EqualityWC,PhysicalRisk/HarmSA,PhysicalRisk/HarmWC,OtherRisk/HarmSA,OtherRisk/HarmWC,IneffectiveSA,IneffectiveWC,NotEnoughInfoSA,NotEnoughInformationWC,RandomizationSA,RandomizationWC,ExperimentationSA,ExperimentationWC,InequalitySA,InequalityWC,NoEquipoiseSA,NoEquipoiseWC,BadDesignSA,BadDesignWC,NoticeSA,NoticeWC,ConsentSA,ConsentWC,TooLongSA,TooLongWC,PickAPolicySA,PickAPolicyWC,GoodIntentSA,GoodIntentWC,BadIntentSA,BadIntentWC,StatusQuoSA,StatusQuoWC,PatientConfidenceSA,PatientConfidenceWC,CoddledExpertsSA,CoddledExpertsWC,WorkHasAlreadyBeenDoneSA,WorkHasAlreadyBeenDoneWC,AgentsAlreadyKnowSA,AgentsAlreadyKnowWC,AgentsShouldAlreadyKnowSA,AgentsShouldAlreadyKnowWC,ExpertsAlreadyKnowSA,ExpertsAlreadyKnowWC,ExpertsShouldAlreadyKnowSA,ExpertsShouldAlreadyKnowWC,ParticipantKnowsBestSA,ParticipantKnowsBestWC,PatientAlreadyShouldKnowSA,PatientAlreadyShouldKnowWC,NecessaryRevealSA,AmbiguousSA,Disagreement
Experiment,3,ManyDomains,abE12,390,DrugTeach,A,Drug A,Policy,xA2,3,217,R_RPJghXjMvNXdbC9,"Without knowing the side effects, I just think the doctor should be looking at those for each patient and then deciding which drug is right based on that.",0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Experiment,3,ManyDomains,abE12,406,DrugTeach,A,Drug A,Policy,xA2,3,187,R_12cmQA4wK3cE7vq,I don't know enough about the situation to make a judgment.,0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,421,DrugTeach,A,Drug A,Policy,xA2,5,329,R_Df9SkwrplP5adQB,From the information provided I feel that both medicines are effective. Dr. Jones wants to provide good treatment and feels that A is best in this case. I have to assume that he has good reasons for this.,0,0,Non-Object,DrugTeach.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,440,DrugTeach,A,Drug A,Policy,xA2,4,136,R_0vS3YEXvEKwKSFX,Dr. Jones hasn't done anything wrong that I have read. It doesn't seem like he based his decision on any unethical premises.,0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,456,DrugTeach,A,Drug A,Policy,xA2,5,143,R_2xAbsDjunmDUbCL,Both drugs were extremely affordable. I did not see why it made a difference.,0,0,Non-Object,DrugTeach.A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,477,DrugTeach,A,Drug A,Policy,xA2,5,201,R_2zFR12iP6WQ2dMf,"In this example, there was no significant difference given between drugs A and B. Both were deemed safe and effective. The doctor was motivated by the needs of his patients and in the interests of maintaining their health. In that case, his judgement to prescribe drug B should be respected.",1,0,Non-Object,DrugTeach.A,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,494,DrugTeach,A,Drug A,Policy,xA2,5,156,R_1fkOvG2gpYagrzK,"Considering the information available to me, I don't see why prescribing drug A would be an issue.",1,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,511,DrugTeach,A,Drug A,Policy,xA2,5,333,R_3JasF46tuYiRz6d,because doctors at the clinic tend to choose either drug a or b. Given the information the drugs are mostly the same.,0,0,Non-Object,DrugTeach.A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,526,DrugTeach,A,Drug A,Policy,xA2,5,267,R_3r1c5n05C0Dm4Mh,"I don't see the particular difference between the two medications. There's a reason a qualified doctor would prescribe one medication over another. They're both the same price and are prescribed for the same reason, so it seems like he chose medication A for a reason.",0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,583,DrugTeach,A,Drug A,Policy,xA2,4,431,R_sRppTe4QvJg9n8J,It was based on my feelings about the situation.The facts also were important.,0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,587,DrugTeach,A,Drug A,Policy,xA2,4,471,R_UxpqlJBXnFaD4A1,"The intention behind the prescription is somewhat clearly mentioned. Drugs A and B seem to have similar properties and are tolerated well, so the question is not of being able to tailor a drug to a person but more about a preference on the doctor's part. This preference now is a bit of a gray area because I would like to know other factors that differentiate the two drugs, such as their price, insurance coverage or other ways in which there could be a conflict of interest on the part of the prescribing authority.",0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,620,DrugTeach,A,Drug A,Policy,xA2,3,259,R_r8QDzjWRbVAnm5r,"As both drugs seem to work well (and are affordable), it isn't morally wrong to begin with drug A to see how it effects the patient--as it can be changed later on if necessary.",1,0,Non-Object,DrugTeach.A,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Experiment,3,ManyDomains,abE12,631,DrugTeach,A,Drug A,Policy,xA2,5,213,R_3MG1lxPqxrQKXDg,I assume Dr. Jones is competent since he is practicing medicine and he is not alone in prescribing drug A.  If drug A side effects can be tolerated and is affordable then my assumption is that it's appropriate.  I would prefer to also know information about the drug's effectiveness.,0,0,Non-Object,DrugTeach.A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,667,DrugTeach,A,Drug A,Policy,xA2,5,482,R_1FwuCsQ2XeYn38O,It sounds like the effects and results gained from either type of medication is fine.  The choice does not seem relevant if the results are nearly identical.,0,0,Non-Object,DrugTeach.A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,684,DrugTeach,A,Drug A,Policy,xA2,3,629,R_tSdnNdMDEBbry0h,"is the personal opinion of the doctor, but both drugs are viable.",0,0,Non-Object,DrugTeach.A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,707,DrugTeach,A,Drug A,Policy,xA2,4,194,R_12lhUnHRfqw28HM,That is that doctors best recommendation and makes it fair that all patients are receiving the same treatment.,1,0,Non-Object,DrugTeach.A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,711,DrugTeach,A,Drug A,Policy,xA2,4,152,R_3KISHcOdZZoLC4A,"There's no basis to judge, because both drugs are good and other doctors prescribe both of them. I think it is reasonable to choose A, although I would have said ""very appropriate"" if there were more certainty that A was a better choice rather than just a fine choice.",1,0,Non-Object,DrugTeach.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,736,DrugTeach,A,Drug A,Policy,xA2,3,263,R_1OjjZpXk8iCHpZz,"Logically speaking, just because Dr. Jones wants to supply his patients with good treatment doesn't mean his decision is appropriate or a good one. He should choose medicine that is shown to cure the issue of high blood pressure as well as the medicine that has the least side effects.",1,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Experiment,3,ManyDomains,abE12,758,DrugTeach,A,Drug A,Policy,xA2,5,157,R_2ZOoA6dySyG4Uci,Both medicines are effective and tolerable.,1,0,Non-Object,DrugTeach.A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,777,DrugTeach,A,Drug A,Policy,xA2,5,240,R_BG6ShNi5X3HRl0l,If both drugs are both effective then he was right in his decision to choose one of those drugs.,0,0,Non-Object,DrugTeach.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,801,DrugTeach,A,Drug A,Policy,xA2,4,345,R_2xY2YneAQFcZG4x,The doctor can choose to do what he feels is best. It is up to the patient to agree or disagree.,0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Experiment,3,ManyDomains,abE12,829,DrugTeach,A,Drug A,Policy,xA2,5,323,R_4IV1cjWrJMY1pTz,because he wants the best choice for the patient,0,0,Non-Object,DrugTeach.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,868,DrugTeach,A,Drug A,Policy,xA2,5,228,R_1nYBtb0aVBDW9Sh,"Dr. Jones is treating the patients with Drug A which is almost exactly the same as B. I think considering the circumstances of the comparison its a smart move for the Dr to only prescribe drug A because it makes it easier to keep up with what his patients are on and what to expect. If drug B was ""better"" i would expect him to prescribe that, but based on the information provided i see no reason why its not appropriate for him to choose Drug A",0,0,Non-Object,DrugTeach.A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
