,ID,Time Started,Time Finished,dv,free_response,condition,raw_condition,polarity,Gender,Race,Age,Education,Income,duration,numerical_dv
25,1617153362,5/2/18 18:04,5/2/18 18:05,Very appropriate,The doctor thinks that treatment A is best even thought they both help the patient with high blood pressure,a,a,reverse,male,prefer_not_to_say,18 - 24,high_school,prefer_not_to_say,69,5
26,1107754860,5/2/18 17:57,5/2/18 17:58,Very appropriate,Because it relates to me,a,a,reverse,female,hispanic,18 - 24,high_school,lower_ii,55,5
27,-1871439069,5/2/18 18:08,5/2/18 18:09,Somewhat appropriate,I think it's ok too a certain degree,a,a,reverse,male,white,45 - 54,vocational_technical_college,lower_ii,16,4
28,-1822245257,5/2/18 18:12,5/2/18 18:13,Very inappropriate,Blood pressure problems have causes that prescription drugs do not solve.,a,a,reverse,male,white,25 - 34,vocational_technical_college,lower_i,55,1
29,824982942,5/2/18 18:00,5/2/18 18:01,Very appropriate,It sounds like a better solution and better way,a,a,reverse,female,white,25 - 34,university,middle_ii,37,5
30,1513773129,5/2/18 18:03,5/2/18 18:03,Very appropriate,Afford and providing patient care.,a,a,reverse,female,white,25 - 34,vocational_technical_college,high_i,16,5
31,1308110099,5/2/18 18:06,5/2/18 18:06,Very appropriate,Awesome,a,a,reverse,male,white,45 - 54,high_school,lower_i,5,5
32,306999074,5/2/18 17:58,5/2/18 17:59,Neither inappropriate nor appropriate,They worked the same.,a,a,reverse,female,prefer_not_to_say,35 - 44,high_school,lower_i,25,3
33,972852246,5/2/18 18:03,5/2/18 18:04,Very appropriate,"Save money buy buying more of type a meds and none of type b.  Also,  would be easier to script out as everyone would be on the same meds.",a,a,reverse,female,white,35 - 44,high_school,middle_i,62,5
34,951234742,5/2/18 18:06,5/2/18 18:06,Very appropriate,Because he relates to the topic at hand,a,a,reverse,male,black,25 - 34,postgraduate,high_i,11,5
35,-1078473952,5/2/18 18:03,5/2/18 18:03,Very appropriate,Because it sounded appropriate,a,a,reverse,female,white,18 - 24,high_school,middle_i,7,5
36,53519964,5/2/18 18:08,5/2/18 18:09,Somewhat appropriate,Unless an allergic reaction occurs option a is totally viable,a,a,reverse,male,white,18 - 24,high_school,middle_i,32,4
37,-134741155,5/2/18 17:58,5/2/18 17:58,Very appropriate,I'm not sure,a,a,reverse,female,white,18 - 24,vocational_technical_college,lower_ii,4,5
38,-232463155,5/2/18 18:01,5/2/18 18:01,Very appropriate,Patient can tolerate it,a,a,reverse,female,white,25 - 34,postgraduate,lower_ii,16,5
39,-802201043,5/2/18 18:06,5/2/18 18:06,Very appropriate,more rolls,a,a,reverse,male,white,25 - 34,high_school,lower_i,16,5
40,1324616633,5/2/18 18:00,5/2/18 18:00,Very appropriate,I just choose it,a,a,reverse,female,multiracial,18 - 24,university,lower_ii,12,5
41,-1907522826,5/2/18 18:14,5/2/18 18:16,Neither inappropriate nor appropriate,It depends on the patient. The doc should tailor the med for each person.,a,a,reverse,male,white,18 - 24,high_school,prefer_not_to_say,140,3
42,805631664,5/2/18 18:15,5/2/18 18:15,Somewhat appropriate,It will benefit many,a,a,reverse,male,other,18 - 24,middle_school,lower_ii,13,4
43,2029168844,5/2/18 18:03,5/2/18 18:04,Neither inappropriate nor appropriate,I depends on all the other things that is wrong and the other meds the person may be on,a,a,reverse,female,white,35 - 44,high_school,lower_i,59,3
44,-488634350,5/2/18 18:01,5/2/18 18:02,Very appropriate,Because it was the right thing to do. Because it was the right thing to do.,a,a,reverse,female,multiracial,25 - 34,high_school,lower_i,38,5
45,-1095107033,5/2/18 18:06,5/2/18 18:07,Very appropriate,Good,a,a,reverse,male,white,35 - 44,high_school,lower_ii,10,5
46,2054775224,5/2/18 18:03,5/2/18 18:04,Somewhat appropriate,The sentence states true I formation and I agree with it based on the Tex and contex it represents,a,a,reverse,female,asian,25 - 34,high_school,prefer_not_to_say,28,4
47,992275562,5/2/18 17:59,5/2/18 18:00,Somewhat appropriate,"He didn’t make a wrong choice. Both drugs are FDA approved, affordable, and have the same range of side effects.",a,a,reverse,female,white,18 - 24,middle_school,high_iii,30,4
48,-1700282598,5/2/18 17:58,5/2/18 18:00,Neither inappropriate nor appropriate,"From the information provided, the drugs sound like the same thing with no difference. It doesn't tell any differences. However, i believe the patients should be able to make the decision which drug they want to take",a,a,reverse,female,white,25 - 34,high_school,high_i,76,3
49,-1157992141,5/2/18 17:59,5/2/18 18:00,Very appropriate,Cuz drug testing should always be an option,a,a,reverse,female,hispanic,25 - 34,high_school,lower_i,18,5
50,-1238699343,5/2/18 18:04,5/2/18 18:04,Somewhat appropriate,It shows that he recommended based on how comfortable he feels with the medication and understands his patients needs.,a,a,reverse,female,black,25 - 34,university,lower_ii,47,4
51,-1307279209,5/2/18 17:58,5/2/18 17:58,Somewhat appropriate,I’m so happy that I am in love,a,a,reverse,female,white,18 - 24,vocational_technical_college,middle_i,16,4
52,-221167448,5/2/18 18:00,5/2/18 18:02,Very appropriate,Both medications work well and the doctor wants what is best for his patients.,a,a,reverse,male,white,35 - 44,high_school,lower_ii,78,5
53,-600036583,5/2/18 18:01,5/2/18 18:02,Somewhat inappropriate,Because of how the clinic is set you he would not always see the same patient and might alter the outcome,a,a,reverse,female,white,35 - 44,university,middle_i,50,2
54,-176722963,5/2/18 18:09,5/2/18 18:09,Somewhat appropriate,Because I felt it was right but wrong at the same time,a,a,reverse,male,white,25 - 34,high_school,middle_i,50,4
55,-753994396,5/2/18 17:59,5/2/18 18:00,Somewhat appropriate,Because I can,a,a,reverse,female,white,25 - 34,university,middle_i,8,4
56,994472986,5/2/18 18:02,5/2/18 18:02,Somewhat appropriate,I agreed with his assessment.,a,a,reverse,male,white,35 - 44,high_school,high_iii,18,4
57,1031712794,5/2/18 18:04,5/2/18 18:05,Very appropriate,Because drug A works. Dr. Jones is properly treating his patients,a,a,reverse,male,hispanic,35 - 44,postgraduate,high_i,63,5
58,1566142475,5/2/18 18:04,5/2/18 18:04,Very appropriate,I dont know,a,a,reverse,female,hispanic,18 - 24,vocational_technical_college,lower_i,13,5
59,-179981911,5/2/18 17:59,5/2/18 17:59,Somewhat appropriate,I think its all abiut the patient ans their ligestyle,a,a,reverse,female,other,25 - 34,high_school,lower_i,19,4
60,-2006048396,5/2/18 18:02,5/2/18 18:03,Very appropriate,Because it’s good to get the drugs,a,a,reverse,female,hispanic,18 - 24,university,lower_i,16,5
61,-947257146,5/2/18 18:12,5/2/18 18:12,Very appropriate,Because people need that,a,a,reverse,male,white,25 - 34,high_school,prefer_not_to_say,6,5
62,-1567479988,5/2/18 18:03,5/2/18 18:04,Somewhat appropriate,"I think if the doctor knows that both are fairly equal, he should be able to chose either. Sometimes, he may need to use the other. Hopefully he is open to that.",a,a,reverse,female,white,25 - 34,university,lower_ii,42,4
63,-635084175,5/2/18 18:04,5/2/18 18:05,Neither inappropriate nor appropriate,Because both options are sufficient,a,a,reverse,female,white,35 - 44,postgraduate,prefer_not_to_say,14,3
64,1053746244,5/2/18 17:58,5/2/18 17:59,Somewhat inappropriate,"while drug A may work for some or a majority, it will not work for every one needing the medication. Drug B may work for the ones that drug A does not work for",a,a,reverse,female,white,25 - 34,university,lower_i,53,2
65,1891396190,5/2/18 18:04,5/2/18 18:05,Very appropriate,I chose that answer because both of the drugs can be used to threat high blood pressure. If the doctor thinks that drug A is better than drug B than that is his choice.,a,a,reverse,male,hispanic,> 54,vocational_technical_college,middle_i,91,5
66,1321561557,5/2/18 18:04,5/2/18 18:05,Neither inappropriate nor appropriate,Cause either medicine will work,a,a,reverse,male,white,18 - 24,high_school,lower_i,25,3
67,1559169628,5/2/18 18:04,5/2/18 18:05,Somewhat appropriate,Both medicines are affordable and they can tolerate the side affects.,a,a,reverse,female,prefer_not_to_say,25 - 34,high_school,prefer_not_to_say,42,4
68,1504788199,5/2/18 18:16,5/2/18 18:17,Very appropriate,"The medication is for high blood pressure, the patients have high blood pressure, so the obvious thing to do is give them that. Of course there is the chance that one is better than the other, but that was never stated.",a,a,reverse,male,hispanic,18 - 24,university,middle_ii,67,5
69,1605408587,5/2/18 18:02,5/2/18 18:03,Very appropriate,"If both options are affordable and give the patient what s/he needs, then the Dr. can decide which he believes will work best for the patient",a,a,reverse,female,white,25 - 34,university,lower_ii,79,5
70,-901176080,5/2/18 18:00,5/2/18 18:01,Somewhat appropriate,If both prescriptions are considerably even then I don’t see why he should have to switch between prescribing both.,a,a,reverse,female,white,25 - 34,vocational_technical_college,lower_ii,28,4
71,-2070730867,5/2/18 18:04,5/2/18 18:04,Somewhat appropriate,Good,a,a,reverse,female,asian,18 - 24,postgraduate,prefer_not_to_say,4,4
72,-15821167,5/2/18 18:12,5/2/18 18:12,Somewhat appropriate,"It is healthy and the effects are similar. He has not done anything wrong. However, he could give them both options.",a,a,reverse,male,white,25 - 34,postgraduate,high_ii,25,4
73,1897191387,5/2/18 18:04,5/2/18 18:05,Somewhat appropriate,"It is a 50/50 choice. Some doctors feel A works, and some feel B works. There was no proof one works better then the other, and if the patient can tolerate it; A is a good choice.",a,a,reverse,female,white,18 - 24,high_school,lower_i,66,4
74,-407430800,5/2/18 18:02,5/2/18 18:03,Somewhat inappropriate,You can't just choose one medicine for all patients..every person is different,a,a,reverse,female,white,25 - 34,high_school,lower_ii,27,2
75,467516434,5/2/18 18:01,5/2/18 18:02,Very appropriate,Because it’s comparable to the other medication and the side effects are tolerable,a,a,reverse,female,hispanic,25 - 34,postgraduate,middle_ii,14,5
76,1850653350,5/2/18 17:58,5/2/18 17:59,Neither inappropriate nor appropriate,Each case is different and should be treated that wayb,a,a,reverse,female,white,35 - 44,high_school,high_iii,21,3
77,1409891910,5/2/18 18:06,5/2/18 18:08,Neither inappropriate nor appropriate,I couldn’t tell the difference between drug A and drug B. There for without more information they are the same to me.,a,a,reverse,male,white,25 - 34,high_school,prefer_not_to_say,89,3
78,1933939760,5/2/18 18:03,5/2/18 18:03,Very appropriate,I didn’t choose it the doctor did,a,a,reverse,female,white,25 - 34,high_school,lower_i,12,5
79,-623590814,5/2/18 18:01,5/2/18 18:03,Somewhat appropriate,Dr. Jones is attempting to help his patients with the best drugs that are available to him at his clinic. He is working with the tools that are at his disposal.,a,a,reverse,male,white,35 - 44,university,lower_ii,92,4
80,-398814815,5/2/18 18:15,5/2/18 18:15,Somewhat inappropriate,its the patients choice,a,a,reverse,male,white,35 - 44,vocational_technical_college,lower_ii,17,2
81,-237810353,5/2/18 17:57,5/2/18 17:57,Neither inappropriate nor appropriate,eh,a,a,reverse,female,white,18 - 24,high_school,lower_ii,7,3
82,1489668794,5/2/18 18:13,5/2/18 18:13,Very appropriate,Both are about the same so it's ok to choose either,a,a,reverse,male,white,> 54,university,high_iii,22,5
83,-1687521192,5/2/18 18:01,5/2/18 18:02,Very appropriate,he is trying to help his pasients so they feel better,a,a,reverse,female,white,> 54,high_school,middle_ii,35,5
84,-602297813,5/2/18 17:59,5/2/18 18:00,Very appropriate,The doctor is allowed to go by their own personal experience as long as he is not being paid by the manufacturer and the drug is safe and effective.,a,a,reverse,male,white,35 - 44,university,middle_ii,54,5
85,-1645966309,5/2/18 18:02,5/2/18 18:02,Very appropriate,its excellent,a,a,reverse,female,hispanic,35 - 44,vocational_technical_college,middle_i,13,5
86,419988776,5/2/18 18:04,5/2/18 18:04,Very appropriate,"Some doctors choose A, others B, so it is appropriate for this doctor to decide on either drug.",a,a,reverse,female,white,> 54,high_school,high_i,34,5
87,307876402,5/2/18 17:59,5/2/18 17:59,Very inappropriate,If this is being done without patients consent this is wrong.  It doesn't sound like an actual study.,a,a,reverse,female,white,> 54,vocational_technical_college,middle_ii,38,1
88,1277142618,5/2/18 18:08,5/2/18 18:09,Very appropriate,"the idea is similiar to what it is now, there is no different.",a,a,reverse,male,black,> 54,high_school,middle_i,38,5
89,-1636960179,5/2/18 18:02,5/2/18 18:02,Very appropriate,very good,a,a,reverse,male,latino,18 - 24,high_school,lower_i,6,5
90,-840054327,5/2/18 18:03,5/2/18 18:03,Very appropriate,Both drugs are approved and acceptable treatments.,a,a,reverse,male,white,35 - 44,high_school,middle_ii,22,5
91,-2116748893,5/2/18 18:11,5/2/18 18:11,Neither inappropriate nor appropriate,Yes,a,a,reverse,male,hispanic,35 - 44,high_school,lower_ii,4,3
92,1926683566,5/2/18 18:12,5/2/18 18:13,Very appropriate,Excited,a,a,reverse,male,white,25 - 34,high_school,high_iii,5,5
93,1577089329,5/2/18 18:02,5/2/18 18:03,Somewhat inappropriate,It doesn't say which drug is better,a,a,reverse,male,white,45 - 54,high_school,middle_ii,39,2
94,606853904,5/2/18 18:00,5/2/18 18:01,Very appropriate,Each doctor has their own opinion on what works better as long as it betters the patient,a,a,reverse,male,white,25 - 34,high_school,lower_ii,58,5
95,-2146019008,5/2/18 18:03,5/2/18 18:04,Somewhat appropriate,Because Dr Jones seems to have a Handel on what he is prescribing and  is the Dr so he knows best on what's to be prescribed,a,a,reverse,male,white,35 - 44,postgraduate,lower_ii,65,4
96,-1359144075,5/2/18 17:58,5/2/18 17:58,Very appropriate,I dont know,a,a,reverse,male,hispanic,18 - 24,high_school,lower_ii,11,5
97,-1747459376,5/2/18 18:16,5/2/18 18:17,Very appropriate,Because my family select,a,a,reverse,male,multiracial,18 - 24,middle_school,lower_i,27,5
98,-962852514,5/2/18 18:16,5/2/18 18:16,Somewhat appropriate,No idea,a,a,reverse,male,prefer_not_to_say,25 - 34,vocational_technical_college,lower_i,27,4
99,314377472,5/2/18 18:12,5/2/18 18:12,Very appropriate,Idk,a,a,reverse,male,white,35 - 44,high_school,middle_i,5,5
100,1526213073,5/2/18 18:03,5/2/18 18:04,Very appropriate,As long as they work and can be afforded  then why not,a,a,reverse,female,other,35 - 44,university,middle_i,32,5
101,1391842474,5/2/18 18:00,5/2/18 18:00,Very appropriate,Unknown,a,a,reverse,female,white,25 - 34,high_school,lower_i,13,5
102,422403831,5/2/18 18:01,5/2/18 18:02,Somewhat appropriate,"Because both medications provide assistance to control high blood pressure, the side effects are equal on both rx A and rx B. And both are affordable for the patient",a,a,reverse,female,white,35 - 44,vocational_technical_college,prefer_not_to_say,75,4
103,440784167,5/2/18 18:03,5/2/18 18:04,Somewhat appropriate,Because it will make them feel better,a,a,reverse,female,white,25 - 34,university,lower_i,32,4
104,280662236,5/2/18 17:59,5/2/18 18:01,Somewhat appropriate,If both are affordable and little side affects it would be hard to choose.  Especially if they are similar I guess just picking one is your only option,a,a,reverse,female,white,25 - 34,vocational_technical_college,lower_ii,103,4
105,-668698344,5/2/18 18:00,5/2/18 18:00,Very appropriate,Good,a,a,reverse,female,white,35 - 44,middle_school,prefer_not_to_say,5,5
106,1076775513,5/2/18 18:03,5/2/18 18:03,Very appropriate,Very good,a,a,reverse,male,white,35 - 44,vocational_technical_college,lower_i,17,5
107,231240008,5/2/18 17:59,5/2/18 17:59,Neither inappropriate nor appropriate,Both of the drugs are affordable and treat the same thing.,a,a,reverse,female,white,25 - 34,middle_school,prefer_not_to_say,46,3
108,167885860,5/2/18 18:05,5/2/18 18:05,Very appropriate,Field correct,a,a,reverse,male,other,45 - 54,high_school,lower_i,16,5
109,1120063213,5/2/18 18:00,5/2/18 18:01,Very appropriate,I think that this is the best for me,a,a,reverse,male,black,18 - 24,university,lower_i,67,5
110,-1916022235,5/2/18 17:59,5/2/18 18:00,Neither inappropriate nor appropriate,It says both a and b are pretty much the same.,a,a,reverse,female,white,18 - 24,high_school,lower_ii,24,3
111,1722102820,5/2/18 18:01,5/2/18 18:02,Somewhat appropriate,I'm not sure,a,a,reverse,female,white,> 54,high_school,lower_i,19,4
112,345225983,5/2/18 18:16,5/2/18 18:17,Very appropriate,It's an approved acceptable affordable medication,a,a,reverse,male,hispanic,35 - 44,postgraduate,high_i,29,5
113,-2061624729,5/2/18 17:59,5/2/18 18:00,Very appropriate,He gave him medicine for high blood pressure,a,a,reverse,female,hispanic,45 - 54,vocational_technical_college,lower_i,29,5
114,592246531,5/2/18 18:09,5/2/18 18:10,Somewhat inappropriate,Every person is different therefore everyone needs to be medicated differently,a,a,reverse,male,white,> 54,high_school,lower_i,43,2
115,2101160880,5/2/18 18:01,5/2/18 18:01,Somewhat appropriate,"He should base which medicine on the patient,  not a general decision",a,a,reverse,female,white,35 - 44,high_school,lower_i,34,4
116,226871867,5/2/18 18:05,5/2/18 18:05,Very appropriate,Seems like the right drug,a,a,reverse,male,hispanic,45 - 54,high_school,high_i,18,5
117,2042342635,5/2/18 18:12,5/2/18 18:12,Very appropriate,They both require the drug for hbp,a,a,reverse,male,white,35 - 44,vocational_technical_college,lower_i,29,5
118,-651645327,5/2/18 18:10,5/2/18 18:11,Very appropriate,Because is the right decision,a,a,reverse,male,hispanic,45 - 54,vocational_technical_college,lower_i,18,5
119,1936327575,5/2/18 18:00,5/2/18 18:03,Very appropriate,Dr.jones chose to give his patients drug A for there blood pressure which is the better decision i think thst he is choosing whsts best for the patients an not whst drug will bring in the most money.,a,a,reverse,female,white,35 - 44,vocational_technical_college,lower_ii,155,5
0,-2010188236,5/2/18 18:01,5/2/18 18:01,Very appropriate,Because he now can see which works better,ab,ab,reverse,female,white,25 - 34,vocational_technical_college,middle_ii,39,5
1,-634163452,5/2/18 18:05,5/2/18 18:06,Neither inappropriate nor appropriate,I don't c what would b good or bad about it,ab,ab,reverse,female,white,18 - 24,high_school,middle_i,65,3
2,1341431117,5/2/18 18:04,5/2/18 18:05,Somewhat appropriate,I wasn’t too sure,ab,ab,reverse,female,hispanic,35 - 44,university,high_i,32,4
3,871592601,5/2/18 17:58,5/2/18 17:58,Very appropriate,Best logical one,ab,ab,reverse,female,hispanic,35 - 44,high_school,lower_i,14,5
4,643204128,5/2/18 18:11,5/2/18 18:12,Somewhat appropriate,Seems like th docter is intellegent to make a decision like that. Had research to back up his opinion.,ab,ab,reverse,male,white,25 - 34,vocational_technical_college,lower_ii,62,4
5,1427385519,5/2/18 18:06,5/2/18 18:06,Very appropriate,Because both medicines work and are affordable.,ab,ab,reverse,male,white,25 - 34,high_school,lower_i,24,5
6,-1111454183,5/2/18 18:05,5/2/18 18:06,Somewhat appropriate,The choice factor and the believe,ab,ab,reverse,male,black,25 - 34,university,lower_ii,15,4
7,1987597678,5/2/18 18:02,5/2/18 18:03,Neither inappropriate nor appropriate,Cause it's good choose so his decision,ab,ab,reverse,female,white,25 - 34,high_school,middle_i,17,3
8,1298612663,5/2/18 18:17,5/2/18 18:18,Somewhat inappropriate,He using people as an experiment. We are not lab rats.,ab,ab,reverse,male,black,35 - 44,high_school,lower_i,69,2
9,1553078022,5/2/18 18:14,5/2/18 18:15,Somewhat appropriate,I feel like they're should be more information as to the side effects of each drug to the better outcome. The side effects could be far worse than the better improvements.,ab,ab,reverse,male,white,25 - 34,vocational_technical_college,lower_ii,96,4
10,-1713931072,5/2/18 18:05,5/2/18 18:06,Somewhat appropriate,They have to figure out a way to test to see which drug works best . so I guess that was a good way to test it.,ab,ab,reverse,female,white,> 54,high_school,lower_ii,63,4
11,-2116943267,5/2/18 17:58,5/2/18 17:58,Somewhat appropriate,Because when you use drugs for medicinal treatment has to be a good choice.,ab,ab,reverse,female,hispanic,35 - 44,vocational_technical_college,lower_i,33,4
12,-1907589587,5/2/18 17:59,5/2/18 18:00,Somewhat appropriate,Testing is a good way to discover the best treatment.,ab,ab,reverse,male,white,> 54,postgraduate,lower_i,33,4
13,1173291020,5/2/18 18:02,5/2/18 18:02,Very appropriate,Because he will prescribe whichever has the least side effects,ab,ab,reverse,female,white,25 - 34,vocational_technical_college,lower_ii,24,5
14,1493700991,5/2/18 18:02,5/2/18 18:02,Neither inappropriate nor appropriate,Not sure,ab,ab,reverse,male,white,35 - 44,high_school,lower_i,41,3
15,-1166566914,5/2/18 18:05,5/2/18 18:06,Neither inappropriate nor appropriate,The doctor is taking risks with other people's health issues. If they are willing to try it i don't see why not.,ab,ab,reverse,female,white,25 - 34,high_school,lower_ii,78,3
16,360017147,5/2/18 18:05,5/2/18 18:05,Somewhat appropriate,I don't know sorry,ab,ab,reverse,male,prefer_not_to_say,25 - 34,high_school,lower_i,13,4
17,1960477299,5/2/18 18:05,5/2/18 18:05,Very inappropriate,He is essentially running an experiment without anyone's consent.,ab,ab,reverse,female,white,25 - 34,high_school,lower_i,25,1
18,-6040586,5/2/18 18:02,5/2/18 18:03,Very appropriate,Because it is the best way to find out which is the best option.,ab,ab,reverse,female,white,25 - 34,vocational_technical_college,lower_i,33,5
19,1895456558,5/2/18 17:58,5/2/18 17:59,Neither inappropriate nor appropriate,I have no idea,ab,ab,reverse,female,white,25 - 34,high_school,lower_i,14,3
20,-1322800655,5/2/18 18:04,5/2/18 18:05,Somewhat inappropriate,A walk in clinic is not an appropriate place to perform medical testing. There are too many variables that could influence the test results.,ab,ab,reverse,female,white,25 - 34,university,lower_ii,73,2
21,1529158098,5/2/18 18:01,5/2/18 18:01,Neither inappropriate nor appropriate,I have no idea,ab,ab,reverse,male,white,25 - 34,high_school,lower_i,17,3
22,-196642661,5/2/18 18:13,5/2/18 18:13,Somewhat appropriate,It's good for new things,ab,ab,reverse,male,asian,25 - 34,high_school,lower_ii,16,4
23,1334682932,5/2/18 18:05,5/2/18 18:06,Very appropriate,He's choosing the drug with the best outcome instead of just taking a kickback from the highest bidder.,ab,ab,reverse,male,white,25 - 34,high_school,lower_ii,58,5
24,-2120615814,5/2/18 18:06,5/2/18 18:06,Very appropriate,They should prescribe the medicine that works best of both price points are the same,ab,ab,reverse,female,multiracial,25 - 34,high_school,middle_i,0,5
25,-718270883,5/2/18 18:02,5/2/18 18:02,Neither inappropriate nor appropriate,No clue.. it seems fair,ab,ab,reverse,male,white,25 - 34,high_school,lower_ii,12,3
26,642278007,5/2/18 18:11,5/2/18 18:12,Very appropriate,The healthiest option is good,ab,ab,reverse,male,other,45 - 54,high_school,lower_ii,44,5
27,2030267479,5/2/18 18:05,5/2/18 18:06,Very appropriate,Because they both have the same effects and side effects then I think this is a great way to see which is a better medication.,ab,ab,reverse,female,white,35 - 44,university,middle_ii,36,5
28,217121860,5/2/18 18:03,5/2/18 18:04,Somewhat inappropriate,I think he should offered both to the patients and let them decide,ab,ab,reverse,female,white,25 - 34,university,middle_i,15,2
29,-2111116106,5/2/18 18:06,5/2/18 18:06,Very appropriate,Nice,ab,ab,reverse,female,white,18 - 24,high_school,lower_ii,5,5
30,-2053768439,5/2/18 18:02,5/2/18 18:03,Somewhat appropriate,Ok,ab,ab,reverse,male,black,18 - 24,high_school,prefer_not_to_say,4,4
31,1945332417,5/2/18 18:01,5/2/18 18:01,Neither inappropriate nor appropriate,Experimental,ab,ab,reverse,male,white,25 - 34,university,middle_i,6,3
32,-1782263080,5/2/18 18:05,5/2/18 18:05,Very appropriate,Great,ab,ab,reverse,female,asian,25 - 34,university,prefer_not_to_say,4,5
33,138856195,5/2/18 18:04,5/2/18 18:04,Somewhat appropriate,I'm torn. He shouldn't be experimenting on people but it could have good outcomes in a year for new patients.,ab,ab,reverse,female,white,18 - 24,high_school,middle_i,36,4
