StudyType,ExperimentCode_MS,StudyDescription,R File,pid,Scenario,genericCond,scenarioCond,policyOrAB,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,RandomizationAnswer,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore,IntuitionScore_ByHand,ScienceLitScore,Compensation,Everything after this column is unique to each experiment and was subjectively coded,RepeatTurkerLabelCode,MarkedForExclusion,whoMarked,Ineffective,Evidence,Intent,Consent,No Harm,Harm,Benefit,ExperimentRandom,,NegEquality,PosEquality,SQ,Action,help,exp,repeat_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrder_pollfish,Benefit,Learning,AbsenceofHarm,PosEquality,MedRiskHarm,OtherRiskHarm,Ineffective,Random,Experiment,NegEquality,Notice,Consent,Act,BestJudgment,GoodIntent,BadIntent,SQ,Misunderstand,IrrelUnclearOther,ORIGINAL God,ORIGINAL Intuition,ORIGINALScienceBelief,ORIGINALScienceBelief_Reverse,ORIGINAL Intuition  scale,Notes: intution questions coded opposite in this study.,,
Experiment,,AV + GT,abE9,15,Autonomous Vehicles,A,Lever,Policy,xA2,AV.lever,3,0,i do not care about the scenario,192,R_117rm1cTcgO1POX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,343,Autonomous Vehicles,A,Lever,Policy,xA2,AV.lever,5,0,I think this is a good idea until more testing can come out proving it to be reliable. This should make it more safe putting control in the hands of a human if need be.,451,R_2aauQ5ZQQOKX4nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,381,Autonomous Vehicles,A,Lever,Policy,xA2,AV.lever,3,0,It seems like a good idea but has it's problems as well,714,R_1Kf09AdUR168c94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,411,Autonomous Vehicles,A,Lever,Policy,xA2,AV.lever,4,0,"if there is a certain traffic flow that self driving cars work with, it might mess up the flow and cause more accidents. i think it is approriate to have it now when the tech is still new and needing of improvement. but maybe later might change the tune",227,R_3Ehgft1FSeQWZmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,461,Autonomous Vehicles,A,Lever,Policy,xA2,AV.lever,4,0,I think that people should have the.choice.i.know that I would not feel safe.in a self.sriving car,119,R_2rT6YJgh3fkeepA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,681,Autonomous Vehicles,A,Lever,Policy,xA2,AV.lever,2,1,no,71,R_2ye06hNUCho89oe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,6,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,I thought that although the better choice is obvious the test is fair,157,R_tJz4OAp9FGVhbHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,27,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,"People should get the use which option they would want, not a CEO picking.",153,R_3fT5ADqWZboJ1Ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,38,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,1,1,"It is extremely inappropriate to TEST a vehicle or any other major tool by passing it out to consumers before knowing WHICH WILL LEAD TO THE LEAST ACCIDENTS.  These are supposed ""Self-Driving"" vehicles.  So, test them on test tracks, remotely, without people inside first.  This is ridiculous that a question like this even has to be asked.",331,R_O1I11StsWOQkVDr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,50,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"The problem with running this kind of experiment is it could be dangerous. The trial may determine which system is safer, but in the process, accidents could happen.",224,R_1oipviM4TS0HyZn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,61,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"while appropriate, I don't like the idea of self driving cars",249,R_NVCxRnEmHjwi95D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,67,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,it is not professional,120,R_0iDqD74vHkhNRWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,69,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"Having a driving input override the automation seems to be the mos reasonable, but problems have also occurred when there is no  blatently obvious visual indication of what mode a vehicle is in.",318,R_3hhXlEHqnfDGZXq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,74,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,I think humans should be able to take control when they think it is necessary. He is going to use the one that has the least amount of accidents.,350,R_2QPZklbfYAljqJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,91,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,"I don't believe safety for these vehicles as reached this level of confidence. However, if legally approved, though I have reservations, the CEO's decision is not out of line.",347,R_2WzZVHj4GgNdo29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,103,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"I would not ride in a car where a human being did not have the option of taking control. The two test models sound like a pretty good idea to me, although I think our experience with cruise control would point to the revert control upon braking or utilizing any other control (steering wheel, etc).",317,R_NUrmrHI9J0dR7u9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,104,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,"As long as the safety measures are in place, it will help the CEO make a sound decision on which feature performs the best, and which feature drivers will prefer over the other.",206,R_RbhZ6qk8x0eMiTn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,119,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,I feel that this decision would help the CEO create an effective car that is self driving but still under human control. The two different modes will help the CEO improve the quality of the cars while making them safe.,421,R_UorWEm5e6wjDyhP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,135,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,3,0,i think that both of the options are similar because each one has inputs from the driver of the vehicle to override the self driving mode.,197,R_1dLwFDXwHQLOqd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,143,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,I like that the CEO is open to different safety override options.  This shows that he is genuinely concerned an want the best and safest possible product.,343,R_27yAumS9lfiXRaO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,144,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,1,1,you don't do live testing on your customers. Certainly not live testing with safety ramifications.,172,R_3kMIBLJbTX3nRqW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,146,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,The CEO just wants to keep people safe - I think that's all they are trying to accomplish. Whatever design works and is designed the most safe should be implemented.,518,R_3j0B6qtHJPq5jqh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,147,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,3,0,"A decision should be made either way and I am not sure of the best method. The CEO's method is ok, but it might be an anomaly that led to fewer accidents. On the other hand, I can't think of a better way even though I believe one should exist.",316,R_2xz8XVRfoUQEvkw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,170,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"Well, I'm not sure if that is the best, or safest, way to determine which option is safer. On the other hand, any types of experiments or trials they might run could not entirely account for all real-life situations and possible outcomes, so I think it seems *probably* appropriate to try this method out for determining which is the best way. Probably the main downside would be that consumers would prefer one way over the other, and would not like to have their vehicle randomly assigned this way.",327,R_1DVdFf0fGyOMBSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,175,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,"It shouldn't be random on the cars they sell. They should do a test using volunteers and not charge for the car, not customers that have to buy their car.",489,R_3mdBPl0hLJyblDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,177,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,1,1,Because the CEO is directly using their customers as test subjects. The experiment they're trying to do would risk the safety and well being of their customers.,339,R_3JeXeK1dgRDdsd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,183,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,he wants to test whatever way consumers find easiest to switch to manual control. I have no problem with the two tests.,175,R_3n2ZdZxTvtF2hoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,188,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,1,1,"Judging the validity of consumer product based on how many accidents can occur is totally reprehensible. Self driving cars, in my opinion, will just be another step backwards for humanity in the quest for technology.",334,R_7Prd6V88qMkXk0p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,195,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,I think he did his diligence in trying to get to the right place. I like this.,65,R_3ergyhWur6TAtdQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,200,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"The CEO wants to build the safest cars and has built two versions that are mostly safe. Accidents happen, that's unavoidable, but he/she wants to figure out which ones lead to less accidents.",361,R_br2URsfzUqh60xP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,218,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"It seems like a great way to test the functionality and which people may use more/less; however, muscle memory will also make people go for the brakes, steering wheel, etc, over a lever initially.",251,R_s5zUdBDR6TUqf17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,229,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,I chose this because he is running a test with people's lives. It would be more appropriate to try and do this in a lab setting where people won't be actually killed.,112,R_32WTJA0dFSuTfSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,238,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,Using people in a test this way does not seem fair.  Even if you got to choose which car you wanted of the 2 choices it still seems unethical to run trials with actual people.  Even though they have the option to let the car drive itself I think this experiment is dangerous.,326,R_02l1Q9wCxdeSYLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,241,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,I think the company should figure out which one is safer before selling any cars. They should be as safe as possible before they're on the market.,224,R_31bjMWUDVCV6Hyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,251,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,It seems like a logical thing to do. He'll learn a lot.,184,R_Q5qQbYxfyIVFWaR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,265,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"He is giving choices to consumers. On the other hand, waiting to see how many accidents there are is wrong.",169,R_Qb1Vq3wDleg7LnX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,287,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,2,1,"I think it is appropriate because it gives the car more self-driving ability but still ultimately leaves the humans in control.  I think the second option is better because your reactions are human controlled. If you need to do something in a split second, the first option doesn't give that ability since you need to switch back into human-driving mode.",246,R_1Lv64nrKlG4WWrr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
