pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatTurkerLabelCode,MarkedForExclusion
331,xA,badge,5,0,So that all doctors who are going to perform this procedure will not forget the safety precautions.,0:03,6297357836,5,2,3,3,2,0,4,0,40,1,4,1,6,1,10,0,0
337,xA,badge,5,0,I think it is very appropriate because it will remind the doctor's of the procedures especially for person reference and also to show potential patients.,0:04,6297372448,5,4,4,2,1,1,1,0,36,1,4,1,4,1,11,0,0
338,xA,badge,3,0,it doesnt hurt to have daily reminders.,0:02,6297372646,4,3,3,3,2,0,3,1,63,1,3,0,5,1,10,0,0
343,xA,badge,5,0,i love all the precautions to make it safe ,0:02,6297399349,4,1,5,1,1,1,2,0,30,0,3,0,2,0,6,0,0
349,xA,badge,4,0,it will be a good way to make sure dr are aware,0:02,6297420676,4,3,5,1,2,0,2,0,28,0,3,0,3,0,8,0,0
351,xA,badge,5,0,To better inform the doctor is really good ,0:07,6297421194,3,3,3,3,2,0,1,0,21,0,3,0,1,0,9,0,0
368,xA,badge,5,0,A reminder can't hurt and in this case would only help.  It's on the back so it's not so intruisive.,0:02,6297484456,5,5,4,2,2,0,3,1,56,1,4,1,4,1,12,0,0
369,xA,badge,3,0,"It is a good way to help doctors follow safe protocols, but it does not instill patient confidence.",0:02,6297485664,1,1,5,1,2,0,3,1,38,1,6,1,6,1,3,0,0
374,xA,badge,4,0,"The doctors should know the protocol and the safety precautions.  The list is a good idea at the beginning, but they should be required to memorize it.",0:03,6297514751,5,4,4,2,2,0,3,1,21,0,3,0,2,0,11,0,0
388,xA,badge,5,0,This can be referred to in the heat of the moment if an emergency arises. ,0:02,6297584897,3,2,5,1,1,1,3,1,43,1,5,1,2,0,6,0,0
393,xA,badge,5,0,"Checklists save lives... It is easy to overlook things in the medical field, this makes them aware of the most important points!",0:02,6297619082,2,3,5,1,1,1,3,1,41,1,3,0,1,0,6,0,0
411,xA,badge,5,0,It is always helpful to have directions ready to remind people how to properly do something. I think this is very appropriate because it will help doctors carry out their job better and it will help patients identify if a doctor is certified or not.,0:02,6297683884,2,1,5,1,2,0,"2,3",0,22,0,3,0,1,0,4,0,0
412,xA,badge,3,0,Normal,0:01,6297685720,3,3,3,3,2,0,4,0,35,1,3,0,1,0,9,0,0
1,xB,poster,4,0,He has the right to share this infomation with all patients. They have the right to know.,0:02,6297084258,1,1,5,1,2,0,3,1,32,0,4,1,1,0,3,0,0
2,xB,poster,5,0,It reminds those in the room about the procedures at all times.,0:01,6297084303,4,2,4,2,1,1,3,1,32,0,2,0,3,0,8,0,0
10,xB,poster,4,0,This will allow the patient to follow along and doublecheck the professional,0:02,6297085443,1,1,5,1,1,1,4,0,52,1,3,0,1,0,3,0,0
12,xB,poster,4,0,It's okay to post information about this procedure in a disclosed location that would only be accessible to candidates requiring this type procedure. This gives the patient time to read over while sitting in those rooms and have questions to ask the doctor when they come in.,0:10,6297085880,5,4,1,5,2,0,1,0,39,1,4,1,2,0,14,0,0
18,xB,poster,4,0,"Patients should know the risk of the procedure before getting it done. Although it might scare some patients, it is necessary. ",0:01,6297086527,1,1,5,1,1,1,3,1,30,0,3,0,5,1,3,0,1
19,xB,poster,5,0,It makes sense to have reminders and to allow patients to see the correct procedures so they can tell if they're not followed.,0:01,6297086594,1,1,4,2,1,1,3,1,46,1,4,1,1,0,4,0,1
20,xB,poster,4,0,Safety is important,0:00,6297086682,2,3,3,3,1,1,3,1,26,0,4,1,4,1,8,0,1
21,xB,poster,5,0,"I chose this because this promotes safety for everyone. If everyone adheres to the standards, it will reduce the risk of infection. This is a great thing to strive for and I agree with the director.",0:06,6297086706,3,2,4,2,1,1,4,0,30,0,3,0,3,0,7,0,0
25,xB,poster,4,0,"I feel like decision is a good one to serve as a reminder for medical professionals, but I also feel it may be scary to some patients and cause them to think that the doctors and nurses don't know what they're doing.",0:01,6297087455,2,2,4,2,2,0,3,1,22,0,4,1,1,0,6,0,0
30,xB,poster,5,0,It is very appropriate in that it could help reduce infections. It also serves as a great reminder for practices that should be taken to reduce infections.,0:02,6297088074,3,5,3,3,1,1,3,1,28,0,3,0,3,0,11,0,0
32,xB,poster,5,0,Medical professionals often get complacent when it comes to sterile technique.  It's good to post reminders of the hazards pts face when proper sterile technique is not used.,0:01,6297088597,4,3,4,2,1,1,3,1,32,0,4,1,3,0,9,0,0
33,xB,poster,4,0,It will lead to less infections if the doctors and nurses are always reminded of the precautions they should take.  It will also allow the patient to know that everything is being done to reduce their risks for infection.,0:02,6297088777,1,1,5,1,2,0,3,1,42,1,2,0,2,0,3,0,0
35,xB,poster,5,0,"If it helps reduce infections, then the posters should be hung up. Employees should have to follow standard protocol when performing this procedure.",0:05,6297089279,5,5,4,2,2,0,3,1,37,1,3,0,1,0,12,0,0
36,xB,poster,5,0,It helps reduce the infection. It is moral,0:02,6297089454,2,3,3,3,2,0,3,1,37,1,3,0,4,1,8,0,0
38,xB,poster,5,0,Giving people a chance to read what may happen can deter them from costly mistakes.,0:02,6297089525,3,3,4,2,1,1,1,0,38,1,3,0,2,0,8,0,0
43,xB,poster,5,0,i think it keeps patience informed,0:02,6297090136,5,2,3,3,2,0,3,1,44,1,2,0,4,1,10,0,0
49,xB,poster,3,0,Idk,0:01,6297092291,4,3,3,3,1,1,1,0,23,0,3,0,3,0,10,0,0
53,xB,poster,3,0,it seemed the most reasonable,0:01,6297093305,3,3,3,3,2,0,3,1,26,0,3,0,3,0,9,0,0
58,xB,poster,5,0,it will allow people to see the dangers,0:07,6297094112,5,5,5,1,1,1,2,0,27,0,4,1,5,1,11,0,0
68,xB,poster,4,0,It is appropriate so patients can see the risks and the medical professionals can be constantly reminded to be careful.,0:01,6297096338,1,1,5,1,1,1,3,1,28,0,4,1,2,0,3,0,0
69,xB,poster,5,0,"If he is being honest about the procedures, then it is worth hanging a poster.",0:02,6297096456,1,1,5,1,2,0,3,1,31,0,3,0,1,0,3,0,0
70,xB,poster,2,1,IT MAY MAKE PATIENTS NERVOUS,0:01,6297096511,3,3,4,2,2,0,3,1,37,1,3,0,4,1,8,0,0
72,xB,poster,5,0,It seems like common sense and a standard procedure. It would be surprising that such a notice would not already have been posted.,0:02,6297097289,1,1,4,2,1,1,3,1,27,0,2,0,2,0,4,0,0
73,xB,poster,5,0,Drs are not perfect having a visible list will help them not skip steps.  Espically becuse if they do the patient will ask why did you not do that like the poster says.  The drs will be annoyed by this I am sure.,0:02,6297097390,5,2,4,2,1,1,3,1,40,1,6,1,2,0,9,0,0
75,xB,poster,5,0,"Since it is a safety precaution, it is very appropriate for this to happen. It can be a liability if an infection occurs due to a mistake during this procedure but this will reduce taht chance.",0:02,6297097749,1,1,5,1,2,0,3,1,22,0,2,0,2,0,3,0,0
78,xB,poster,5,0,This is a good way to reeducate staff on safety issues,0:02,6297097925,2,2,5,1,2,0,3,1,29,0,6,1,4,1,5,0,1
81,xB,poster,5,0,This is a good idea. That in which can stop infections,0:05,6297098201,4,4,4,2,2,0,3,1,59,1,4,1,4,1,10,0,0
84,xB,poster,4,0,other than verbally telling each patient this seems like a reasonable way to communicate necessary information,0:01,6297098867,3,2,4,2,1,1,3,1,27,0,4,1,3,0,7,0,1
87,xB,poster,5,0,This poster will help staff make sure that they're following all of the necessary steps to ensure a clean catheterization.,0:02,6297100231,4,1,5,1,1,1,3,1,31,0,6,1,5,1,6,0,0
88,xB,poster,4,0,Because it's always good for the person performing the procedure to be reminded of safety policies.,0:02,6297100338,2,3,4,2,2,0,"1,3",0,28,0,3,0,2,0,7,0,0
89,xB,poster,5,0,I'd rather every precaution to be taken seriously about my health.,0:02,6297101036,3,3,4,2,2,0,3,1,29,0,2,0,3,0,8,0,0
90,xB,poster,5,0,This is a typical method to raise awareness and remind people of best practices.,0:01,6297101413,3,2,4,2,1,1,3,1,39,1,2,0,1,0,7,0,0
91,xB,poster,5,0,saves from infection,0:01,6297101468,3,1,4,2,1,1,3,1,33,0,4,1,3,0,6,0,0
97,xB,poster,3,0,I do not have the ability to decide. i can see both sides.,0:02,6297103571,3,3,3,3,2,0,3,1,26,0,3,0,3,0,9,0,0
98,xB,poster,3,0,I cant decide either way. it is hard.,0:02,6297103585,3,3,3,3,1,1,3,1,26,0,2,0,3,0,9,0,0
99,xB,poster,5,0,"I chose this option because the doctor is trying to save lives and keep infections from happening. So, I feel that it was necessary for him to place the posters in all the rooms for the procedure so that the patients could understand better of how it will work and the doctor and the patient can be on the same page of safety measures.",0:03,6297104086,3,2,5,1,2,0,3,1,31,0,3,0,3,0,6,0,0
101,xB,poster,4,0,The medical staff and the patients will see this and understand the risk.,0:02,6297104236,5,5,4,2,2,0,3,1,44,1,3,0,3,0,12,0,0
105,xB,poster,5,0,It not only provides a reminder to the health care professional it also gives information to the patient who can also point out the requirements for their own safety.,0:02,6297104943,1,2,5,1,1,1,3,1,55,1,4,1,6,1,4,0,0
106,xB,poster,5,0,It serves as a good reminder for patients and health care staff without being intrusive. He may need additional education though,0:02,6297105654,5,5,4,2,2,0,3,1,26,0,3,0,2,0,12,0,0
107,xB,poster,4,0,protocol reminders are never bad,0:02,6297105706,3,2,4,2,2,0,3,1,46,1,3,0,1,0,7,0,0
108,xB,poster,5,0,It is very important because it serves as a reminder for the doctors. It also lets patients know what the safety procedures are and lets them see that they are being treated in the right way.,0:03,6297105787,5,3,4,2,2,0,3,1,29,0,3,0,4,1,10,0,1
111,xB,poster,5,0,I think it might help remind the staff on proper safety procedure. I think there is nothing wrong with doing this.,0:03,6297106497,3,1,5,1,1,1,4,0,27,0,3,0,3,0,5,0,1
119,xB,poster,5,0,It is a good idea to post such a large and visible reminder of something important. If should help remind people to put safety first.,0:03,6297109936,1,1,5,1,2,0,3,1,36,1,4,1,2,0,3,0,0
120,xB,poster,4,0,"It gives the information to the patient of the risks.With this information, the patient can ask any questions he or she may have to the doctor.",0:01,6297110003,3,2,3,3,2,0,3,1,23,0,4,1,2,0,8,0,0
127,xB,poster,5,0,"Even if doctors and nurses know the proper safety precautions, they can get lazy or forget so a reminder is good. It's also good for patients to know whet precautions the staff should be taking so if they notice any mistakes they bring them to attention before the procedure.",0:03,6297113320,3,3,3,3,2,0,3,1,31,0,4,1,1,0,9,0,0
133,xB,poster,3,0,I wasn't really sure,0:00,6297114341,1,1,5,1,1,1,3,1,26,0,3,0,3,0,3,0,0
135,xB,poster,5,0,I think it's appropriate to make people aware of safety precautions.,0:01,6297115429,5,2,3,3,1,1,3,1,23,0,4,1,3,0,10,0,0
140,xB,poster,4,0,I think people need to be fully aware. Too many people are uninformed about the risks of medical procedures.,0:02,6297116707,3,2,4,2,2,0,3,1,51,1,5,1,5,1,7,0,0
148,xB,poster,5,0,I chose this option because it seems like a good idea to set a reminder in order to reduce infections,0:03,6297118662,4,1,4,2,1,1,2,0,33,0,3,0,2,0,7,0,0
155,xB,poster,2,1,The doctors and nurses are very well trained and is do not think they need to be reminded.,0:03,6297122262,5,4,5,1,2,0,1,0,41,1,2,0,2,0,10,0,0
164,xB,poster,5,0,I see nothing wrong with hanging safety procedure posters.,0:06,6297125806,1,1,5,1,1,1,3,1,35,1,4,1,4,1,3,0,0
167,xB,poster,5,0,its good to have to informatin easily accessable ,0:01,6297126225,3,2,2,4,1,1,3,1,31,0,4,1,2,0,9,0,0
170,xB,poster,5,0,"There are few, if any, possible negative outcomes from this decision, and it may reduce the risk of infections if employees are reminded of the precautions.",0:02,6297127102,1,1,5,1,1,1,3,1,35,1,4,1,2,0,3,0,0
176,xB,poster,5,0,he is being transparent,0:03,6297128899,3,3,3,3,2,0,4,0,25,0,6,1,6,1,9,0,0
178,xB,poster,4,0,it's good because people can know what theyre getting into,0:01,6297130223,4,2,5,1,2,0,3,1,24,0,4,1,4,1,7,0,0
185,xB,poster,5,0,I think it will serve as a reminder to follow all of the safety precautions.,0:02,6297133740,4,3,4,2,2,0,3,1,29,0,3,0,2,0,9,0,0
197,xB,poster,4,0,It seems like it would be a good idea. A patient that knows what they are going to go through will be more calm and feel better about the procedure.,0:02,6297139109,3,3,5,1,1,1,3,1,29,0,3,0,4,1,7,0,0
200,xB,poster,5,0,It's good information for the patients to know. ,0:02,6297142287,3,1,5,1,1,1,3,1,32,0,6,1,6,1,5,0,0
202,xB,poster,5,0,A patient deserves to know the risks involved with this procedure. Safety precautions will ensure less infections.,0:03,6297143189,3,3,3,3,2,0,3,1,46,1,3,0,3,0,9,0,0
212,xB,poster,5,0,It protects the doctor and patient,0:03,6297149301,5,5,2,4,2,0,3,1,49,1,2,0,2,0,14,0,0
213,xB,poster,3,0,need be,0:01,6297149354,4,3,4,2,2,0,1,0,21,0,3,0,1,0,9,0,0
232,xB,poster,5,0,It is important to show patients that these posters are to help medical staff operate efficiently when taking care of them.,0:02,6297168324,1,2,5,1,1,1,"2,3",0,21,0,3,0,3,0,4,0,0
233,xB,poster,2,1,This might scare patients and make them think that the medical staff is incompetent. ,0:01,6297168356,3,3,4,2,2,0,3,1,25,0,4,1,6,1,8,0,0
234,xB,poster,5,0,He's simply letting patients know what the standard safety precautions are to prevent the amount of infections.,0:01,6297170554,5,4,3,3,2,0,3,1,35,1,3,0,1,0,12,0,0
237,xB,poster,5,0,I believe it's a good decision. Hopefully everyone performing the procedure has read and is knowledgeable of the poster's contents.,0:02,6297172890,4,3,4,2,1,1,2,0,27,0,4,1,1,0,9,0,0
240,xB,poster,5,0,Because it is criticial that proper protocol be followed.,0:02,6297178887,5,3,3,3,1,1,3,1,54,1,4,1,4,1,11,0,0
241,xB,poster,5,0,It's just teaching people ,0:01,6297180449,4,2,2,4,2,0,3,1,22,0,3,0,1,0,10,0,0
250,xB,poster,5,0,It seems like a good idea. ,0:01,6297191499,4,4,3,3,2,0,3,1,28,0,4,1,3,0,11,0,0
251,xB,poster,4,0,People deserve to know what risk they are being put at and how to avoid it.,0:01,6297192147,3,4,4,2,2,0,3,1,27,0,3,0,2,0,9,0,0
254,xB,poster,5,0,Because the patient will know what to expect. And the person performing the procedure will be able to see if he is forgetting something.,0:04,6297193330,5,4,4,2,2,0,3,1,52,1,3,0,3,0,11,0,0
265,xB,poster,4,0,"I work in food service and we had job aids posted throughout the store to remind employees of proper procedures. I think having this poster in rooms will help the staff, certainly, but may make patients feel nervous of becoming infected.",0:03,6297200889,2,1,5,1,1,1,3,1,24,0,3,0,1,0,4,0,0
269,xB,poster,5,0,It is very appropriate because it will give doctors a reminder as to how to do things safely and give the patient peace of mind because they know what the safety procedures are,0:03,6297202939,2,2,3,3,2,0,3,1,25,0,2,0,2,0,7,0,0
272,xB,poster,4,0,"It is worth doing anything you can to reduce risks, but may make the patient feel a little uneasy",0:01,6297203327,5,4,4,2,2,0,3,1,28,0,4,1,2,0,11,0,1
275,xB,poster,5,0,"The hospital director wants to reduce the infections so he just puts up all the standard safety precautions for the procedure in all the rooms. I don't see why that would be wrong, it's not like he is putting patient's information on the wall for the public to see. Just a standard list to help patients know what they can do to decrease chance of an infections.",0:04,6297204535,1,1,5,1,2,0,4,0,23,0,3,0,1,0,3,0,1
277,xB,poster,4,0,I think it's good that this doctor wants to make everyone aware of the precautions. Sometimes a reminder can save lives.,0:02,6297206449,1,1,5,1,1,1,3,1,38,1,4,1,1,0,3,0,0
278,xB,poster,4,0,People have a right to be informed. It is relevant to the situation.,0:03,6297207217,5,5,2,4,2,0,3,1,25,0,2,0,5,1,14,0,0
279,xB,poster,5,0,I think this minimizes the risk of further spreading the infection. By keeping the procedure to a few rooms and listing all the steps they can make sure it is handled appropriately and reduce the risk of infecting others.,0:03,6297208170,3,1,4,2,2,0,3,1,28,0,4,1,6,1,6,0,0
