,ID,Time.Started,Time.Finished,OS,Country,Area,City,Provider,Gender,Age,Year.Of.Birth,Question.1,In.a.couple.of.sentences..please.tell.us.why.you.chose.the.option.you.chose.,God.or.some.type.of.nonhuman.entity.is.in.control.of.the.events.in.the.universe.,We.believe.too.often.in.science..and.not.enough.in.feelings.and.faith.,Knowledge.can.best.be.obtained.through.scientific.research.,Marital.Status,Number.of.children,Education,Employment.Status,Career,Race,Income,Musicfan,Productivity.Booster,Bookworm,Socialite,Traveler,Sportsfan,Gamer,Value.Shopper,Food.and.Dining.Lover,Entertainment.Enthusiast,Fashionista,ADID.IDFA
35,-2071001452,8/19/17 7:06,8/19/17 7:07,Android,US,Maryland,Baltimore,Boost Mobile,female,35 - 44,1973,Neither appropriate nor inappropriate,Im not sure the effectiveness of experiment. So im undecided,Strongly agree,Agree,Agree,married,three,high_school,employed_for_wages,other,white,lower_i,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6efcdecd-7ce8-444b-ac6a-c8c2328e442f
44,-2065159419,8/19/17 6:48,8/19/17 6:48,Android,US,Texas,Houston,MetroPCS,female,25 - 34,1983,Very inappropriate,Is a good anwser,Agree,Agree,Agree,married,four,high_school,employed_for_wages,hotel_and_food_services,hispanic,lower_i,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,82abf7ed-f967-44e6-b456-d578ed911657
113,-2054411911,8/19/17 6:37,8/19/17 6:38,Android,US,Florida,Orlando,Sprint,female,18 - 24,1993,Somewhat appropriate,Not sure,Neither agree nor disagree,Neither agree nor disagree,Agree,living_with_partner,zero,high_school,self_employed,other,white,prefer_not_to_say,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,c58be91c-c8cb-4094-be21-5dcaa79f5847
75,-2051530792,8/19/17 6:48,8/19/17 6:48,Android,US,Washington,Spokane,Verizon Wireless,female,25 - 34,1989,Neither inappropriate nor appropriate,Shouldn't the doctor explain this himself,Agree,Agree,Neither agree nor disagree,married,two,high_school,employed_for_wages,hotel_and_food_services,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,a15515a8-aa9f-4cf0-b369-7c34ba203a52
31,-2047087877,8/19/17 6:36,8/19/17 6:38,Android,US,Indiana,Newburgh,AT&T,female,35 - 44,1981,Very appropriate,Because it gives the patient a chance to read over the precautions.. That way they can know what to do to stay healthy and also can make sure they want to have it done.,Strongly agree,Strongly agree,Strongly agree,single,zero,high_school,unable_to_work,unemployed,white,lower_i,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,424153f6-b319-4a92-835f-3654d999f5e0
34,-2046317393,8/19/17 6:42,8/19/17 6:45,Android,US,California,Sacramento,MetroPCS,male,18 - 24,1995,Very inappropriate,He did not receive any consent from the patients,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,single,zero,high_school,employed_for_wages,retail,multiracial,lower_i,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,738c0684-752d-4f5c-854b-27f658a1041f
32,-2043004492,8/19/17 6:37,8/19/17 6:37,Android,US,Washington,Richland,Virgin Mobile,female,18 - 24,1995,Neither inappropriate nor appropriate,Because it would be sort of helpful,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,prefer_not_to_say,prefer_not_to_say,high_school,other,other,prefer_not_to_say,high_iii,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3fb4f3a9-a50a-41ae-829e-25585d1d8bbd
35,-2035461085,8/19/17 6:48,8/19/17 6:48,iOS,US,Texas,Port Arthur,T-Mobile,female,18 - 24,1997,Somewhat appropriate,Appropriate because things to get tested in order to fix something or make it better,Neither agree nor disagree,Neither agree nor disagree,Agree,living_with_partner,one,high_school,homemaker,unemployed,hispanic,middle_i,,,,,,,,,,,,4A3BAE56-0291-457B-BA0C-45D58B9E3C8B
71,-2031334356,8/19/17 6:48,8/19/17 6:48,iOS,US,Minnesota,Saint Paul,Verizon,female,18 - 24,1997,Very appropriate,"It's a physical reminder of what the protocol is, and it's tangible - it can be seen by all.",Agree,Neither disagree nor agree,Strongly agree,single,zero,university,employed_for_wages,health_care_and_social_assistance,white,middle_i,,,,,,,,,,,,A0D72DE3-4419-459A-9D57-381ACC0A45F5
79,-2023465311,8/19/17 7:06,8/19/17 7:06,Web,US,California,San Francisco,,female,> 54,1962,Very appropriate,The doctor is doing a service by making this easily accessible to others,Neither disagree nor agree,Disagree,Neither disagree nor agree,divorced,one,university,unemployed_not_looking,unemployed,multiracial,lower_i,,,,,,,,,,,,
14,-2022555009,8/19/17 6:49,8/19/17 6:50,Android,US,Nevada,Las Vegas,T-Mobile,female,25 - 34,1986,Neither inappropriate nor appropriate,Experimental testing needs to be done for medical progression.,Agree,Neither agree nor disagree,Strongly agree,married,zero,high_school,homemaker,homemaker,hispanic,lower_ii,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,32bdb601-99dc-49a3-9703-2535c7b7ee48
83,-2021643223,8/19/17 6:37,8/19/17 6:38,Android,US,Texas,Harlingen,Verizon Wireless,female,35 - 44,1979,Very appropriate,"Because the more you know,the more you be able to help yourself",Strongly agree,Strongly agree,Strongly agree,married,one,high_school,homemaker,unemployed,hispanic,lower_ii,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,b55f59bc-66ac-454e-b7eb-3a572398ebb7
4,-2018396615,8/19/17 6:37,8/19/17 6:38,Android,US,Ohio,Columbus,Unknown,female,25 - 34,1985,Very inappropriate,Because health and safety precautions. Need to be followed in the medical field.,Strongly agree,Strongly agree,Neither agree nor disagree,married,one,high_school,employed_for_wages,other,white,middle_i,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,127a3bd5-2702-4294-87ef-2d0c8fce1789
96,-2013740451,8/19/17 7:06,8/19/17 7:07,Android,US,Ohio,Dayton,cricket,male,45 - 54,1967,Neither appropriate nor inappropriate,Because i didn't know the question.,Strongly agree,Agree,Agree,single,zero,high_school,unable_to_work,other,white,prefer_not_to_say,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,f0c39045-a591-4454-a7df-c4dc46f877d0
95,-2013740451,8/19/17 7:08,8/19/17 7:08,Android,US,Ohio,Dayton,cricket,male,45 - 54,1967,Somewhat inappropriate,I don't know.,Agree,Disagree,Agree,single,zero,high_school,unable_to_work,other,white,prefer_not_to_say,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,f0c39045-a591-4454-a7df-c4dc46f877d0
10,-2002992036,8/19/17 6:48,8/19/17 6:49,iOS,US,Pennsylvania,Indiana,TFW,female,45 - 54,1970,Very inappropriate,Because both sets of patients will know what is going on one will explain verbally and the other set will read to understand.,Strongly agree,Agree,Agree,divorced,two,university,employed_for_wages,health_care_and_social_assistance,white,middle_i,,,,,,,,,,,,159EF8A6-53E5-48DE-9AD9-013A0723261A
74,-1994740161,8/19/17 6:47,8/19/17 6:47,Web,US,Maryland,Lexington Park,,female,25 - 34,1987,Somewhat appropriate,"I don't really know enough about this to have a very informed decision, but it seemed appropriate.",Strongly disagree,Strongly disagree,Strongly agree,single,zero,university,employed_for_wages,transportation_and_warehousing,white,lower_i,,,,,,,,,,,,
80,-1984313838,8/20/17 17:48,8/20/17 17:49,Android,US,California,Burbank,MetroPCS,female,35 - 44,1982,Neither inappropriate nor appropriate,I am not sure about this...,Strongly agree,Agree,Agree,single,four,vocational_technical_college,employed_for_wages,finance_and_insurance,hispanic,lower_ii,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9d3e4151-1c26-43d9-9c08-916676742372
80,-1978141334,8/19/17 7:07,8/19/17 7:08,Android,US,Ohio,Dayton,Verizon Wireless,female,18 - 24,1993,Somewhat inappropriate,I just feel that it's not right.  I would never dio it knowing it could possibly kill me.  Use it on someone willing to try it. Don't hide the facts,Disagree,Disagree,Neither agree nor disagree,married,one,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,b903a4a7-03ea-4ddc-b31b-ee5e79087bc7
85,-1978141334,8/19/17 7:07,8/19/17 7:07,Android,US,Ohio,Dayton,Verizon Wireless,female,18 - 24,1993,Somewhat inappropriate,Because I would not want to be lied to. Don't give a doctor a badge if he didn't earn it. Nor try things that course possibly kill me,Neither disagree nor agree,Disagree,Neither disagree nor agree,married,one,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,b903a4a7-03ea-4ddc-b31b-ee5e79087bc7
85,-1978141334,8/19/17 7:08,8/19/17 7:08,Android,US,Ohio,Dayton,Verizon Wireless,female,18 - 24,1993,Somewhat inappropriate,I feel it's not r ight. It could kill you,Disagree,Disagree,Disagree,married,one,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,b903a4a7-03ea-4ddc-b31b-ee5e79087bc7
38,-1964607366,8/19/17 6:48,8/19/17 6:49,Android,US,Georgia,Atlanta,MetroPCS,female,45 - 54,1965,Very appropriate,It let you know that the doctor is capable of treating you and have been trained in that field,Disagree,Agree,Agree,married,three,high_school,other,retired,black,lower_i,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4f9b677f-3a46-4d8c-bbf3-3e077b6f6a1c
50,-1952576496,8/19/17 6:37,8/19/17 6:38,iOS,US,North Carolina,Charlotte,Verizon,female,25 - 34,1992,Very appropriate,i just didb,Agree,Agree,Neither agree nor disagree,married,six_or_more,high_school,self_employed,retail,white,lower_i,,,,,,,,,,,,B22F6B2B-C1E0-4485-A57C-339FF32CEF66
73,-1948957933,8/19/17 6:47,8/19/17 6:47,iOS,US,Florida,Orange Park,AT&T,female,35 - 44,1973,Very inappropriate,First of all most people aren't gonna read the poster. It the doctor job to ensure that the patients understand procedures and side affect,Agree,Neither disagree nor agree,Agree,married,four,university,homemaker,education,other,middle_ii,,,,,,,,,,,,F5D44E5A-A69A-40F4-B448-D9A697CC8132
47,-1947322777,8/19/17 7:09,8/19/17 7:28,Android,US,Illinois,Unknown,AT&T,female,25 - 34,1991,Somewhat appropriate,Because yes i do agree that experaments and studirs should be done but if the dangers could lead to death i dont think it sgould be at the risk of a persons life,Agree,Disagree,Agree,living_with_partner,two,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,89ed5011-1704-4d45-8164-1e205c741cd1
82,-1939830776,8/19/17 6:47,8/19/17 6:47,Android,US,California,Norwalk,MetroPCS,female,35 - 44,1982,Very inappropriate,Go with the best,Neither disagree nor agree,Agree,Neither disagree nor agree,living_with_partner,four,vocational_technical_college,self_employed,other,hispanic,lower_ii,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,b50d045f-489b-4f47-bf76-4213eafa5dab
16,-1934123208,8/19/17 7:08,8/19/17 7:08,Android,US,California,Unknown,,male,25 - 34,1983,Neither appropriate nor inappropriate,"I don't see a problem based on  the information, but would need more to really know.",Strongly disagree,Strongly disagree,Strongly agree,single,zero,postgraduate,employed_for_wages,finance_and_insurance,white,high_iii,,,,,,,,,,,,
87,-1933496363,8/19/17 6:47,8/19/17 6:47,Android,US,Washington,Seattle,,female,35 - 44,1976,Somewhat appropriate,Because it feels right,Neither disagree nor agree,Neither disagree nor agree,Disagree,married,two,university,student,education,hispanic,lower_ii,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,ae094011-4b7c-4ca7-abe7-a85b70c21911
76,-1933496363,8/19/17 6:48,8/19/17 6:48,Android,US,Washington,Seattle,,female,35 - 44,1976,Somewhat appropriate,Yes,Disagree,Strongly agree,Neither disagree nor agree,married,two,university,student,education,hispanic,lower_ii,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,ae094011-4b7c-4ca7-abe7-a85b70c21911
23,-1907605930,8/19/17 7:08,8/19/17 7:08,Android,US,Missouri,Perryville,Sprint,female,25 - 34,1990,Very appropriate,Yes,Agree,Agree,Agree,living_with_partner,prefer_not_to_say,high_school,unable_to_work,other,white,prefer_not_to_say,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,36e62dc4-bb49-475c-a09b-06aa6c1f6a91
88,-1903729569,8/19/17 7:07,8/19/17 7:07,Android,US,Pennsylvania,Philadelphia,MetroPCS,female,45 - 54,1972,Somewhat appropriate,I don't think it would work,Agree,Agree,Disagree,single,six_or_more,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,ae9d352a-cdde-409a-abed-b986eec81d22
33,-1903699028,8/19/17 6:38,8/19/17 6:41,Android,US,Texas,Alice,cricket,female,18 - 24,1993,Neither inappropriate nor appropriate,Idk I didnt understand the question so I just picked that one,Neither agree nor disagree,Strongly agree,Strongly agree,living_with_partner,two,middle_school,unemployed_looking,health_care_and_social_assistance,hispanic,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,44ac78d6-25be-4961-b9ee-7070986dfda8
28,-1903699028,8/19/17 6:41,8/19/17 6:42,Android,US,Texas,Alice,cricket,female,18 - 24,1993,Neither inappropriate nor appropriate,Idk I didnt understand the question so I just picked this,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,living_with_partner,two,middle_school,unemployed_looking,health_care_and_social_assistance,hispanic,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,44ac78d6-25be-4961-b9ee-7070986dfda8
68,-1894983892,8/19/17 6:40,8/19/17 6:42,iOS,US,South Dakota,Yankton,AT&T,female,18 - 24,1993,Somewhat inappropriate,"Doctor's shouldn't refer to something on their name badge. That seems out of the ordinary. If they need to look something up or double check how a procedure is done, they should do it in their office. I would feel uncomfortable if a doctor was checking that right in front of me.",Neither disagree nor agree,Agree,Agree,living_with_partner,one,university,student,student,white,lower_ii,,,,,,,,,,,,9ABEB19A-823A-429A-BEE8-CB900C25130D
49,-1893528933,8/19/17 6:47,8/19/17 6:47,Android,US,New York,Buffalo,Verizon Wireless,female,25 - 34,1989,Very appropriate,No,Strongly disagree,Strongly disagree,Neither disagree nor agree,living_with_partner,zero,university,unemployed_looking,other,white,middle_i,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,8ad1ebcf-41e2-488c-952e-4ddc2949e7ce
6,-1886694297,8/19/17 7:05,8/19/17 7:06,Android,US,Maryland,Glen Burnie,T-Mobile,female,25 - 34,1986,Very appropriate,Because it is fair that way,Neither disagree nor agree,Strongly disagree,Agree,living_with_partner,three,high_school,employed_for_wages,finance_and_insurance,black,middle_i,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0e510c39-7405-4e90-ab59-ac9445ef54db
28,-1867720175,8/19/17 7:06,8/19/17 7:06,Android,US,Indiana,Newburgh,Unknown,female,25 - 34,1985,Somewhat appropriate,I think it's a good idea. It's a good WY to test theorys.,Agree,Agree,Agree,living_with_partner,two,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,40e51b2b-c905-4f7e-8b4f-fa25e28ec11f
68,-1861586881,8/19/17 6:47,8/19/17 6:47,iOS,US,Texas,El Paso,cricket,male,18 - 24,1993,Very appropriate,Very cool,Strongly disagree,Agree,Agree,single,zero,high_school,student,construction,hispanic,lower_i,,,,,,,,,,,,C7FF868D-EAA4-4419-AF60-7C9CC1E16470
79,-1857303336,8/19/17 6:39,8/19/17 6:40,Android,US,Tennessee,Knoxville,Verizon Wireless,male,18 - 24,1997,Somewhat inappropriate,Cause I could,Strongly agree,Strongly agree,Strongly agree,prefer_not_to_say,prefer_not_to_say,postgraduate,student,other,other,prefer_not_to_say,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,b86792e7-bb54-4c0a-a2fd-27d51575615f
25,-1854477300,8/19/17 7:08,8/19/17 7:08,iOS,US,Indiana,Grabill,TFW,female,25 - 34,1987,Somewhat inappropriate,I think everyone has their own views but needs to keep people's privacy unknown,Agree,Agree,Disagree,single,three,high_school,homemaker,homemaker,white,lower_ii,,,,,,,,,,,,3DC8CCAE-9E75-4775-81C6-89A3DBE659F7
73,-1847231531,8/19/17 6:44,8/19/17 6:47,Android,US,Oregon,Portland,Sprint,female,25 - 34,1988,Neither appropriate nor inappropriate,I think it is ok to have the posters but I think they should still explain to everyone.,Agree,Agree,Agree,married,three,middle_school,employed_for_wages,retail,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,aa692bd0-4354-4bbf-8022-7eaeaa6ea18a
96,-1838884635,8/19/17 6:47,8/19/17 6:47,Web,US,Michigan,Eastpointe,,female,> 54,1962,Somewhat appropriate,Medical advances require tests and experiments.,Agree,Disagree,Strongly agree,married,three,postgraduate,homemaker,homemaker,white,lower_ii,,,,,,,,,,,,
91,-1834136588,8/19/17 6:43,8/19/17 6:44,Android,US,Washington,Puyallup,Verizon Wireless,female,25 - 34,1989,Very appropriate,Everyone should know the risks before a procedure. Having them their in the open for a patient to read is a great idea. Also very educational.,Neither disagree nor agree,Neither disagree nor agree,Agree,married,one,vocational_technical_college,homemaker,homemaker,white,middle_i,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,c04451e4-52f5-4ca7-be0f-066d95147b97
96,-1832346762,8/19/17 6:37,8/19/17 6:47,Android,US,Washington,Tacoma,MetroPCS,female,25 - 34,1992,Very inappropriate,Becouse i like it that way,Neither disagree nor agree,Agree,Strongly agree,single,three,postgraduate,unable_to_work,unemployed,black,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,e8638813-705a-453e-9153-5ff484598f98
110,-1825629079,8/19/17 6:45,8/19/17 6:46,Android,US,California,Unknown,cricket,male,18 - 24,1996,Very inappropriate,Humans are living creatures! We can't experiment on people!,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,single,five,postgraduate,employed_for_wages,software,white,lower_i,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,c2b9389b-c426-41ee-a511-08147364c49d
68,-1821842983,8/19/17 6:39,8/19/17 6:47,Android,US,New York,The Bronx,,female,35 - 44,1977,Somewhat appropriate,How else are we supposed to learn if we don't experiment?,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,single,zero,vocational_technical_college,employed_for_wages,other,other,lower_ii,,,,,,,,,,,,
45,-1821842983,8/19/17 6:48,8/19/17 6:48,Android,US,New York,The Bronx,,female,35 - 44,1977,Somewhat appropriate,You have to test out different procedures.,Neither disagree nor agree,Neither disagree nor agree,Agree,single,zero,vocational_technical_college,employed_for_wages,other,other,lower_ii,,,,,,,,,,,,
66,-1818153784,8/19/17 6:40,8/19/17 6:42,iOS,US,California,Yucca Valley,AT&T,female,25 - 34,1990,Very appropriate,Because the doctor was simply testing to see which mode of getting information to patients worked the best. This is a good thing and does not affect the success of the procedure only whether or not the patient understands its risks.,Strongly agree,Neither disagree nor agree,Agree,married,two,postgraduate,homemaker,homemaker,white,middle_i,,,,,,,,,,,,F02DD357-2D44-4E89-9A0B-392685534DCC
6,-1809941729,8/19/17 7:07,8/19/17 7:07,Android,US,California,Upland,T-Mobile,female,25 - 34,1984,Very appropriate,Right thing to do,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,single,four,vocational_technical_college,other,other,prefer_not_to_say,middle_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,20f4459a-d435-4985-9a99-143222e673d7
16,-1803779063,8/19/17 7:07,8/19/17 7:07,Android,US,Illinois,Salem,HOME,female,18 - 24,1995,Very inappropriate,Because he should follow the normal procedure instead of doing his own.,Strongly agree,Agree,Neither disagree nor agree,single,zero,high_school,self_employed,religious,white,lower_ii,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3fefe10c-1c89-485e-b9e5-1c2d33778242
