pid,cond,condLabel,dv,dv_binary,FreeResponse,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatPollfishLabelCode,MarkedForExclusion,whoMarked,repeat_pollfish,reversal_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrderPollfish
60,xA,badge,5,0,Cause that way we know whats safe,-1115114291,4,3,4,2,2,0,3,1,29,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
61,xA,badge,5,0,I think this would be a great idea. Mainly because it gureentees safe and precaution manor that things and or procedures are gone through successfully and safely.  Better safe than sorry seems to work pretty good.,1481891579,3,4,4,2,2,0,3,1,28,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
62,xA,badge,5,0,I think it is very acceptable because then the patient can read over the precautions & make sure the the doctor does not miss or forget about any steps. It is also a great reminder for the doctor of just how important all the precautions are & to be very cautious not to forget any of it.,746420314,3,2,4,2,2,0,3,1,24,0,2,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
63,xA,badge,4,0,It good the doctor wants the best for the patients.,538041670,2,4,5,1,2,0,2,0,23,0,2,0,1,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
64,xA,badge,4,0,It allows the doctor's to use extra precaution to help prevent serious infections.,-918288945,3,4,4,2,2,0,3,1,24,0,2,0,-1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
65,xA,badge,4,0,He was assuring the patients safety.,-1754191528,4,3,4,2,2,0,3,1,44,1,2,0,1,0,9,1,0,SA&WC,1,0,0,0,0.00,LoToHi
66,xA,badge,4,0,They should assign specific doctors that know exactly what to do,665471141,4,4,3,3,2,0,2,0,29,0,3,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
67,xA,badge,5,0,"This warns patients, alerts staff, and gives safety precautions as a extra precaution. Proves to be affective when everyone knows and can make sure of the procedures before they occur.",-684639165,5,5,5,1,2,0,1,0,27,0,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
68,xA,badge,3,0,Medical Dr's are there to save lives and/or help people. There first commandment as Dr's is do no harm. They are just looking for ways to help people without causing them any more problems and pain. I don't understand how that would be a bad thing. The only thing that could be used against them would be with the way people can tell these Dr's apart since tape can be removed and isn't very professional.,1683493493,5,2,4,2,2,0,3,1,50,1,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
69,xA,badge,5,0,"Because it would ensure that all staff knows the risks, knows the precautions, and is reminded proper procedure for that patient.",-1026871713,3,3,5,1,2,0,3,1,32,0,3,0,3,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
70,xA,badge,4,0,It seems like it's a smart decision,2135548079,2,2,2,4,2,0,1,0,23,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
71,xA,badge,1,1,It's risking other lifes,767013446,4,4,4,2,2,0,2,0,27,0,6,1,1,0,10,1,0,SA&WC,1,0,0,0,0.00,LoToHi
72,xA,badge,4,0,"I would want a standardized set of operations for something like this,",-1235952072,2,2,5,1,2,0,3,1,29,0,6,1,4,1,5,0,0,SA&WC,0,0,0,0,0.00,LoToHi
73,xA,badge,5,0,It is appropriate because the doctor is doing the procedure. They need to be reminded of the safety precautions especially when a life is at risk.,-687305247,5,3,3,3,2,0,3,1,24,0,4,1,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
74,xA,badge,4,0,Because then people would know who knows how to do the surgery and they won't get any bacteria.,1394080989,5,4,4,2,2,0,2,0,39,1,1,0,-1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
75,xA,badge,1,1,Could mean life or death,137135973,4,4,5,1,2,0,3,1,55,1,3,0,4,1,9,1,0,SA&WC,2,0,0,0,0.00,LoToHi
76,xA,badge,3,0,"Becouse i don't think it would be very effective I don't think a doctor would stop to read the card in the middle of a procedure, but then again it could help becouse else could read the card to the doce if need be.",-1110053049,5,4,4,2,2,0,2,0,30,0,3,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
77,xA,badge,5,0,Because I feel that he isn't doing anything wrong he is  just trying to help .,2093410627,5,5,5,1,2,0,1,0,28,0,3,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
78,xA,badge,4,0,It could work for some patients but the risk still exists somehow.,995683356,3,4,4,2,2,0,5,0,20,0,2,0,-1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
79,xA,badge,4,0,Cause it's nice to know what doctors are able to do to save their patients,-1126532998,5,4,5,1,2,0,3,1,38,1,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
80,xA,badge,5,0,Because it's the another way to save patient from dying.,1936277712,5,5,5,1,2,0,2,0,18,0,2,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
81,xA,badge,4,0,Everyone should know all information,-1766993405,3,3,4,2,2,0,3,1,26,0,2,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
82,xA,badge,5,0,Because it always essential to care for the safety of the patience and it must be a requirement to do the procedure with high standards since we are taking about human lives being in the fine line between life and death.,-106209255,4,5,2,4,1,1,2,0,30,0,4,1,2,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
83,xA,badge,5,0,"I feel it's appropriate to have the precautions handy in case of an emergency. Anything can happen,so it's best to be educated for when the situation arises to follow proper protocol and OSHA standards.",-1672918313,5,4,3,3,2,0,3,1,29,0,2,0,2,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
84,xA,badge,2,1,I chose this answer because I don't think its safety nor neither appropriate to have a list hanging in their clothing plus it's not sanitary if it's been touched by many.,-1483795769,3,4,4,2,2,0,-1,0,19,0,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
85,xA,badge,2,1,It is not ethical for healthcare professionals to knowingly put their patients in harms way. If these patients develop infections they could suffer complications or even die from sepsis. This facility could use evidence based practice and implement standards precautions or provide more training to its employees. It was also not stated if the patients consented to be part of this experiment. If they did not this is definitely not ethically or morally right.,-1039687677,5,1,5,1,2,0,3,1,24,0,3,0,2,0,7,1,0,SA&WC,1,0,0,0,0.00,LoToHi
86,xA,badge,5,0,"It provides assistance for the doctors and it doesn't hurt them in any way. If the doctor doesnt need to use it, then they can just not look at it.",-131423759,3,3,5,1,1,1,4,0,20,0,3,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
87,xA,badge,4,0,"I don't really know enough about this to have a very informed decision, but it seemed appropriate.",-1994740161,1,1,5,1,2,0,3,1,30,0,4,1,1,0,3,0,0,SA&WC,0,0,0,0,0.00,LoToHi
88,xA,badge,2,1,Because while the Doctor in the long run will be saving lives he will have to put others at risk for the results.,764157874,3,3,5,1,1,1,3,1,16,0,2,0,3,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
89,xA,badge,3,0,"There really isn't enough information in the question. I get the importance of safety but if the Dr is performing this shouldn't he already know. Also, who is going to read the back of their badge when performing the procedure. It seems like the director is more concerned about legal matters than safety.",-1236440150,2,1,5,1,2,0,3,1,32,0,4,1,2,0,4,0,0,SA&WC,0,0,0,0,0.00,LoToHi
90,xA,badge,3,0,Because it is a safety  thing. Not the directors  decision. I think any  dr or nurse would already no the procedures.,1481610342,3,4,3,3,2,0,3,1,52,1,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
91,xA,badge,4,0,Because he wants to reduce the infections they give people and that would be good,-879679203,3,3,3,3,2,0,3,1,30,0,1,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
92,xA,badge,5,0,It's always better to be safe than sorry and for the patients to know that the doctors understand what they're doing and ensure that they wont miss a step.,208066855,4,2,4,2,2,0,4,0,18,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
93,xA,badge,3,0,It doesn't show how many have survived or died so it makes it hard to answer.,-1094628450,4,4,4,2,2,0,3,1,26,0,3,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
94,xA,badge,5,0,I chose that option because the doctor made the best decision possible to benefit not only the patients but doctors as well and it shows he really cares about his craft and about saving people's lives.,-246408929,3,4,3,3,1,1,2,0,22,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
95,xA,badge,4,0,Think it is a very good offer. Trying to stop the infection and doing everything that they can to prevent infection.,602782975,5,4,2,4,2,0,3,1,35,1,2,0,1,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
96,xA,badge,5,0,Because the dr being identified that they are able and can provide the procedure would make a patient more comforted also the fact that they are odentified to cut down on infection makes total logical sense because if they were identified as such they would be competent in the procedure which in turn will cut down on the risk of infection,723911645,3,1,5,1,2,0,5,0,32,0,2,0,2,0,5,0,0,SA&WC,0,0,0,0,0.00,LoToHi
97,xA,badge,3,0,Because I'm not a Dr and can't make that call on to use one or not.,-71274378,3,3,3,3,2,0,2,0,34,1,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
98,xA,badge,5,0,If it saves a life its worth it,-301787159,5,5,3,3,1,1,3,1,45,1,3,0,2,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
99,xA,badge,3,0,Don't know if just reading about these procedure is any better than previous hands on treating,1977685167,5,5,2,4,2,0,3,1,55,1,2,0,3,0,14,0,0,SA&WC,0,0,0,0,0.00,LoToHi
100,xA,badge,4,0,So they can know what to do should an infection arise.,-1003736289,2,2,5,1,2,0,2,0,33,0,4,1,2,0,5,0,0,SA&WC,0,0,0,0,0.00,LoToHi
101,xA,badge,3,0,Because he can be wrong for doing what he's doing or he can be doing the right thing,597318231,4,3,4,2,2,0,3,1,20,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
102,xA,badge,3,0,Idk i just wanted to choose that one and disnt realize that we were gone do a part on to explain yourself. What am i back in school or something,1278905952,4,3,3,3,1,1,2,0,19,0,4,1,1,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
103,xA,badge,3,0,"I don't see a problem based on  the information, but would need more to really know.",-1934123208,1,1,5,1,1,1,3,1,34,1,6,1,7,1,3,0,0,SA&WC,0,0,0,0,0.00,HiToLo
104,xA,badge,3,0,I don't think it is right at all.,-1249405220,2,4,3,3,2,0,3,1,19,0,2,0,-1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
105,xA,badge,3,0,I really didn't understand what the question was trying to ask. It confused me.,267987283,4,3,4,2,2,0,3,1,25,0,3,0,3,0,9,0,1,SA&WC,0,0,1,0,0.00,HiToLo
106,xA,badge,3,0,I think it would be an extra warning or explanation about the safety of the procedure besides oral and written  instructions. It might be hard to read because of the size of the font and when the doctor moves.,1630501871,5,4,2,4,2,0,3,1,55,1,4,1,4,1,13,0,0,SA&WC,0,0,0,0,0.00,HiToLo
107,xA,badge,3,0,"I just don't care really, it's not relevant to me",2135548079,2,2,3,3,2,0,1,0,23,0,2,0,1,0,7,1,0,SA&WC,1,0,0,0,0.00,HiToLo
108,xA,badge,3,0,Don't know,-638309902,4,1,4,2,1,1,3,1,45,1,2,0,1,0,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
109,xA,badge,3,0,"I don't think having a card attached to ones clothing is going to change the way a person goes about ones business.  The tendency will be to forget the card is even there.  If they want to attach one, fine, no harm done.",-1494293856,4,3,4,2,1,1,3,1,55,1,3,0,3,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
110,xA,badge,3,0,As A person with a disability and having many infections in my lifetime in my opinion all doctors should know this procedure without an instruction card. I would not feel safe if a doctor was reviewing an instruction card during infusions.,1063514061,3,2,5,1,1,1,3,1,45,1,3,0,-1,0,6,0,0,SA&WC,0,0,0,0,0.00,HiToLo
111,xA,badge,3,0,Not right or wrong,1057704531,3,3,3,3,1,1,3,1,28,0,1,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
112,xA,badge,3,0,Dr need to discuss everything with all patients,483054316,1,2,4,2,1,1,3,1,21,0,2,0,2,0,5,0,0,SA&WC,0,0,0,0,0.00,HiToLo
113,xA,badge,3,0,Because i didn't know the question.,-2013740451,5,4,4,2,1,1,3,1,50,1,2,0,-1,0,11,0,1,SA&WC,0,0,1,0,0.00,HiToLo
114,xA,badge,4,0,It saves lives and medicine has gone far,1212621418,3,3,3,3,1,1,3,1,23,0,2,0,-1,0,9,1,0,SA&WC,1,0,0,0,0.00,HiToLo
115,xA,badge,4,0,I have the same thing at my work for handling situations. It makes the patient feel better about what is going on,840776217,4,4,4,2,1,1,3,1,25,0,4,1,2,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
116,xA,badge,4,0,Because I believe it's appropriate to take extra precaution,1269039668,1,3,3,3,2,0,2,0,21,0,3,0,-1,0,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
117,xA,badge,4,0,"Good for extra protection, but it's not comfortable for patients to wear the badge to firce/select doctor.",367786541,2,2,4,2,1,1,4,0,53,1,4,1,5,1,6,0,1,SA&WC,0,0,1,0,0.00,HiToLo
118,xA,badge,4,0,That would be unsanitary and could help cause infections.,-2114085775,3,1,5,1,2,0,3,1,23,0,2,0,1,0,5,0,0,SA&WC,0,0,0,0,0.00,HiToLo
119,xA,badge,4,0,the style and design of the features with it,-1752334172,5,4,2,4,1,1,3,1,33,0,2,0,3,0,13,0,1,SA&WC,0,0,0,1,0.00,HiToLo
120,xA,badge,4,0,I Feel That The Doctors Should Have These Steps Memorized. Reading On The Back Of The Badge Seems Like You Are Unsure Of What You Are Doing & Will Probably Scare The Patient.,-674824960,3,5,4,2,2,0,1,0,22,0,2,0,1,0,10,1,0,SA&WC,1,0,0,0,0.00,HiToLo
121,xA,badge,4,0,Becuz it's somewhat impossible to me and people have different opinions,423609327,3,3,3,3,2,0,3,1,25,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
122,xA,badge,4,0,"Seems like a good training g/reminder method, but ultimately will do only a small amount of good. Doctor's are always moving fast, trying to get from one patient to another as quickly as possible in most cases. I can't see any of them taking the time and care to make sure they follow the card any more so then they would without having it on them at all times. A good idea in theory, but impossible to keep track of who actually  uses it as a proper  reminder.",652182300,4,4,3,3,2,0,3,1,24,0,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
123,xA,badge,4,0,Having the correct information readily on your person while performing the procedure can only help this precaution can not do anything but help,214684764,3,3,4,2,2,0,-1,0,38,1,2,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
124,xA,badge,4,0,Because just depending on the sensitivity and understanding between the different patients would depend on the appropriateNess of it each patient is individually emotionally different,1891303059,5,5,3,3,2,0,3,1,42,1,1,0,1,0,13,0,0,SA&WC,0,0,0,0,0.00,HiToLo
125,xA,badge,4,0,Safety is important.,-241926637,5,5,2,4,1,1,2,0,39,1,1,0,1,0,14,0,0,SA&WC,0,0,0,0,0.00,HiToLo
126,xA,badge,4,0,It is important for doctors to easily identify medical conditions and avoid any procedures that may react badly with them.,-1714670014,3,3,4,2,2,0,3,1,19,0,2,0,-1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
127,xA,badge,4,0,They should put caution on back I agree,-1068707184,3,1,4,2,2,0,3,1,31,0,2,0,1,0,6,0,0,SA&WC,0,0,0,0,0.00,HiToLo
128,xA,badge,4,0,That way the patients know that this doc knows how to perform the procedure with upmost confidence,-769876696,3,4,4,2,1,1,3,1,50,1,3,0,4,1,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
129,xA,badge,4,0,Because it was the most valuable answer,825142386,1,2,2,4,2,0,5,0,23,0,3,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
130,xA,badge,4,0,Seems good for reminder's sake but I would hope the person performing this procedure pretty much has it memorized.,1847971269,2,2,5,1,1,1,5,0,23,0,4,1,2,0,5,0,0,SA&WC,0,0,0,0,0.00,HiToLo
131,xA,badge,4,0,sounds like vital informtion,1319739835,3,2,4,2,2,0,1,0,37,1,4,1,4,1,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
