pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,MarkedForExclusion,whoMarked,repeat_pollfish,reversal_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrderPollfish,Misunderstand,IrrelUnclearOther
15,xA,Drug.A,3,0,I know nothing abput this,14,1800844517,female,0,white,1,45,1,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
16,xA,Drug.A,4,0,Bc why not,13,2133029147,male,1,white,1,24,0,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
17,xA,Drug.A,4,0,Because he is deciding to treat his patients with the drug he prefers,75,-586663696,female,0,white,1,32,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
18,xA,Drug.A,4,0,Because I chose it. Also it's a good idea.,88,626169657,female,0,hispanic,0,25,0,vocational_technical_college,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
19,xA,Drug.A,3,0,"There's not enough information in the example to give a good response. A doctor should give options but since it seems other patients can manage it, it's not a bad option. Just not enough information.",53,1189129239,female,0,white,1,26,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
20,xA,Drug.A,2,1,"I feel the patients should stay on the same medication they've been taking, not depending on who they see.",102,207606079,female,0,white,1,48,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
21,xA,Drug.A,5,0,He seemed concerned about the patients wellbeing,18,-858481236,female,0,white,1,35,1,university,1,high_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
22,xA,Drug.A,4,0,Because he chose a drug that was affordable with little effects.,21,1981379659,female,0,white,1,23,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
23,xA,Drug.A,4,0,If they can stand the side effects it's fine.,44,-823138836,male,1,hispanic,0,20,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
24,xA,Drug.A,3,0,I'm not sure,12,1864764670,male,1,other,0,38,1,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
25,xA,Drug.A,5,0,The doctor thinks that treatment A is best even thought they both help the patient with high blood pressure,69,1617153362,male,1,prefer_not_to_say,,19,0,high_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
26,xA,Drug.A,5,0,Because it relates to me,55,1107754860,female,0,hispanic,0,21,0,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
27,xA,Drug.A,4,0,I think it's ok too a certain degree,16,-1871439069,male,1,white,1,47,1,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
28,xA,Drug.A,1,1,Blood pressure problems have causes that prescription drugs do not solve.,55,-1822245257,male,1,white,1,33,0,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
29,xA,Drug.A,5,0,It sounds like a better solution and better way,37,824982942,female,0,white,1,34,1,university,1,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
30,xA,Drug.A,5,0,Afford and providing patient care.,16,1513773129,female,0,white,1,32,0,vocational_technical_college,0,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
31,xA,Drug.A,5,0,Awesome,5,1308110099,male,1,white,1,46,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
32,xA,Drug.A,3,0,They worked the same.,25,306999074,female,0,prefer_not_to_say,,43,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
33,xA,Drug.A,5,0,"Save money buy buying more of type a meds and none of type b.  Also,  would be easier to script out as everyone would be on the same meds.",62,972852246,female,0,white,1,42,1,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
34,xA,Drug.A,5,0,Because he relates to the topic at hand,11,951234742,male,1,black,0,28,0,postgraduate,1,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
35,xA,Drug.A,5,0,Because it sounded appropriate,7,-1078473952,female,0,white,1,22,0,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
36,xA,Drug.A,4,0,Unless an allergic reaction occurs option a is totally viable,32,53519964,male,1,white,1,22,0,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
37,xA,Drug.A,5,0,I'm not sure,4,-134741155,female,0,white,1,23,0,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
38,xA,Drug.A,5,0,Patient can tolerate it,16,-232463155,female,0,white,1,29,0,postgraduate,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
39,xA,Drug.A,5,0,more rolls,16,-802201043,male,1,white,1,30,0,high_school,0,lower_i,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
40,xA,Drug.A,5,0,I just choose it,12,1324616633,female,0,multiracial,0,20,0,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
41,xA,Drug.A,3,0,It depends on the patient. The doc should tailor the med for each person.,140,-1907522826,male,1,white,1,20,0,high_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
42,xA,Drug.A,4,0,It will benefit many,13,805631664,male,1,other,0,23,0,middle_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
43,xA,Drug.A,3,0,I depends on all the other things that is wrong and the other meds the person may be on,59,2029168844,female,0,white,1,41,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
44,xA,Drug.A,5,0,Because it was the right thing to do. Because it was the right thing to do.,38,-488634350,female,0,multiracial,0,34,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
45,xA,Drug.A,5,0,Good,10,-1095107033,male,1,white,1,40,1,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
46,xA,Drug.A,4,0,The sentence states true I formation and I agree with it based on the Tex and contex it represents,28,2054775224,female,0,asian,0,29,0,high_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
47,xA,Drug.A,4,0,"He didn’t make a wrong choice. Both drugs are FDA approved, affordable, and have the same range of side effects.",30,992275562,female,0,white,1,18,0,middle_school,0,high_iii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
48,xA,Drug.A,3,0,"From the information provided, the drugs sound like the same thing with no difference. It doesn't tell any differences. However, i believe the patients should be able to make the decision which drug they want to take",76,-1700282598,female,0,white,1,27,0,high_school,0,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
49,xA,Drug.A,5,0,Cuz drug testing should always be an option,18,-1157992141,female,0,hispanic,0,25,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
50,xA,Drug.A,4,0,It shows that he recommended based on how comfortable he feels with the medication and understands his patients needs.,47,-1238699343,female,0,black,0,33,0,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
51,xA,Drug.A,4,0,I’m so happy that I am in love,16,-1307279209,female,0,white,1,21,0,vocational_technical_college,0,middle_i,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
52,xA,Drug.A,5,0,Both medications work well and the doctor wants what is best for his patients.,78,-221167448,male,1,white,1,41,1,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
53,xA,Drug.A,2,1,Because of how the clinic is set you he would not always see the same patient and might alter the outcome,50,-600036583,female,0,white,1,39,1,university,1,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
54,xA,Drug.A,4,0,Because I felt it was right but wrong at the same time,50,-176722963,male,1,white,1,30,0,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
55,xA,Drug.A,4,0,Because I can,8,-753994396,female,0,white,1,25,0,university,1,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
56,xA,Drug.A,4,0,I agreed with his assessment.,18,994472986,male,1,white,1,39,1,high_school,0,high_iii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
57,xA,Drug.A,5,0,Because drug A works. Dr. Jones is properly treating his patients,63,1031712794,male,1,hispanic,0,39,1,postgraduate,1,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
58,xA,Drug.A,5,0,I dont know,13,1566142475,female,0,hispanic,0,22,0,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
59,xA,Drug.A,4,0,I think its all abiut the patient ans their ligestyle,19,-179981911,female,0,other,0,31,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
60,xA,Drug.A,5,0,Because it’s good to get the drugs,16,-2006048396,female,0,hispanic,0,19,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
61,xA,Drug.A,5,0,Because people need that,6,-947257146,male,1,white,1,25,0,high_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
62,xA,Drug.A,4,0,"I think if the doctor knows that both are fairly equal, he should be able to chose either. Sometimes, he may need to use the other. Hopefully he is open to that.",42,-1567479988,female,0,white,1,27,0,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
63,xA,Drug.A,3,0,Because both options are sufficient,14,-635084175,female,0,white,1,35,1,postgraduate,1,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
64,xA,Drug.A,2,1,"while drug A may work for some or a majority, it will not work for every one needing the medication. Drug B may work for the ones that drug A does not work for",53,1053746244,female,0,white,1,26,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
65,xA,Drug.A,5,0,I chose that answer because both of the drugs can be used to threat high blood pressure. If the doctor thinks that drug A is better than drug B than that is his choice.,91,1891396190,male,1,hispanic,0,63,1,vocational_technical_college,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
66,xA,Drug.A,3,0,Cause either medicine will work,25,1321561557,male,1,white,1,24,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
67,xA,Drug.A,4,0,Both medicines are affordable and they can tolerate the side affects.,42,1559169628,female,0,prefer_not_to_say,,26,0,high_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
68,xA,Drug.A,5,0,"The medication is for high blood pressure, the patients have high blood pressure, so the obvious thing to do is give them that. Of course there is the chance that one is better than the other, but that was never stated.",67,1504788199,male,1,hispanic,0,21,0,university,1,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
69,xA,Drug.A,5,0,"If both options are affordable and give the patient what s/he needs, then the Dr. can decide which he believes will work best for the patient",79,1605408587,female,0,white,1,33,0,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
70,xA,Drug.A,4,0,If both prescriptions are considerably even then I don’t see why he should have to switch between prescribing both.,28,-901176080,female,0,white,1,26,0,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
71,xA,Drug.A,4,0,Good,4,-2070730867,female,0,asian,0,21,0,postgraduate,1,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
72,xA,Drug.A,4,0,"It is healthy and the effects are similar. He has not done anything wrong. However, he could give them both options.",25,-15821167,male,1,white,1,33,0,postgraduate,1,high_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
73,xA,Drug.A,4,0,"It is a 50/50 choice. Some doctors feel A works, and some feel B works. There was no proof one works better then the other, and if the patient can tolerate it; A is a good choice.",66,1897191387,female,0,white,1,24,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
74,xA,Drug.A,2,1,You can't just choose one medicine for all patients..every person is different,27,-407430800,female,0,white,1,28,0,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
75,xA,Drug.A,5,0,Because it’s comparable to the other medication and the side effects are tolerable,14,467516434,female,0,hispanic,0,29,0,postgraduate,1,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
76,xA,Drug.A,3,0,Each case is different and should be treated that wayb,21,1850653350,female,0,white,1,38,1,high_school,0,high_iii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
77,xA,Drug.A,3,0,I couldn’t tell the difference between drug A and drug B. There for without more information they are the same to me.,89,1409891910,male,1,white,1,34,1,high_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
78,xA,Drug.A,5,0,I didn’t choose it the doctor did,12,1933939760,female,0,white,1,28,0,high_school,0,lower_i,0,1,SA&WC,0,0,1,0,reverse,HiToLo,,
79,xA,Drug.A,4,0,Dr. Jones is attempting to help his patients with the best drugs that are available to him at his clinic. He is working with the tools that are at his disposal.,92,-623590814,male,1,white,1,38,1,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
80,xA,Drug.A,2,1,its the patients choice,17,-398814815,male,1,white,1,42,1,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
81,xA,Drug.A,3,0,eh,7,-237810353,female,0,white,1,23,0,high_school,0,lower_ii,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
82,xA,Drug.A,5,0,Both are about the same so it's ok to choose either,22,1489668794,male,1,white,1,56,1,university,1,high_iii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
83,xA,Drug.A,5,0,he is trying to help his pasients so they feel better,35,-1687521192,female,0,white,1,59,1,high_school,0,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
84,xA,Drug.A,5,0,The doctor is allowed to go by their own personal experience as long as he is not being paid by the manufacturer and the drug is safe and effective.,54,-602297813,male,1,white,1,36,1,university,1,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
85,xA,Drug.A,5,0,its excellent,13,-1645966309,female,0,hispanic,0,39,1,vocational_technical_college,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
86,xA,Drug.A,5,0,"Some doctors choose A, others B, so it is appropriate for this doctor to decide on either drug.",34,419988776,female,0,white,1,60,1,high_school,0,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
87,xA,Drug.A,1,1,If this is being done without patients consent this is wrong.  It doesn't sound like an actual study.,38,307876402,female,0,white,1,59,1,vocational_technical_college,0,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
88,xA,Drug.A,5,0,"the idea is similiar to what it is now, there is no different.",38,1277142618,male,1,black,0,60,1,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
89,xA,Drug.A,5,0,very good,6,-1636960179,male,1,latino,0,21,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
90,xA,Drug.A,5,0,Both drugs are approved and acceptable treatments.,22,-840054327,male,1,white,1,37,1,high_school,0,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
91,xA,Drug.A,3,0,Yes,4,-2116748893,male,1,hispanic,0,35,1,high_school,0,lower_ii,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
92,xA,Drug.A,5,0,Excited,5,1926683566,male,1,white,1,30,0,high_school,0,high_iii,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
93,xA,Drug.A,2,1,It doesn't say which drug is better,39,1577089329,male,1,white,1,52,1,high_school,0,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
94,xA,Drug.A,5,0,Each doctor has their own opinion on what works better as long as it betters the patient,58,606853904,male,1,white,1,32,0,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
95,xA,Drug.A,4,0,Because Dr Jones seems to have a Handel on what he is prescribing and  is the Dr so he knows best on what's to be prescribed,65,-2146019008,male,1,white,1,36,1,postgraduate,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
96,xA,Drug.A,5,0,I dont know,11,-1359144075,male,1,hispanic,0,20,0,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
97,xA,Drug.A,5,0,Because my family select,27,-1747459376,male,1,multiracial,0,19,0,middle_school,0,lower_i,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
98,xA,Drug.A,4,0,No idea,27,-962852514,male,1,prefer_not_to_say,,34,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
99,xA,Drug.A,5,0,Idk,5,314377472,male,1,white,1,35,1,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
100,xA,Drug.A,5,0,As long as they work and can be afforded  then why not,32,1526213073,female,0,other,0,39,1,university,1,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
101,xA,Drug.A,5,0,Unknown,13,1391842474,female,0,white,1,30,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
102,xA,Drug.A,4,0,"Because both medications provide assistance to control high blood pressure, the side effects are equal on both rx A and rx B. And both are affordable for the patient",75,422403831,female,0,white,1,36,1,vocational_technical_college,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
103,xA,Drug.A,4,0,Because it will make them feel better,32,440784167,female,0,white,1,27,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
104,xA,Drug.A,4,0,If both are affordable and little side affects it would be hard to choose.  Especially if they are similar I guess just picking one is your only option,103,280662236,female,0,white,1,33,0,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
105,xA,Drug.A,5,0,Good,5,-668698344,female,0,white,1,38,1,middle_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
106,xA,Drug.A,5,0,Very good,17,1076775513,male,1,white,1,36,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
107,xA,Drug.A,3,0,Both of the drugs are affordable and treat the same thing.,46,231240008,female,0,white,1,26,0,middle_school,0,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
108,xA,Drug.A,5,0,Field correct,16,167885860,male,1,other,0,53,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
109,xA,Drug.A,5,0,I think that this is the best for me,67,1120063213,male,1,black,0,19,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
110,xA,Drug.A,3,0,It says both a and b are pretty much the same.,24,-1916022235,female,0,white,1,23,0,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
111,xA,Drug.A,4,0,I'm not sure,19,1722102820,female,0,white,1,56,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
112,xA,Drug.A,5,0,It's an approved acceptable affordable medication,29,345225983,male,1,hispanic,0,36,1,postgraduate,1,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
113,xA,Drug.A,5,0,He gave him medicine for high blood pressure,29,-2061624729,female,0,hispanic,0,51,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
114,xA,Drug.A,2,1,Every person is different therefore everyone needs to be medicated differently,43,592246531,male,1,white,1,56,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
115,xA,Drug.A,4,0,"He should base which medicine on the patient,  not a general decision",34,2101160880,female,0,white,1,37,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
116,xA,Drug.A,5,0,Seems like the right drug,18,226871867,male,1,hispanic,0,52,1,high_school,0,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
117,xA,Drug.A,5,0,They both require the drug for hbp,29,2042342635,male,1,white,1,36,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
118,xA,Drug.A,5,0,Because is the right decision,18,-651645327,male,1,hispanic,0,46,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
119,xA,Drug.A,5,0,Dr.jones chose to give his patients drug A for there blood pressure which is the better decision i think thst he is choosing whsts best for the patients an not whst drug will bring in the most money.,155,1936327575,female,0,white,1,39,1,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
120,AB,Drug.AB,5,0,Because he now can see which works better,39,-2010188236,female,0,white,1,25,0,vocational_technical_college,0,middle_ii,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
121,AB,Drug.AB,3,0,I don't c what would b good or bad about it,65,-634163452,female,0,white,1,22,0,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
122,AB,Drug.AB,4,0,I wasn’t too sure,32,1341431117,female,0,hispanic,0,40,1,university,1,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
123,AB,Drug.AB,5,0,Best logical one,14,871592601,female,0,hispanic,0,39,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
124,AB,Drug.AB,4,0,Seems like th docter is intellegent to make a decision like that. Had research to back up his opinion.,62,643204128,male,1,white,1,27,0,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
125,AB,Drug.AB,5,0,Because both medicines work and are affordable.,24,1427385519,male,1,white,1,28,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
126,AB,Drug.AB,4,0,The choice factor and the believe,15,-1111454183,male,1,black,0,34,1,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
127,AB,Drug.AB,3,0,Cause it's good choose so his decision,17,1987597678,female,0,white,1,30,0,high_school,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
128,AB,Drug.AB,2,1,He using people as an experiment. We are not lab rats.,69,1298612663,male,1,black,0,39,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
129,AB,Drug.AB,4,0,I feel like they're should be more information as to the side effects of each drug to the better outcome. The side effects could be far worse than the better improvements.,96,1553078022,male,1,white,1,29,0,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
130,AB,Drug.AB,4,0,They have to figure out a way to test to see which drug works best . so I guess that was a good way to test it.,63,-1713931072,female,0,white,1,58,1,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
131,AB,Drug.AB,4,0,Because when you use drugs for medicinal treatment has to be a good choice.,33,-2116943267,female,0,hispanic,0,36,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
132,AB,Drug.AB,4,0,Testing is a good way to discover the best treatment.,33,-1907589587,male,1,white,1,60,1,postgraduate,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
133,AB,Drug.AB,5,0,Because he will prescribe whichever has the least side effects,24,1173291020,female,0,white,1,30,0,vocational_technical_college,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
134,AB,Drug.AB,3,0,Not sure,41,1493700991,male,1,white,1,38,1,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
135,AB,Drug.AB,3,0,The doctor is taking risks with other people's health issues. If they are willing to try it i don't see why not.,78,-1166566914,female,0,white,1,30,0,high_school,0,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
136,AB,Drug.AB,4,0,I don't know sorry,13,360017147,male,1,prefer_not_to_say,,26,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
137,AB,Drug.AB,1,1,He is essentially running an experiment without anyone's consent.,25,1960477299,female,0,white,1,25,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
138,AB,Drug.AB,5,0,Because it is the best way to find out which is the best option.,33,-6040586,female,0,white,1,27,0,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
