Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.How appropriate is the director's decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,,,,,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,"Thank you for participating in our study. Your confirmation code to enter into Mechanical Turk is 8X43TW0R5. Please copy this code down so that you may enter it into Mechanical Turk to receive credit for your participation.If you have any additional comments on this study, you may enter them into the text box below (optional)."
6297682697,159625497,07/18/2017 06:57 PM,07/18/2017 06:59 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,"As long as the experiment does not harm the patient in either scenario, it seems logical to have two tests set up to see which one is most effective. ",2,,,3,,,39,6,4,2,4,2,
6297681000,159625497,07/18/2017 06:56 PM,07/18/2017 06:58 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,Both doctors have a list of safety precautions. ,2,,,3,,,30,3,3,2,2,2,
6297679841,159625497,07/18/2017 06:55 PM,07/18/2017 06:56 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",1,"In a way, the hospital director is playing with lives. Furthermore, he is potentially risking infections on patients.",2,,,,4,,23,3,4,5,5,2,
6297677790,159625497,07/18/2017 06:53 PM,07/18/2017 06:56 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",3,i don't really see the point of it.  the doctor should be well-trained and the patients should be thoroughly informed beforehand,1,,,3,,,45,3,4,3,3,3,
6297669706,159625497,07/18/2017 06:47 PM,07/18/2017 06:50 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,It's important to understand what can help to reduce the chances of these infections. A live setting would provide the best test results.,1,,,3,,,33,3,1,2,4,2,
6297666928,159625497,07/18/2017 06:45 PM,07/18/2017 06:46 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,Patients deserve to have this information available.,2,,,3,,,27,6,6,5,5,1,
6297658171,159625497,07/18/2017 06:38 PM,07/18/2017 06:40 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,The testing components seem a bit redundant.,1,,,3,,,29,3,1,4,4,1,
6297657007,159625497,07/18/2017 06:37 PM,07/18/2017 06:39 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,"It's a great idea to improve care, but I don't know the ethics/legality around it.",1,,,3,,,29,4,6,3,4,1,
6297656168,159625497,07/18/2017 06:37 PM,07/18/2017 06:39 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,He's conducting an experiment but he didn't tell the patients,2,,,,4,,26,4,2,3,5,1,8X43TW0R5
6297649986,159625497,07/18/2017 06:32 PM,07/18/2017 06:35 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,"It would be much better if the MD's received some training.  That is, useful information given face to face about infection control.  Then some sort of test to see if the information was absorbed.",2,,,3,,,55,6,6,3,3,2,
6297648678,159625497,07/18/2017 06:31 PM,07/18/2017 06:32 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,It is good to be aware of possible problems that could occur.,2,,,3,,,69,4,2,3,3,2,
6297648350,159625497,07/18/2017 06:30 PM,07/18/2017 06:32 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",1,"I feel they should be directly told, not expected to see them on a poster or an ID badge.",1,,,3,,,24,3,2,3,3,1,Thank you for the opportunity!
6297644692,159625497,07/18/2017 06:28 PM,07/18/2017 06:30 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,It can lead to deadly infections that can kill more people.,2,1,,,,,24,4,2,1,5,2,
6297634747,159625497,07/18/2017 06:20 PM,07/18/2017 06:23 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,"I think the director has good intentions, but he should inform patients and ask for their consent.",2,,,3,,,30,2,2,4,3,2,
6297634727,159625497,07/18/2017 06:20 PM,07/18/2017 06:22 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",2,The patients are not informed properly and could be at risk.,1,,,3,,,44,4,3,2,3,2,
6297629947,159625497,07/18/2017 06:16 PM,07/18/2017 06:17 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,it gives him more data to choose options from. In the end it will help.,1,1,,,,,25,2,5,2,1,3,
6297624448,159625497,07/18/2017 06:12 PM,07/18/2017 06:14 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,it sounds like a good idea,1,,,3,,,40,3,2,5,5,1,
6297619082,159625497,07/18/2017 06:08 PM,07/18/2017 06:10 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,"Checklists save lives... It is easy to overlook things in the medical field, this makes them aware of the most important points!",1,,,3,,,41,3,1,4,3,1,no comments thanks!
6297617486,159625497,07/18/2017 06:07 PM,07/18/2017 06:09 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",3,i dont think either scenario would help stop infections ,1,,,3,,,56,6,6,3,5,1,
6297604728,159625497,07/18/2017 05:58 PM,07/18/2017 06:03 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,"I chose Somewhat Appropriate because both doctors will have the safety precautions available to them, however, half of the patients tested may be somewhat uncomfortable not having access to the safety precautions, thus, possibly experiencing angst as to whether the doctor knows what the safety precautions are.",2,,,3,,,63,2,3,1,2,3,
6297596917,159625497,07/18/2017 05:53 PM,07/18/2017 05:55 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",3,I think doctors try to improve what they are doing all the time and for the most part it has benifted mankind,1,,,3,,,37,1,1,1,3,3,
6297588793,159625497,07/18/2017 05:46 PM,07/18/2017 05:49 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,Just to keep on some people's minds. Just help direct or know what to do on immediate response.,1,,,3,,,29,2,2,5,4,1,
6297584897,159625497,07/18/2017 05:44 PM,07/18/2017 05:46 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,This can be referred to in the heat of the moment if an emergency arises. ,1,,,3,,,43,5,2,3,4,1,It was interesting.
6297568973,159625497,07/18/2017 05:34 PM,07/18/2017 05:36 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",2,"If the answer is to brief doctors more fully on safety precautions, why not a more direct response like mandatory training for doctors instead of leaving it to chance?",2,,,3,,,28,4,6,4,4,2,
6297562159,159625497,07/18/2017 05:29 PM,07/18/2017 05:30 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,makes sense for patients to be informed,2,,,,4,,22,4,2,3,3,2,
6297558278,159625497,07/18/2017 05:26 PM,07/18/2017 05:31 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,i think it is somewhat appropriate since shows the safety precautions ready to read. The other half also suitable too in room with poster listing the precautions regardless its going to inform the patients.,1,,2,,,,28,1,1,2,3,2,
6297550923,159625497,07/18/2017 05:22 PM,07/18/2017 05:24 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,He isnt just using one method he is trying to see what works best for patients,2,,,3,,,30,2,1,3,3,2,
6297549074,159625497,07/18/2017 05:20 PM,07/18/2017 05:21 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,I think it would be best,1,,2,,,,30,5,5,4,3,3,n/a
6297542223,159625497,07/18/2017 05:16 PM,07/18/2017 05:18 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,It is appropriate because patients have a right to know everything about any medical procedure they undergo.,2,,,,,5,27,4,3,1,1,2,
6297540267,159625497,07/18/2017 05:14 PM,07/18/2017 05:17 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,seems like an appropriate thing to do assuming both versions conform with medical ethics,1,,,,4,,33,6,4,3,4,2,
6297538474,159625497,07/18/2017 05:14 PM,07/18/2017 05:15 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",1,"Unless the patients agree to be lab rats for the doctor, he's playing games with their lives. ",2,,,,4,,29,4,3,5,4,1,
6297538182,159625497,07/18/2017 05:14 PM,07/18/2017 05:15 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,It seems appropriate to remind both patients and doctors/caregivers of the proper safety procedures,2,,,3,,,36,6,6,3,4,1,
6297531420,159625497,07/18/2017 05:10 PM,07/18/2017 05:12 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,I think it is positive to have reminders for the staff and for the patients to know what procedures should be followed.,2,,,3,,,41,4,4,5,5,1,
6297529887,159625497,07/18/2017 05:09 PM,07/18/2017 05:11 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,I think it would give patients a better feeling of safety. Maybe it would do just the opposite.,1,,,3,,,21,3,6,3,5,1,
6297529791,159625497,07/18/2017 05:09 PM,07/18/2017 05:11 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,I believe it is very appropriate for the director to hang the poster.  People should be awareof safety precautions of the procedure that are used to reduce infections.,2,,,3,,,35,4,5,1,2,2,
